time	V(n005)	V(n006)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.124999980258129e-13	-3.066314e-07	2.798799e-01
1.374999975871046e-13	-3.538016e-07	4.521463e-02
1.423169252672456e-13	-3.566432e-07	8.539015e-09
1.519507806275276e-13	-3.566432e-07	9.117046e-09
2.097539127892195e-13	-3.566432e-07	1.258523e-08
1.000000000000000e-12	-3.566433e-07	6.000000e-08
2.896148924254719e-10	-3.566629e-07	6.000000e-08
5.782297848509438e-10	-3.566689e-07	6.000000e-08
8.668446772764156e-10	-3.566613e-07	6.000000e-08
1.155459569701888e-09	-3.566400e-07	6.000000e-08
1.444074462127359e-09	-3.566051e-07	6.000000e-08
1.732689354552831e-09	-3.565566e-07	6.000000e-08
2.021304246978302e-09	-3.564944e-07	6.000000e-08
4.041670150630911e-09	-3.559267e-07	6.000000e-08
6.848170201481810e-09	-3.550565e-07	6.000000e-08
9.671229762206602e-09	-3.541835e-07	6.000000e-08
1.270104454790202e-08	-3.532493e-07	6.000000e-08
1.545964855777409e-08	-3.524011e-07	6.000000e-08
1.837146304988911e-08	-3.515083e-07	6.000000e-08
2.118066782879606e-08	-3.506495e-07	6.000000e-08
2.413424855001287e-08	-3.497492e-07	6.000000e-08
2.700650004966249e-08	-3.488761e-07	6.000000e-08
2.997752663829148e-08	-3.479757e-07	6.000000e-08
3.289946381127075e-08	-3.470928e-07	6.000000e-08
3.590741738473712e-08	-3.461866e-07	6.000000e-08
3.889414584790422e-08	-3.452894e-07	6.000000e-08
4.195735705382967e-08	-3.443721e-07	6.000000e-08
4.502119242046225e-08	-3.434574e-07	6.000000e-08
4.815966949992042e-08	-3.425233e-07	6.000000e-08
5.143077092528830e-08	-3.415531e-07	6.000000e-08
5.553676822040223e-08	-3.403399e-07	6.000000e-08
6.035272002803032e-08	-3.389235e-07	6.000000e-08
6.653445867408512e-08	-3.371155e-07	6.000000e-08
7.387461008493717e-08	-3.349838e-07	6.000000e-08
8.387461008493717e-08	-3.321040e-07	6.000000e-08
9.387461008493717e-08	-3.292510e-07	6.000000e-08
1.038746100849372e-07	-3.264263e-07	6.000000e-08
1.138746100849372e-07	-3.236297e-07	6.000000e-08
1.238746100849372e-07	-3.208610e-07	6.000000e-08
1.338746100849372e-07	-3.181198e-07	6.000000e-08
1.438746100849372e-07	-3.154059e-07	6.000000e-08
1.538746100849372e-07	-3.127190e-07	6.000000e-08
1.638746100849372e-07	-3.100610e-07	6.000000e-08
1.772946018736342e-07	-3.065379e-07	6.000000e-08
1.935870057908187e-07	-3.023200e-07	6.000000e-08
2.098325227850538e-07	-2.981760e-07	6.000000e-08
2.230172088322776e-07	-2.948635e-07	6.000000e-08
2.382709366882024e-07	-2.910872e-07	6.000000e-08
2.524309629199739e-07	-2.876329e-07	6.000000e-08
2.688174648571171e-07	-2.836967e-07	6.000000e-08
2.849191558547876e-07	-2.798909e-07	6.000000e-08
3.029938574362112e-07	-2.756913e-07	6.000000e-08
3.210997022202101e-07	-2.715607e-07	6.000000e-08
3.419822319223172e-07	-2.668839e-07	6.000000e-08
3.590525331862442e-07	-2.631277e-07	6.000000e-08
3.734336756538660e-07	-2.600166e-07	6.000000e-08
3.891901933164380e-07	-2.566622e-07	6.000000e-08
4.062180584187817e-07	-2.530962e-07	6.000000e-08
4.248604693190736e-07	-2.492622e-07	6.000000e-08
4.460102905929470e-07	-2.450012e-07	6.000000e-08
4.719888876258488e-07	-2.398996e-07	6.000000e-08
5.090734137831646e-07	-2.328453e-07	6.000000e-08
5.530634742961785e-07	-2.247930e-07	6.000000e-08
6.008185457334354e-07	-2.164319e-07	6.000000e-08
6.505987468096303e-07	-2.081282e-07	6.000000e-08
7.033532405813236e-07	-1.997134e-07	6.000000e-08
7.314078656157717e-07	-1.953998e-07	6.000000e-08
7.465818828148630e-07	-1.931273e-07	6.000000e-08
7.546756565357326e-07	-1.919323e-07	6.000000e-08
7.601606576896038e-07	-1.911293e-07	6.000000e-08
7.653425023482926e-07	-1.903753e-07	6.000000e-08
7.705572318523563e-07	-1.896207e-07	6.000000e-08
7.775239978180765e-07	-1.886194e-07	6.000000e-08
7.870090244286227e-07	-1.872683e-07	6.000000e-08
8.011412182788262e-07	-1.852805e-07	6.000000e-08
8.213519750833718e-07	-1.824896e-07	6.000000e-08
8.517234558351295e-07	-1.784082e-07	6.000000e-08
8.968370657343575e-07	-1.725489e-07	6.000000e-08
9.383234944612839e-07	-1.673893e-07	6.000000e-08
9.961272573991867e-07	-1.606323e-07	6.000000e-08
1.103870133144271e-06	-1.486827e-07	6.000000e-08
1.112003636501680e-06	-1.478383e-07	6.000000e-08
1.144537649931315e-06	-1.445743e-07	6.000000e-08
1.187916334504162e-06	-1.404204e-07	6.000000e-08
1.274673703649856e-06	-1.327371e-07	6.000000e-08
1.448188441941243e-06	-1.195210e-07	6.000000e-08
1.795217918524018e-06	-9.860087e-08	6.000000e-08
2.192191683066782e-06	-8.125475e-08	6.000000e-08
2.638981567915737e-06	-6.854593e-08	6.000000e-08
3.250247314631964e-06	-5.873940e-08	6.000000e-08
4.472778808064418e-06	-4.957978e-08	6.000000e-08
5.665543176947216e-06	-4.630785e-08	6.000000e-08
7.425700349454231e-06	-4.530705e-08	6.000000e-08
9.721766987298508e-06	-4.509912e-08	6.000000e-08
1.195764633806793e-05	-4.509827e-08	6.000000e-08
1.200789081786050e-05	-4.509826e-08	6.000000e-08
1.205090809692447e-05	-4.509826e-08	6.000000e-08
1.209515710086951e-05	-4.509826e-08	6.000000e-08
1.210621935185577e-05	-4.509825e-08	6.000000e-08
1.212834385382829e-05	-4.509825e-08	6.000000e-08
1.213387497932142e-05	-4.509825e-08	6.000000e-08
1.214493723030768e-05	-4.509825e-08	6.000000e-08
1.216706173228020e-05	-4.509825e-08	6.000000e-08
1.217259285777333e-05	-4.509825e-08	6.000000e-08
1.217397563914662e-05	-4.509825e-08	6.000000e-08
1.217674120189318e-05	-4.509825e-08	6.000000e-08
1.217863851932262e-05	-4.509825e-08	6.000000e-08
1.217995375426387e-05	-4.509825e-08	6.000000e-08
1.218091837876861e-05	-4.509825e-08	6.000000e-08
1.218180380867086e-05	-4.509825e-08	6.000000e-08
1.218274348287666e-05	-4.509825e-08	6.000000e-08
1.218362437219618e-05	-4.509825e-08	6.000000e-08
1.218454930453277e-05	-4.509825e-08	6.000000e-08
1.218545984332132e-05	-4.509825e-08	6.000000e-08
1.218642165992724e-05	-4.509825e-08	6.000000e-08
1.218742244204798e-05	-4.509825e-08	6.000000e-08
1.218855531476781e-05	-4.509825e-08	6.000000e-08
1.219004027105963e-05	-4.510396e-08	6.000000e-08
1.219080979562663e-05	-4.511933e-08	6.000000e-08
1.219139566731977e-05	-4.514198e-08	6.000000e-08
1.219215273812604e-05	-4.517609e-08	6.000000e-08
1.219254237160051e-05	-4.519364e-08	6.000000e-08
1.219296594452487e-05	-4.521273e-08	6.000000e-08
1.219350219327908e-05	-4.523688e-08	6.000000e-08
1.219422274733151e-05	-4.526935e-08	6.000000e-08
1.219502737032013e-05	-4.530560e-08	6.000000e-08
1.219605064982796e-05	-4.535170e-08	6.000000e-08
1.219725835192247e-05	-4.540611e-08	6.000000e-08
1.219877803288774e-05	-4.547458e-08	6.000000e-08
1.220069582573296e-05	-4.556098e-08	6.000000e-08
1.223166909120979e-05	-4.695642e-08	6.000000e-08
1.226264235668662e-05	-4.835186e-08	6.000000e-08
1.229361562216344e-05	-4.974731e-08	6.000000e-08
1.232458888764027e-05	-5.114275e-08	6.000000e-08
1.235556215311709e-05	-5.253819e-08	6.000000e-08
1.238653541859392e-05	-5.393363e-08	6.000000e-08
1.241750868407074e-05	-5.532908e-08	6.000000e-08
1.483901920566070e-05	-1.644257e-07	6.000000e-08
1.726052972725065e-05	-2.735223e-07	6.000000e-08
1.968204024884060e-05	-3.826189e-07	6.000000e-08
2.210355077043055e-05	-4.917156e-07	6.000000e-08
2.452506129202050e-05	-6.008122e-07	6.000000e-08
2.694657181361045e-05	-7.099088e-07	6.000000e-08
2.936808233520040e-05	-8.190054e-07	6.000000e-08
4.401651983520040e-05	-1.478963e-06	6.000000e-08
5.866495733520040e-05	-2.138921e-06	5.999999e-08
7.331339483520040e-05	-2.798879e-06	5.999999e-08
8.796183233520040e-05	-3.458836e-06	5.999999e-08
1.026102698352004e-04	-4.118794e-06	5.999999e-08
1.172587073352004e-04	-4.778752e-06	5.999998e-08
1.319071448352004e-04	-5.438709e-06	5.999998e-08
1.465555823352004e-04	-6.098667e-06	5.999998e-08
1.612040198352004e-04	-6.758624e-06	5.999998e-08
1.630350745227004e-04	-6.841119e-06	5.999998e-08
1.666971838977004e-04	-7.006108e-06	5.999998e-08
1.712673480887666e-04	-7.212008e-06	5.999998e-08
1.752666380928054e-04	-7.392189e-06	5.999998e-08
1.793989909460809e-04	-7.578364e-06	5.999998e-08
1.838401438883071e-04	-7.778452e-06	5.999998e-08
1.885494724487478e-04	-7.990621e-06	5.999998e-08
1.979681295696292e-04	-8.414961e-06	5.999998e-08
2.126165670696292e-04	-9.074918e-06	5.999998e-08
2.272650045696292e-04	-9.734876e-06	5.999997e-08
2.419134420696292e-04	-1.039483e-05	5.999997e-08
2.565618795696292e-04	-1.105479e-05	5.999997e-08
2.712103170696293e-04	-1.171475e-05	5.999997e-08
2.858587545696293e-04	-1.237470e-05	5.999996e-08
3.005071920696293e-04	-1.303466e-05	5.999996e-08
3.151556295696293e-04	-1.369462e-05	5.999996e-08
3.298040670696293e-04	-1.435458e-05	5.999996e-08
3.444525045696293e-04	-1.501453e-05	5.999996e-08
3.591009420696293e-04	-1.567449e-05	5.999996e-08
3.737493795696294e-04	-1.633445e-05	5.999996e-08
3.883978170696294e-04	-1.699440e-05	5.999996e-08
4.176946920696294e-04	-1.831432e-05	5.999995e-08
4.616400045696294e-04	-2.029419e-05	5.999994e-08
5.034926831410581e-04	-2.217978e-05	5.999994e-08
5.453453617124867e-04	-2.406537e-05	5.999993e-08
5.871980402839152e-04	-2.595096e-05	5.999993e-08
6.290507188553439e-04	-2.783655e-05	5.999992e-08
6.709033974267725e-04	-2.972213e-05	5.999992e-08
7.127560759982012e-04	-3.160772e-05	5.999991e-08
7.546087545696297e-04	-3.349331e-05	5.999991e-08
7.692571920696297e-04	-3.415327e-05	5.999991e-08
7.839056295696297e-04	-3.481322e-05	5.999991e-08
7.985540670696297e-04	-3.547318e-05	5.999990e-08
8.132025045696297e-04	-3.613313e-05	5.999990e-08
8.278509420696298e-04	-3.679309e-05	5.999990e-08
8.571478170696298e-04	-3.811300e-05	5.999989e-08
8.717962545696298e-04	-3.877295e-05	5.999989e-08
8.864446920696298e-04	-3.943291e-05	5.999989e-08
9.010931295696298e-04	-4.009287e-05	5.999989e-08
9.157415670696298e-04	-4.075282e-05	5.999988e-08
9.303900045696298e-04	-4.141278e-05	5.999988e-08
9.450384420696299e-04	-4.207273e-05	5.999988e-08
9.468694967571298e-04	-4.215522e-05	5.999988e-08
9.505316061321298e-04	-4.232021e-05	5.999988e-08
9.553194808444517e-04	-4.253592e-05	5.999988e-08
9.559957196275194e-04	-4.256639e-05	5.999988e-08
9.573481971936550e-04	-4.262732e-05	5.999988e-08
9.576347345917952e-04	-4.264023e-05	5.999988e-08
9.582078093880758e-04	-4.266605e-05	5.999988e-08
9.588660461741101e-04	-4.269570e-05	5.999988e-08
9.594104860905469e-04	-4.272023e-05	5.999988e-08
9.595329710473601e-04	-4.272575e-05	5.999988e-08
9.596962843231109e-04	-4.273311e-05	5.999988e-08
9.599072595366223e-04	-4.274261e-05	5.999988e-08
9.599363068213302e-04	-4.274392e-05	5.999988e-08
9.599944013907460e-04	-4.274654e-05	5.999988e-08
9.600784529303374e-04	-4.275033e-05	5.999988e-08
9.601378918593586e-04	-4.275301e-05	5.999988e-08
9.601857864695766e-04	-4.275516e-05	5.999988e-08
9.602304417347640e-04	-4.275718e-05	5.999988e-08
9.602803245579695e-04	-4.275942e-05	5.999988e-08
9.603297195914560e-04	-4.276165e-05	5.999988e-08
9.603771504316208e-04	-4.276379e-05	5.999988e-08
9.604061153255577e-04	-4.276509e-05	5.999988e-08
9.604406257427859e-04	-4.276665e-05	5.999988e-08
9.604773857748196e-04	-4.276830e-05	5.999988e-08
9.605109563486792e-04	-4.276981e-05	5.999988e-08
9.605606546187681e-04	-4.277205e-05	5.999988e-08
9.606600511589459e-04	-4.277653e-05	5.999988e-08
9.608588442393015e-04	-4.278549e-05	5.999988e-08
9.612564304000127e-04	-4.280340e-05	5.999988e-08
9.616590390726969e-04	-4.282154e-05	5.999988e-08
9.621147923823899e-04	-4.284207e-05	5.999988e-08
9.625956307655310e-04	-4.286373e-05	5.999988e-08
9.626106569650041e-04	-4.286441e-05	5.999988e-08
9.628210237576284e-04	-4.287389e-05	5.999988e-08
9.630614429491990e-04	-4.288472e-05	5.999988e-08
9.635422813323401e-04	-4.290638e-05	5.999988e-08
9.636210427587250e-04	-4.290993e-05	5.999988e-08
9.651208832509988e-04	-4.297750e-05	5.999988e-08
9.666207237432726e-04	-4.304507e-05	5.999988e-08
9.681205642355465e-04	-4.311265e-05	5.999988e-08
9.696204047278203e-04	-4.318022e-05	5.999988e-08
9.711202452200941e-04	-4.324779e-05	5.999988e-08
9.726200857123680e-04	-4.331536e-05	5.999988e-08
9.741199262046418e-04	-4.338294e-05	5.999988e-08
1.250142769679075e-03	-5.581857e-05	5.999984e-08
1.526165613153508e-03	-6.825418e-05	5.999981e-08
1.802188456627941e-03	-8.068979e-05	5.999977e-08
2.078211300102375e-03	-9.312537e-05	5.999974e-08
2.354234143576808e-03	-1.055609e-04	5.999970e-08
2.630256987051241e-03	-1.179965e-04	5.999967e-08
2.906279830525674e-03	-1.304320e-04	5.999964e-08
2.962525569164863e-03	-1.329661e-04	5.999963e-08
3.018771307804053e-03	-1.355001e-04	5.999962e-08
3.075017046443242e-03	-1.380341e-04	5.999962e-08
3.131262785082431e-03	-1.405681e-04	5.999961e-08
3.187508523721621e-03	-1.431021e-04	5.999960e-08
3.243754262360811e-03	-1.456361e-04	5.999959e-08
3.300000001000000e-03	-1.481701e-04	5.999959e-08
3.300000002000000e-03	-1.481701e-04	-4.112412e-13
3.321474838314191e-03	-1.491376e-04	-4.139286e-13
3.336123275814191e-03	-1.497976e-04	-4.157617e-13
3.350771713314191e-03	-1.504575e-04	-4.175949e-13
3.363508411659174e-03	-1.510313e-04	-4.191889e-13
3.377025904709819e-03	-1.516403e-04	-3.194961e-13
3.391674342209819e-03	-1.523003e-04	-3.447176e-15
3.391903224045756e-03	-1.523106e-04	-2.112655e-16
3.464874974686365e-03	-1.555981e-04	-2.158295e-16
3.537846725326974e-03	-1.588857e-04	-2.203935e-16
3.610818475967582e-03	-1.621733e-04	-2.249578e-16
3.683790226608191e-03	-1.654608e-04	-2.295222e-16
3.756761977248800e-03	-1.687484e-04	-2.340867e-16
3.829733727889408e-03	-1.720359e-04	-2.386514e-16
3.902705478530017e-03	-1.753235e-04	-2.432163e-16
3.946650791030016e-03	-1.773033e-04	-2.459655e-16
4.061414963740014e-03	-1.824737e-04	-2.531452e-16
4.176179136450012e-03	-1.876441e-04	-2.603253e-16
4.290943309160009e-03	-1.928145e-04	-2.675059e-16
4.405707481870007e-03	-1.979849e-04	-2.746868e-16
4.520471654580006e-03	-2.031552e-04	-2.818682e-16
4.635235827290004e-03	-2.083256e-04	-2.890499e-16
4.750000000000001e-03	-2.134960e-04	-2.962321e-16
4.750000000100001e-03	-1.454660e-04	7.948904e-01
4.750000000108021e-03	-1.392307e-04	8.274097e-01
4.750000000156144e-03	-7.902240e-05	8.433968e-01
4.750000000202279e-03	1.613312e-05	8.529120e-01
4.750000000294550e-03	3.281464e-04	8.651755e-01
4.750000000479091e-03	1.428316e-03	8.806611e-01
4.750000000848175e-03	4.727887e-03	9.017676e-01
4.750000001000001e-03	6.485406e-03	9.088033e-01
4.750000010605550e-03	1.408072e-01	1.042812e+00
4.750000020211100e-03	2.738338e-01	1.175543e+00
4.750000029816649e-03	4.055653e-01	1.306995e+00
4.750000039422198e-03	5.360015e-01	1.437168e+00
4.750000049027747e-03	6.651427e-01	1.566063e+00
4.750000058633297e-03	7.929886e-01	1.693679e+00
4.750000068238846e-03	9.195395e-01	1.820017e+00
4.750000102569442e-03	1.363466e+00	2.263057e+00
4.750000140274773e-03	1.831162e+00	2.729779e+00
4.750000207019102e-03	2.606008e+00	3.502900e+00
4.750000340507762e-03	3.981939e+00	4.875376e+00
4.750000607485080e-03	6.182709e+00	7.069181e+00
4.750001141439718e-03	9.311940e+00	1.018436e+01
4.750001711976180e-03	1.137663e+01	1.223391e+01
4.750002480958583e-03	1.283588e+01	1.367267e+01
4.750003310987326e-03	1.358055e+01	1.439528e+01
