;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.032,14.2149,11.1414
1,-0.03199,14.2149,11.1414
2,-0.03198,14.2149,11.1414
3,-0.03197,14.2149,11.1414
4,-0.03196,14.2149,11.1915
5,-0.03195,14.2149,11.1581
6,-0.03194,14.2149,11.2082
7,-0.03193,14.2149,11.1915
8,-0.03192,14.2149,11.2249
9,-0.03191,14.2149,11.2249
10,-0.0319,14.2149,11.2249
11,-0.03189,14.2149,11.2249
12,-0.03188,14.2149,11.2583
13,-0.03187,14.2149,11.2416
14,-0.03186,14.2149,11.275
15,-0.03185,14.2483,11.2583
16,-0.03184,14.2316,11.2917
17,-0.03183,14.2149,11.2917
18,-0.03182,14.2149,11.2917
19,-0.03181,14.2149,11.2917
20,-0.0318,14.2149,11.2917
21,-0.03179,14.2149,11.3251
22,-0.03178,14.2149,11.3084
23,-0.03177,14.2149,11.3418
24,-0.03176,14.2149,11.3251
25,-0.03175,14.2149,11.3585
26,-0.03174,14.2149,11.3418
27,-0.03173,14.2149,11.3752
28,-0.03172,14.2149,11.3585
29,-0.03171,14.2149,11.3919
30,-0.0317,14.2149,11.3919
31,-0.03169,14.2483,11.3919
32,-0.03168,14.2316,11.3919
33,-0.03167,14.2316,11.442
34,-0.03166,14.2149,11.4253
35,-0.03165,14.2149,11.4588
36,-0.03164,14.2149,11.442
37,-0.03163,14.2149,11.4755
38,-0.03162,14.2149,11.4755
39,-0.03161,14.2149,11.4755
40,-0.0316,14.2149,11.4922
41,-0.03159,14.2149,11.4922
42,-0.03158,14.2149,11.5089
43,-0.03157,14.2149,11.5089
44,-0.03156,14.2149,11.5256
45,-0.03155,14.2149,11.5256
46,-0.03154,14.2149,11.5423
47,-0.03153,14.2149,11.5256
48,-0.03152,14.2149,11.559
49,-0.03151,14.2149,11.5423
50,-0.0315,14.2149,11.5757
51,-0.03149,14.2149,11.5757
52,-0.03148,14.2149,11.5757
53,-0.03147,14.2149,11.5924
54,-0.03146,14.2149,11.5924
55,-0.03145,14.2149,11.6091
56,-0.03144,14.2149,11.6091
57,-0.03143,14.2149,11.6258
58,-0.03142,14.2149,11.6258
59,-0.03141,14.2149,11.6592
60,-0.0314,14.2149,11.6592
61,-0.03139,14.2149,11.6759
62,-0.03138,14.2149,11.6592
63,-0.03137,14.2149,11.6926
64,-0.03136,14.2149,11.6759
65,-0.03135,14.2149,11.7093
66,-0.03134,14.2149,11.6926
67,-0.03133,14.2149,11.726
68,-0.03132,14.2149,11.7093
69,-0.03131,14.2149,11.7427
70,-0.0313,14.2149,11.726
71,-0.03129,14.2149,11.7594
72,-0.03128,14.2149,11.7594
73,-0.03127,14.2149,11.7761
74,-0.03126,14.2483,11.7761
75,-0.03125,14.2316,11.7928
76,-0.03124,14.2149,11.7928
77,-0.03123,14.2149,11.7928
78,-0.03122,14.2149,11.8095
79,-0.03121,14.2149,11.7928
80,-0.0312,14.2149,11.8262
81,-0.03119,14.2149,11.8095
82,-0.03118,14.2149,11.8429
83,-0.03117,14.2149,11.8262
84,-0.03116,14.2149,11.8596
85,-0.03115,14.2149,11.8596
86,-0.03114,14.2149,11.893
87,-0.03113,14.2149,11.893
88,-0.03112,14.2483,11.9098
89,-0.03111,14.2483,11.9098
90,-0.0311,14.2149,11.9265
91,-0.03109,14.2149,11.9098
92,-0.03108,14.2149,11.9432
93,-0.03107,14.2149,11.9265
94,-0.03106,14.2149,11.9599
95,-0.03105,14.2149,11.9432
96,-0.03104,14.2149,11.9766
97,-0.03103,14.2149,11.9766
98,-0.03102,14.2149,11.9766
99,-0.03101,14.2149,11.9766
100,-0.031,14.2149,12.01
101,-0.03099,14.2483,11.9933
102,-0.03098,14.2316,12.0267
103,-0.03097,14.2316,12.0267
104,-0.03096,14.2483,12.0267
105,-0.03095,14.2149,12.0434
106,-0.03094,14.2149,12.0267
107,-0.03093,14.2149,12.0601
108,-0.03092,14.2149,12.0434
109,-0.03091,14.2149,12.0768
110,-0.0309,14.2149,12.0601
111,-0.03089,14.2149,12.1102
112,-0.03088,14.2149,12.1102
113,-0.03087,14.2149,12.1102
114,-0.03086,14.2149,12.1102
115,-0.03085,14.2149,12.1436
116,-0.03084,14.2149,12.1269
117,-0.03083,14.2149,12.1603
118,-0.03082,14.2149,12.1436
119,-0.03081,14.2149,12.177
120,-0.0308,14.2316,12.1603
121,-0.03079,14.2316,12.1937
122,-0.03078,14.2483,12.177
123,-0.03077,14.2149,12.2104
124,-0.03076,14.2149,12.2104
125,-0.03075,14.2149,12.2104
126,-0.03074,14.2149,12.2271
127,-0.03073,14.2149,12.2104
128,-0.03072,14.2149,12.2438
129,-0.03071,14.2149,12.2271
130,-0.0307,14.2149,12.2605
131,-0.03069,14.2149,12.2605
132,-0.03068,14.2149,12.2772
133,-0.03067,14.2149,12.2605
134,-0.03066,14.2316,12.2939
135,-0.03065,14.2149,12.2939
136,-0.03064,14.2149,12.2939
137,-0.03063,14.2149,12.3106
138,-0.03062,14.2149,12.2939
139,-0.03061,14.2149,12.3441
140,-0.0306,14.2149,12.3441
141,-0.03059,14.2149,12.3608
142,-0.03058,14.2149,12.3608
143,-0.03057,14.2149,12.3775
144,-0.03056,14.2149,12.3608
145,-0.03055,14.2149,12.3942
146,-0.03054,14.2149,12.3775
147,-0.03053,14.2149,12.3942
148,-0.03052,13.9309,12.6781
149,-0.03051,13.5634,7.09908
150,-0.0305,-1.08574,-0.250556
151,-0.03049,0.0334074,-0.517815
152,-0.03048,-0.0835186,-0.601334
153,-0.03047,-0.0501112,-0.567927
154,-0.03046,0.0334074,-0.551223
155,-0.03045,0.0835186,-0.501112
156,-0.03044,0.116926,-0.451
157,-0.03043,0.150333,-0.417593
158,-0.03042,0.183741,-0.400889
159,-0.03041,0.183741,-0.367482
160,-0.0304,0.183741,-0.350778
161,-0.03039,0.217148,-0.317371
162,-0.03038,0.200445,-0.300667
163,-0.03037,0.250556,-0.26726
164,-0.03036,0.250556,-0.0668149
165,-0.03035,0.250556,-0.0835186
166,-0.03034,0.250556,-0.0835186
167,-0.03033,0.250556,-0.0835186
168,-0.03032,0.250556,-0.0835186
169,-0.03031,0.250556,-0.0835186
170,-0.0303,0.250556,-0.0835186
171,-0.03029,0.200445,-0.0668149
172,-0.03028,0.217148,-0.100222
173,-0.03027,0.217148,-0.100222
174,-0.03026,0.217148,-0.100222
175,-0.03025,0.217148,-0.100222
176,-0.03024,0.217148,-0.100222
177,-0.03023,0.217148,-0.100222
178,-0.03022,0.217148,-0.100222
179,-0.03021,0.217148,-0.0835186
180,-0.0302,0.200445,-0.0835186
181,-0.03019,0.250556,-0.0835186
182,-0.03018,0.250556,-0.0835186
183,-0.03017,0.250556,-0.0835186
184,-0.03016,0.217148,-0.0835186
185,-0.03015,0.217148,-0.0835186
186,-0.03014,0.250556,-0.0835186
187,-0.03013,0.217148,-0.0668149
188,-0.03012,0.217148,-0.100222
189,-0.03011,0.217148,-0.0835186
190,-0.0301,0.217148,-0.100222
191,-0.03009,0.217148,-0.0835186
192,-0.03008,0.217148,-0.0835186
193,-0.03007,0.217148,-0.0835186
194,-0.03006,0.217148,-0.0835186
195,-0.03005,0.217148,-0.0835186
196,-0.03004,0.217148,-0.0835186
197,-0.03003,0.217148,-0.0835186
198,-0.03002,0.217148,-0.0835186
199,-0.03001,0.200445,-0.0835186
200,-0.03,0.217148,-0.0835186
201,-0.02999,0.217148,-0.0668149
202,-0.02998,0.217148,-0.0835186
203,-0.02997,0.217148,-0.0835186
204,-0.02996,0.217148,-0.0835186
205,-0.02995,0.217148,-0.0835186
206,-0.02994,0.217148,-0.0835186
207,-0.02993,0.217148,-0.0835186
208,-0.02992,0.217148,-0.0835186
209,-0.02991,0.217148,-0.0835186
210,-0.0299,0.217148,-0.0835186
211,-0.02989,0.217148,-0.0835186
212,-0.02988,0.217148,-0.0835186
213,-0.02987,0.217148,-0.0835186
214,-0.02986,0.217148,-0.0835186
215,-0.02985,0.217148,-0.0835186
216,-0.02984,0.217148,-0.0835186
217,-0.02983,0.200445,-0.0835186
218,-0.02982,0.217148,-0.0835186
219,-0.02981,0.217148,-0.0835186
220,-0.0298,0.217148,-0.0668149
221,-0.02979,0.217148,-0.0835186
222,-0.02978,0.217148,-0.0835186
223,-0.02977,0.217148,-0.0835186
224,-0.02976,0.200445,-0.0835186
225,-0.02975,0.250556,-0.0835186
226,-0.02974,0.250556,-0.0835186
227,-0.02973,0.217148,-0.0835186
228,-0.02972,0.217148,-0.0835186
229,-0.02971,0.250556,-0.0668149
230,-0.0297,0.200445,-0.0835186
231,-0.02969,0.217148,-0.100222
232,-0.02968,0.217148,-0.0835186
233,-0.02967,0.217148,-0.0668149
234,-0.02966,0.217148,-0.0835186
235,-0.02965,0.217148,-0.0835186
236,-0.02964,0.217148,-0.0835186
237,-0.02963,0.217148,-0.0835186
238,-0.02962,0.217148,-0.0835186
239,-0.02961,0.217148,-0.100222
240,-0.0296,0.217148,-0.0668149
241,-0.02959,0.217148,-0.0835186
242,-0.02958,0.217148,-0.100222
243,-0.02957,0.217148,-0.0668149
244,-0.02956,0.217148,-0.0835186
245,-0.02955,0.217148,-0.0835186
246,-0.02954,0.217148,-0.0835186
247,-0.02953,0.217148,-0.0835186
248,-0.02952,0.217148,-0.0835186
249,-0.02951,0.217148,-0.0835186
