;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,14.2149
1,-0.03199,14.2149
2,-0.03198,14.2149
3,-0.03197,14.2149
4,-0.03196,14.2149
5,-0.03195,14.2149
6,-0.03194,14.2149
7,-0.03193,14.2149
8,-0.03192,14.2149
9,-0.03191,14.2149
10,-0.0319,14.2149
11,-0.03189,14.2149
12,-0.03188,14.2149
13,-0.03187,14.2149
14,-0.03186,14.2149
15,-0.03185,14.2149
16,-0.03184,14.2149
17,-0.03183,14.2149
18,-0.03182,14.2149
19,-0.03181,14.2149
20,-0.0318,14.2149
21,-0.03179,14.2149
22,-0.03178,14.2149
23,-0.03177,14.2149
24,-0.03176,14.2149
25,-0.03175,14.2149
26,-0.03174,14.2149
27,-0.03173,14.2149
28,-0.03172,14.2149
29,-0.03171,14.2149
30,-0.0317,14.2149
31,-0.03169,14.2149
32,-0.03168,14.2149
33,-0.03167,14.2149
34,-0.03166,14.2149
35,-0.03165,14.2149
36,-0.03164,14.2149
37,-0.03163,14.2149
38,-0.03162,14.2149
39,-0.03161,14.2149
40,-0.0316,14.2149
41,-0.03159,14.2149
42,-0.03158,14.2149
43,-0.03157,14.2149
44,-0.03156,14.2149
45,-0.03155,14.2149
46,-0.03154,14.2149
47,-0.03153,14.2149
48,-0.03152,14.2149
49,-0.03151,14.2149
50,-0.0315,14.2149
51,-0.03149,14.2149
52,-0.03148,14.2149
53,-0.03147,14.2149
54,-0.03146,14.2149
55,-0.03145,14.2149
56,-0.03144,14.2149
57,-0.03143,14.2149
58,-0.03142,14.2149
59,-0.03141,14.2149
60,-0.0314,14.2149
61,-0.03139,14.2149
62,-0.03138,14.2149
63,-0.03137,14.2149
64,-0.03136,14.2149
65,-0.03135,14.2149
66,-0.03134,14.2149
67,-0.03133,14.2149
68,-0.03132,14.2149
69,-0.03131,14.2149
70,-0.0313,14.2149
71,-0.03129,14.2149
