;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.032,2.92315,0.818482
1,-0.03199,2.62248,0.818482
2,-0.03198,2.47215,0.818482
3,-0.03197,3.157,0.818482
4,-0.03196,2.73941,0.818482
5,-0.03195,2.42204,0.818482
6,-0.03194,2.75611,0.818482
7,-0.03193,2.47215,0.818482
8,-0.03192,2.2216,0.818482
9,-0.03191,2.72271,0.818482
10,-0.0319,2.40534,0.818482
11,-0.03189,2.57237,0.818482
12,-0.03188,6.01334,0.818482
13,-0.03187,5.12804,0.818482
14,-0.03186,4.59352,0.818482
15,-0.03185,4.74386,0.818482
16,-0.03184,4.4766,0.818482
17,-0.03183,4.00889,0.818482
18,-0.03182,4.35967,0.818482
19,-0.03181,3.85856,0.818482
20,-0.0318,3.47437,0.818482
21,-0.03179,3.10689,0.818482
22,-0.03178,3.52449,0.818482
23,-0.03177,5.8129,0.818482
24,-0.03176,5.01112,0.818482
25,-0.03175,4.4766,0.818482
26,-0.03174,4.96101,0.818482
27,-0.03173,4.37638,0.818482
28,-0.03172,3.94208,0.818482
29,-0.03171,3.50778,0.818482
30,-0.0317,3.1403,0.818482
31,-0.03169,2.82293,0.818482
32,-0.03168,2.53897,0.818482
33,-0.03167,2.255,0.818482
34,-0.03166,2.02115,0.818482
35,-0.03165,1.804,0.818482
36,-0.03164,1.63696,0.818482
37,-0.03163,1.45322,0.818482
38,-0.03162,1.28619,0.818482
39,-0.03161,1.15256,0.818482
40,-0.0316,1.00222,0.818482
41,-0.03159,1.60356,0.818482
42,-0.03158,1.41982,0.818482
43,-0.03157,1.28619,0.818482
44,-0.03156,1.353,0.818482
45,-0.03155,1.57015,0.818482
46,-0.03154,1.38641,0.818482
47,-0.03153,1.25278,0.818482
48,-0.03152,1.11915,0.818482
49,-0.03151,1.00222,0.818482
50,-0.0315,0.868594,0.818482
51,-0.03149,0.801779,0.818482
52,-0.03148,0.701556,0.818482
53,-0.03147,0.601334,0.818482
54,-0.03146,0.618038,0.818482
55,-0.03145,0.85189,0.818482
56,-0.03144,0.71826,0.818482
57,-0.03143,0.618038,0.818482
58,-0.03142,0.902001,0.818482
59,-0.03141,0.818482,0.818482
60,-0.0314,0.701556,0.818482
61,-0.03139,0.634741,0.818482
62,-0.03138,0.567927,0.818482
63,-0.03137,0.751667,0.818482
64,-0.03136,0.634741,0.818482
65,-0.03135,0.868594,0.818482
66,-0.03134,0.85189,0.818482
67,-0.03133,0.768371,0.818482
68,-0.03132,0.684853,0.818482
69,-0.03131,0.58463,0.818482
70,-0.0313,0.551223,0.818482
71,-0.03129,0.467704,0.818482
72,-0.03128,0.400889,0.818482
73,-0.03127,0.384186,0.801779
74,-0.03126,0.334074,0.818482
75,-0.03125,0.601334,0.818482
76,-0.03124,0.501112,0.818482
77,-0.03123,0.451,0.818482
78,-0.03122,0.417593,0.818482
79,-0.03121,0.350778,0.818482
80,-0.0312,0.300667,0.818482
81,-0.03119,0.467704,0.818482
82,-0.03118,0.551223,0.818482
83,-0.03117,0.467704,0.818482
