;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,0.400889
1,-0.03199,0.501112
2,-0.03198,0.417593
3,-0.03197,0.384186
4,-0.03196,0.317371
5,-0.03195,0.300667
6,-0.03194,0.434297
7,-0.03193,0.367482
8,-0.03192,0.317371
9,-0.03191,0.283963
10,-0.0319,0.334074
11,-0.03189,0.384186
12,-0.03188,0.350778
13,-0.03187,0.334074
14,-0.03186,0.26726
15,-0.03185,0.200445
16,-0.03184,0.434297
17,-0.03183,0.367482
18,-0.03182,0.300667
19,-0.03181,0.300667
20,-0.0318,0.26726
21,-0.03179,0.183741
22,-0.03178,0.467704
23,-0.03177,0.417593
24,-0.03176,0.400889
25,-0.03175,0.334074
26,-0.03174,0.300667
27,-0.03173,0.26726
28,-0.03172,0.283963
29,-0.03171,0.434297
30,-0.0317,0.367482
31,-0.03169,0.317371
32,-0.03168,0.367482
33,-0.03167,0.317371
34,-0.03166,0.334074
35,-0.03165,0.451
36,-0.03164,0.384186
37,-0.03163,0.350778
38,-0.03162,0.317371
39,-0.03161,0.283963
40,-0.0316,0.217148
41,-0.03159,0.451
42,-0.03158,0.367482
43,-0.03157,0.334074
44,-0.03156,0.334074
45,-0.03155,0.350778
46,-0.03154,0.283963
47,-0.03153,0.501112
48,-0.03152,0.451
49,-0.03151,0.400889
50,-0.0315,0.350778
51,-0.03149,0.300667
52,-0.03148,0.417593
53,-0.03147,0.384186
54,-0.03146,0.350778
55,-0.03145,0.317371
56,-0.03144,0.26726
57,-0.03143,0.317371
58,-0.03142,0.300667
59,-0.03141,0.283963
60,-0.0314,0.367482
61,-0.03139,0.300667
62,-0.03138,0.283963
63,-0.03137,0.217148
64,-0.03136,0.400889
65,-0.03135,0.367482
66,-0.03134,0.350778
67,-0.03133,0.283963
68,-0.03132,0.250556
69,-0.03131,0.250556
70,-0.0313,0.367482
71,-0.03129,0.283963
72,-0.03128,0.250556
73,-0.03127,0.250556
74,-0.03126,0.317371
75,-0.03125,0.250556
76,-0.03124,0.200445
77,-0.03123,0.200445
78,-0.03122,0.467704
79,-0.03121,0.384186
80,-0.0312,0.334074
81,-0.03119,0.300667
82,-0.03118,0.26726
83,-0.03117,0.217148
84,-0.03116,0.26726
85,-0.03115,0.400889
86,-0.03114,0.334074
87,-0.03113,0.283963
88,-0.03112,0.26726
89,-0.03111,0.217148
90,-0.0311,0.300667
91,-0.03109,0.26726
92,-0.03108,0.217148
93,-0.03107,0.26726
94,-0.03106,0.384186
95,-0.03105,0.317371
96,-0.03104,0.26726
97,-0.03103,0.367482
98,-0.03102,0.334074
99,-0.03101,0.317371
100,-0.031,0.250556
101,-0.03099,0.217148
102,-0.03098,0.183741
103,-0.03097,0.334074
104,-0.03096,0.26726
105,-0.03095,0.217148
106,-0.03094,0.334074
107,-0.03093,0.400889
108,-0.03092,0.350778
109,-0.03091,0.300667
110,-0.0309,0.26726
111,-0.03089,0.217148
112,-0.03088,0.350778
113,-0.03087,0.350778
114,-0.03086,0.334074
115,-0.03085,0.26726
116,-0.03084,0.283963
117,-0.03083,0.283963
118,-0.03082,0.200445
119,-0.03081,0.400889
120,-0.0308,0.350778
121,-0.03079,0.317371
122,-0.03078,0.283963
123,-0.03077,0.250556
124,-0.03076,0.200445
125,-0.03075,0.434297
126,-0.03074,0.367482
127,-0.03073,0.317371
128,-0.03072,0.517815
129,-0.03071,0.451
130,-0.0307,0.417593
131,-0.03069,0.384186
132,-0.03068,0.317371
133,-0.03067,0.283963
134,-0.03066,0.250556
135,-0.03065,0.317371
136,-0.03064,0.283963
137,-0.03063,0.250556
138,-0.03062,0.384186
139,-0.03061,0.334074
140,-0.0306,0.300667
141,-0.03059,0.367482
142,-0.03058,0.317371
143,-0.03057,0.300667
144,-0.03056,0.367482
145,-0.03055,0.317371
146,-0.03054,0.283963
147,-0.03053,0.300667
148,-0.03052,0.334074
149,-0.03051,0.283963
150,-0.0305,0.367482
151,-0.03049,0.334074
152,-0.03048,0.300667
153,-0.03047,0.26726
154,-0.03046,0.217148
155,-0.03045,0.217148
156,-0.03044,0.350778
157,-0.03043,0.26726
158,-0.03042,0.200445
159,-0.03041,0.417593
160,-0.0304,0.384186
161,-0.03039,0.350778
162,-0.03038,0.317371
163,-0.03037,0.283963
164,-0.03036,0.217148
165,-0.03035,0.26726
166,-0.03034,0.417593
167,-0.03033,0.334074
168,-0.03032,0.300667
169,-0.03031,0.26726
170,-0.0303,0.200445
171,-0.03029,0.300667
