;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.032,12.1603,0.0334074
1,-0.03199,12.1937,0.0334074
2,-0.03198,12.1937,0.0334074
3,-0.03197,12.2104,0.0334074
4,-0.03196,12.2104,0.0334074
5,-0.03195,12.2271,0.0334074
6,-0.03194,12.2104,0.0334074
7,-0.03193,12.2438,0.0334074
8,-0.03192,12.2271,0.0334074
9,-0.03191,12.2605,0.0334074
10,-0.0319,12.2605,0.0334074
11,-0.03189,12.2438,0.0334074
12,-0.03188,12.2772,0.0334074
13,-0.03187,12.2772,0.0334074
14,-0.03186,12.2772,0.0334074
15,-0.03185,12.3106,0
16,-0.03184,12.3106,0
17,-0.03183,12.3273,0.0334074
18,-0.03182,12.3273,0.0334074
19,-0.03181,12.3441,0.0334074
20,-0.0318,12.1937,0.0835186
21,-0.03179,12.5946,-0.751667
22,-0.03178,1.77059,10.206
23,-0.03177,-0.534519,5.31178
24,-0.03176,-0.701556,0
25,-0.03175,-0.668149,0.0334074
26,-0.03174,-0.601334,-0.0334074
27,-0.03173,-0.534519,0
28,-0.03172,-0.517815,0
29,-0.03171,-0.434297,0
30,-0.0317,-0.400889,0
31,-0.03169,-0.384186,0
32,-0.03168,-0.350778,0
33,-0.03167,-0.334074,0.0334074
34,-0.03166,-0.300667,0.0334074
35,-0.03165,-0.283963,0.0334074
36,-0.03164,-0.0668149,0.0167037
37,-0.03163,-0.0501112,0.0334074
38,-0.03162,-0.0334074,0.0334074
39,-0.03161,-0.0668149,0.0167037
40,-0.0316,-0.0668149,0.0167037
41,-0.03159,-0.0668149,0.0167037
42,-0.03158,-0.0668149,0.0167037
43,-0.03157,-0.0668149,0.0167037
44,-0.03156,-0.0668149,0.0167037
45,-0.03155,-0.0668149,0.0167037
46,-0.03154,-0.0668149,0.0167037
47,-0.03153,-0.0668149,0.0167037
48,-0.03152,-0.0668149,0.0167037
49,-0.03151,-0.0668149,0.0334074
50,-0.0315,-0.0334074,0.0334074
51,-0.03149,-0.0668149,0.0334074
52,-0.03148,-0.0668149,0.0334074
53,-0.03147,-0.0668149,0.0334074
54,-0.03146,-0.0668149,0.0334074
55,-0.03145,-0.0668149,0.0334074
56,-0.03144,-0.0668149,0
57,-0.03143,-0.0668149,0.0167037
58,-0.03142,-0.0668149,0
59,-0.03141,-0.0668149,0.0334074
60,-0.0314,-0.0668149,0.0334074
61,-0.03139,-0.0668149,0.0334074
62,-0.03138,-0.0668149,0.0334074
63,-0.03137,-0.0668149,0.0334074
64,-0.03136,-0.0668149,0.0334074
65,-0.03135,-0.0668149,0.0334074
66,-0.03134,-0.0668149,0.0334074
67,-0.03133,-0.0668149,0.0334074
68,-0.03132,-0.0668149,0.0334074
69,-0.03131,-0.0668149,0.0334074
70,-0.0313,-0.0668149,0.0334074
71,-0.03129,-0.0668149,0.0334074
72,-0.03128,-0.0668149,0.0334074
73,-0.03127,-0.0668149,0.0334074
74,-0.03126,-0.0668149,0.0334074
75,-0.03125,-0.0668149,0.0334074
76,-0.03124,-0.0668149,0.0334074
77,-0.03123,-0.0668149,0.0334074
78,-0.03122,-0.0668149,0.0334074
79,-0.03121,-0.0668149,0.0167037
80,-0.0312,-0.0668149,0.0167037
81,-0.03119,-0.0668149,0.0334074
82,-0.03118,-0.0668149,0.0334074
83,-0.03117,-0.0668149,0.0334074
84,-0.03116,-0.0668149,0.0334074
85,-0.03115,-0.0668149,0.0334074
86,-0.03114,-0.0668149,0.0334074
87,-0.03113,-0.0668149,0.0334074
88,-0.03112,-0.0668149,0.0167037
89,-0.03111,-0.0668149,0.0167037
90,-0.0311,-0.0668149,0.0167037
91,-0.03109,-0.0668149,0.0334074
92,-0.03108,-0.0668149,0.0334074
93,-0.03107,-0.0668149,0.0334074
94,-0.03106,-0.0668149,0.0334074
95,-0.03105,-0.0668149,0.0334074
96,-0.03104,-0.0668149,0
97,-0.03103,-0.0668149,0.0334074
98,-0.03102,-0.0668149,0.0334074
99,-0.03101,-0.0668149,0.0167037
100,-0.031,-0.0668149,0.0167037
101,-0.03099,-0.0668149,0.0334074
102,-0.03098,-0.0668149,0.0334074
103,-0.03097,-0.0668149,0.0334074
104,-0.03096,-0.0668149,0.0167037
105,-0.03095,-0.0668149,0.0167037
106,-0.03094,-0.0668149,0.0167037
107,-0.03093,-0.0668149,0
108,-0.03092,-0.0668149,0.0167037
109,-0.03091,-0.0668149,0.0167037
110,-0.0309,-0.0668149,0.0167037
111,-0.03089,-0.0668149,0.0167037
112,-0.03088,-0.0668149,0.0334074
113,-0.03087,-0.0668149,0.0334074
114,-0.03086,-0.0668149,0
115,-0.03085,-0.0668149,0.0167037
116,-0.03084,-0.0668149,0
117,-0.03083,-0.0668149,0.0167037
118,-0.03082,-0.0668149,0.0334074
119,-0.03081,-0.0668149,0.0167037
120,-0.0308,-0.0668149,0.0334074
121,-0.03079,-0.0668149,0.0334074
122,-0.03078,-0.0668149,0.0334074
123,-0.03077,-0.0668149,0
124,-0.03076,-0.0668149,0.0167037
125,-0.03075,-0.0668149,0.0167037
126,-0.03074,-0.0668149,0.0334074
127,-0.03073,-0.0668149,0.0334074
128,-0.03072,-0.0668149,0.0334074
129,-0.03071,-0.0668149,0.0334074
130,-0.0307,-0.0668149,0.0334074
131,-0.03069,-0.0668149,0.0334074
132,-0.03068,-0.0668149,0.0167037
133,-0.03067,-0.0668149,0.0167037
134,-0.03066,-0.0668149,0.0167037
135,-0.03065,-0.0668149,0.0167037
136,-0.03064,-0.0668149,0.0334074
137,-0.03063,-0.0668149,0.0334074
138,-0.03062,-0.0668149,0.0334074
139,-0.03061,-0.0668149,0.0334074
140,-0.0306,-0.0668149,0.0334074
141,-0.03059,-0.0668149,0.0167037
142,-0.03058,-0.0668149,0.0167037
143,-0.03057,-0.0668149,0
144,-0.03056,-0.0668149,0.0334074
145,-0.03055,-0.0501112,0.0334074
146,-0.03054,-0.0501112,0.0334074
147,-0.03053,-0.0334074,0.0334074
148,-0.03052,-0.0334074,0.0334074
149,-0.03051,0.0167037,0.0501112
150,-0.0305,0,0.0501112
151,-0.03049,0.0334074,0.0501112
152,-0.03048,0.0334074,0.0501112
153,-0.03047,0.0334074,0.0167037
154,-0.03046,0.0334074,0.0334074
155,-0.03045,0.0334074,0.0334074
156,-0.03044,0.0501112,0
157,-0.03043,0.0501112,0.0167037
158,-0.03042,0.0501112,0.0167037
159,-0.03041,0.0668149,0.0167037
160,-0.0304,0.0668149,0
161,-0.03039,0.0835186,0.0334074
162,-0.03038,0.116926,0.0334074
163,-0.03037,0.100222,0.0334074
164,-0.03036,0.13363,0.0334074
165,-0.03035,0.116926,0.0334074
166,-0.03034,0.150333,0.0334074
167,-0.03033,0.150333,0.0334074
168,-0.03032,0.167037,0.0334074
169,-0.03031,0.167037,0.0334074
170,-0.0303,0.167037,0.0334074
171,-0.03029,0.200445,0.0334074
172,-0.03028,0.183741,0.0334074
173,-0.03027,0.217148,0.0334074
174,-0.03026,0.200445,0.0334074
175,-0.03025,0.250556,0.0334074
176,-0.03024,0.250556,0.0334074
177,-0.03023,0.250556,0.0334074
178,-0.03022,0.26726,0.0334074
179,-0.03021,0.26726,0.0334074
180,-0.0302,0.283963,0.0334074
181,-0.03019,0.283963,0.0334074
182,-0.03018,0.300667,0.0334074
183,-0.03017,0.300667,0.0334074
184,-0.03016,0.317371,0.0334074
185,-0.03015,0.317371,0.0334074
186,-0.03014,0.317371,0.0334074
187,-0.03013,0.350778,0.0334074
188,-0.03012,0.334074,0.0334074
189,-0.03011,0.367482,0.0334074
190,-0.0301,0.367482,0.0334074
191,-0.03009,0.384186,0.0334074
192,-0.03008,0.384186,0.0334074
193,-0.03007,0.400889,0.0334074
194,-0.03006,0.400889,0.0334074
195,-0.03005,0.400889,0.0334074
196,-0.03004,0.434297,0.0334074
197,-0.03003,0.417593,0.0334074
198,-0.03002,0.451,0.0334074
199,-0.03001,0.451,0.0334074
200,-0.03,0.467704,0.0334074
201,-0.02999,0.451,0.0334074
202,-0.02998,0.501112,0.0334074
203,-0.02997,0.501112,0.0334074
204,-0.02996,0.501112,0.0334074
205,-0.02995,0.501112,0.0334074
206,-0.02994,0.534519,0.0334074
207,-0.02993,0.534519,0.0334074
208,-0.02992,0.534519,0.0334074
209,-0.02991,0.551223,0.0334074
210,-0.0299,0.551223,0.0334074
211,-0.02989,0.567927,0.0334074
212,-0.02988,0.567927,0.0334074
213,-0.02987,0.567927,0.0334074
214,-0.02986,0.601334,0.0334074
