;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.032,11.1915,0.0334074
1,-0.03199,11.1915,0.0334074
2,-0.03198,11.1915,0.0334074
3,-0.03197,11.2249,0.0334074
4,-0.03196,11.2082,0.0334074
5,-0.03195,11.2416,0.0334074
6,-0.03194,11.2249,0.0334074
7,-0.03193,11.2583,0.0334074
8,-0.03192,11.2583,0.0334074
9,-0.03191,11.2583,0.0334074
10,-0.0319,11.2583,0.0334074
11,-0.03189,11.2917,0.0334074
12,-0.03188,11.2917,0.0334074
13,-0.03187,11.2917,0.0334074
14,-0.03186,11.2917,0.0334074
15,-0.03185,11.3418,0.0334074
16,-0.03184,11.3251,0.0334074
17,-0.03183,11.3585,0.0334074
18,-0.03182,11.3585,0.0334074
19,-0.03181,11.3585,0.0334074
20,-0.0318,11.3752,0.0334074
21,-0.03179,11.3752,0.0334074
22,-0.03178,11.3919,0.0334074
23,-0.03177,11.3919,0.0334074
24,-0.03176,11.4086,0.0334074
25,-0.03175,11.4086,0.0334074
26,-0.03174,11.4086,0.0334074
27,-0.03173,11.4086,0.0334074
28,-0.03172,11.442,0.0334074
29,-0.03171,11.4253,0.0334074
30,-0.0317,11.4588,0.0334074
31,-0.03169,11.442,0.0334074
32,-0.03168,11.4755,0.0334074
33,-0.03167,11.4588,0.0334074
34,-0.03166,11.4922,0.0334074
35,-0.03165,11.4755,0.0334074
36,-0.03164,11.5089,0.0334074
37,-0.03163,11.5089,0.0334074
38,-0.03162,11.5089,0.0334074
39,-0.03161,11.5256,0.0334074
40,-0.0316,11.5256,0.0334074
41,-0.03159,11.5256,0.0334074
42,-0.03158,11.5256,0.0334074
43,-0.03157,11.5757,0.0334074
44,-0.03156,11.5423,0.0334074
45,-0.03155,11.5924,0.0334074
46,-0.03154,11.5924,0.0334074
47,-0.03153,11.5924,0.0334074
48,-0.03152,11.5924,0.0334074
49,-0.03151,11.6258,0.0334074
50,-0.0315,11.6091,0.0334074
51,-0.03149,11.6425,0.0334074
52,-0.03148,11.6258,0.0334074
53,-0.03147,11.6592,0.0334074
54,-0.03146,11.6425,0.0334074
55,-0.03145,11.6759,0.0334074
56,-0.03144,11.6592,0.0334074
57,-0.03143,11.6926,0.0334074
58,-0.03142,11.6759,0.0334074
59,-0.03141,11.7093,0.0334074
60,-0.0314,11.7093,0.0334074
61,-0.03139,11.7093,0.0334074
62,-0.03138,11.726,0.0334074
63,-0.03137,11.726,0.0334074
64,-0.03136,11.7427,0.0334074
65,-0.03135,11.7427,0.0334074
66,-0.03134,11.7594,0.0334074
67,-0.03133,11.7427,0.0334074
68,-0.03132,11.7761,0.0334074
69,-0.03131,11.7594,0.0334074
70,-0.0313,11.7928,0.0334074
71,-0.03129,11.7761,0.0334074
72,-0.03128,11.8262,0.0334074
73,-0.03127,11.7928,0.0334074
74,-0.03126,11.8429,0.0334074
75,-0.03125,11.8429,0.0334074
76,-0.03124,11.8429,0.0334074
77,-0.03123,11.8596,0.0334074
78,-0.03122,11.8596,0.0334074
79,-0.03121,11.8596,0.0334074
80,-0.0312,11.893,0.0334074
81,-0.03119,11.893,0.0334074
82,-0.03118,11.893,0.0334074
83,-0.03117,11.9098,0.0334074
84,-0.03116,11.9098,0.0334074
85,-0.03115,11.9265,0.0334074
86,-0.03114,11.9265,0.0334074
87,-0.03113,11.9432,0.0334074
88,-0.03112,11.9432,0.0334074
89,-0.03111,11.9432,0.0334074
90,-0.0311,11.9766,0.0334074
91,-0.03109,11.9599,0.0334074
92,-0.03108,11.9933,0.0334074
93,-0.03107,11.9766,0.0334074
94,-0.03106,12.01,0.0334074
95,-0.03105,11.9933,0.0334074
96,-0.03104,12.0267,0.0334074
97,-0.03103,12.0267,0.0334074
98,-0.03102,12.0267,0.0334074
99,-0.03101,12.01,0.0167037
100,-0.031,12.0601,0.0167037
101,-0.03099,12.0267,0.0334074
102,-0.03098,12.0768,0.0334074
103,-0.03097,12.0601,0.0334074
104,-0.03096,12.0935,0.0334074
105,-0.03095,12.0768,0.0334074
106,-0.03094,12.1102,0
107,-0.03093,12.0935,0.0334074
108,-0.03092,12.1269,0.0334074
109,-0.03091,12.1102,0.0167037
110,-0.0309,12.1436,0.0167037
111,-0.03089,12.1436,0.0334074
112,-0.03088,12.1436,0.0167037
113,-0.03087,12.1603,0.0334074
114,-0.03086,12.1603,0.0334074
115,-0.03085,12.1603,0.0334074
116,-0.03084,12.1937,0.0334074
117,-0.03083,12.1937,0.0334074
118,-0.03082,12.1937,0.0334074
119,-0.03081,12.2271,0.0334074
120,-0.0308,12.2271,0.0334074
121,-0.03079,12.2271,0.0334074
122,-0.03078,12.2438,0.0334074
123,-0.03077,12.2438,0.0334074
124,-0.03076,12.2605,0.0334074
125,-0.03075,12.2605,0.0334074
126,-0.03074,12.2605,0.0334074
127,-0.03073,12.2772,0.0334074
128,-0.03072,12.2605,0.0334074
129,-0.03071,12.3106,0.0167037
130,-0.0307,12.3106,0.0167037
131,-0.03069,12.3106,0.0334074
132,-0.03068,12.3273,0.0334074
133,-0.03067,12.3273,0.0334074
134,-0.03066,12.2104,0.233852
135,-0.03065,10.7238,-0.968816
136,-0.03064,0.0167037,14.6993
137,-0.03063,-0.618038,0.634741
138,-0.03062,-0.701556,0.317371
139,-0.03061,-0.651445,0
140,-0.0306,-0.58463,0
141,-0.03059,-0.534519,0
142,-0.03058,-0.467704,0
143,-0.03057,-0.434297,-0.0334074
144,-0.03056,-0.400889,0.0167037
145,-0.03055,-0.367482,0.0167037
146,-0.03054,-0.350778,0.0167037
147,-0.03053,-0.334074,0.0167037
148,-0.03052,-0.300667,0.0334074
149,-0.03051,-0.233852,0.0334074
150,-0.0305,-0.0334074,0.0167037
151,-0.03049,0,0.0501112
152,-0.03048,-0.0501112,0.0167037
153,-0.03047,-0.0668149,0.0167037
154,-0.03046,-0.0668149,0.0167037
155,-0.03045,-0.0668149,0.0167037
156,-0.03044,-0.0668149,0.0167037
157,-0.03043,-0.0668149,0.0167037
158,-0.03042,-0.0668149,0.0167037
159,-0.03041,-0.0668149,0.0167037
160,-0.0304,-0.0668149,0.0167037
161,-0.03039,-0.0668149,0.0167037
162,-0.03038,-0.0668149,0.0167037
163,-0.03037,-0.0334074,0.0334074
164,-0.03036,-0.0334074,0.0334074
165,-0.03035,-0.0668149,0.0334074
166,-0.03034,-0.0668149,0.0334074
167,-0.03033,-0.0668149,0.0167037
168,-0.03032,-0.0668149,0.0167037
169,-0.03031,-0.0668149,0.0167037
170,-0.0303,-0.0668149,0.0167037
171,-0.03029,-0.0668149,0.0167037
172,-0.03028,-0.0668149,0.0167037
173,-0.03027,-0.0668149,0.0334074
174,-0.03026,-0.0668149,0.0334074
175,-0.03025,-0.0668149,0.0334074
176,-0.03024,-0.0668149,0.0334074
177,-0.03023,-0.0668149,0.0334074
178,-0.03022,-0.0668149,0.0167037
179,-0.03021,-0.0668149,0.0167037
180,-0.0302,-0.0668149,0
181,-0.03019,-0.0668149,0.0334074
182,-0.03018,-0.0668149,0.0334074
183,-0.03017,-0.0668149,0.0167037
184,-0.03016,-0.0668149,0.0167037
185,-0.03015,-0.0668149,0.0334074
186,-0.03014,-0.0668149,0
187,-0.03013,-0.0668149,0.0167037
188,-0.03012,-0.0668149,0.0167037
189,-0.03011,-0.0668149,0.0334074
190,-0.0301,-0.0668149,0.0167037
191,-0.03009,-0.0668149,0.0334074
192,-0.03008,-0.0668149,0
193,-0.03007,-0.0668149,0.0167037
194,-0.03006,-0.0668149,0.0167037
195,-0.03005,-0.0668149,0.0334074
196,-0.03004,-0.0668149,0.0167037
