time	V(v_controle)	V(v_integrateur)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	3.732625e+00	-8.877497e-01
1.124999968182827e-09	4.039995e+00	-8.920553e-01
2.124999968182827e-09	5.363618e+00	-1.255244e-01
2.249999968182827e-09	5.519028e+00	-7.329138e-02
3.249999968182827e-09	6.640691e+00	-1.912041e-02
4.249999968182827e-09	7.652956e+00	5.716857e-04
5.249999968182827e-09	8.562092e+00	8.605738e-04
5.845079501871187e-09	9.072782e+00	1.032082e-03
5.926046655053889e-09	9.139346e+00	1.055033e-03
6.087980961419294e-09	9.267186e+00	1.099854e-03
6.411849574150103e-09	9.513309e+00	1.188561e-03
6.991853031738807e-09	9.922475e+00	1.344122e-03
8.151859946916216e-09	1.063278e+01	1.642500e-03
1.047187377727103e-08	1.175258e+01	2.196684e-03
1.397006293293928e-08	1.295358e+01	2.945537e-03
1.764043740774959e-08	1.380383e+01	3.639344e-03
1.934596195856667e-08	1.407387e+01	3.924760e-03
2.063821623170474e-08	1.422359e+01	4.119274e-03
2.227340055252755e-08	1.437859e+01	4.347285e-03
2.339569421493741e-08	1.446710e+01	4.492536e-03
2.474750368365241e-08	1.455521e+01	4.654021e-03
2.618911607120670e-08	1.463271e+01	4.811842e-03
2.807664552041239e-08	1.471394e+01	4.997628e-03
3.008214682852124e-08	1.478077e+01	5.170544e-03
3.252662276881404e-08	1.484118e+01	5.348652e-03
3.520819038822332e-08	1.488810e+01	5.504806e-03
3.875276066778606e-08	1.492950e+01	5.656099e-03
4.245262651163627e-08	1.495715e+01	5.757182e-03
4.607066480639613e-08	1.497374e+01	5.803444e-03
4.954341495232542e-08	1.498351e+01	5.803657e-03
5.307520179213553e-08	1.498967e+01	5.765363e-03
5.661577582207869e-08	1.499352e+01	5.693846e-03
6.027834367088257e-08	1.499594e+01	5.589105e-03
6.487649643878546e-08	1.499771e+01	5.423181e-03
7.008211967816114e-08	1.499880e+01	5.201026e-03
7.675898090704814e-08	1.499945e+01	4.880609e-03
8.479505540739858e-08	1.499978e+01	4.470182e-03
9.479505540739857e-08	1.499992e+01	3.956926e-03
1.047950554073986e-07	1.499997e+01	3.471355e-03
1.147950554073986e-07	1.499998e+01	3.037336e-03
1.247950554073986e-07	1.499998e+01	2.668380e-03
1.347950554073986e-07	1.499998e+01	2.368989e-03
1.447950554073986e-07	1.499998e+01	2.137258e-03
1.547950554073986e-07	1.499998e+01	1.970322e-03
1.675299689192495e-07	1.499998e+01	1.834061e-03
1.823741218392776e-07	1.499998e+01	1.751350e-03
1.981418210574850e-07	1.499998e+01	1.726119e-03
2.144301408788416e-07	1.499998e+01	1.740148e-03
2.278010920282510e-07	1.499998e+01	1.766935e-03
2.431136134711179e-07	1.499998e+01	1.801558e-03
2.573436776950528e-07	1.499998e+01	1.829534e-03
2.739359148934093e-07	1.499998e+01	1.853152e-03
2.901489297613531e-07	1.499998e+01	1.866074e-03
3.084027336255800e-07	1.499998e+01	1.869941e-03
3.266905890947054e-07	1.499998e+01	1.865486e-03
3.481767440622859e-07	1.499998e+01	1.853948e-03
3.630259691151079e-07	1.499998e+01	1.843852e-03
3.768091395650602e-07	1.499998e+01	1.833803e-03
3.928340476860266e-07	1.499998e+01	1.822307e-03
4.098727270226214e-07	1.499998e+01	1.810735e-03
4.288205019864248e-07	1.499998e+01	1.798838e-03
4.500368505957879e-07	1.499998e+01	1.786650e-03
4.766403912465390e-07	1.499998e+01	1.772633e-03
5.149022523528048e-07	1.499998e+01	1.753783e-03
5.577640725984378e-07	1.499998e+01	1.733550e-03
6.060044602562948e-07	1.499998e+01	1.711447e-03
6.559208932664714e-07	1.499998e+01	1.689413e-03
7.396365096343255e-07	1.499998e+01	1.654320e-03
8.201927008560441e-07	1.499998e+01	1.622709e-03
9.211204315434594e-07	1.499998e+01	1.585411e-03
9.359868880519541e-07	1.499998e+01	1.580177e-03
9.657198010689437e-07	1.499998e+01	1.570144e-03
1.025185627102923e-06	1.499998e+01	1.550772e-03
1.097146671249783e-06	1.499998e+01	1.528518e-03
1.188387518954465e-06	1.499998e+01	1.502527e-03
1.370869214363829e-06	1.499998e+01	1.454199e-03
1.373440840779726e-06	1.499998e+01	1.453557e-03
1.378584093611519e-06	1.499998e+01	1.452330e-03
1.388870599275107e-06	1.499998e+01	1.449894e-03
1.409443610602282e-06	1.499998e+01	1.445099e-03
1.450589633256632e-06	1.499998e+01	1.435808e-03
1.532881678565333e-06	1.499998e+01	1.418348e-03
1.697465769182734e-06	1.499998e+01	1.387405e-03
2.026633950417535e-06	1.499998e+01	1.338131e-03
2.674286480488348e-06	1.499998e+01	1.270898e-03
3.517441214885157e-06	1.499998e+01	1.215682e-03
3.952368834318284e-06	1.499998e+01	1.198313e-03
4.166298016495567e-06	1.499998e+01	1.192718e-03
4.373709188506499e-06	1.499998e+01	1.188386e-03
4.521006128142262e-06	1.499998e+01	1.185753e-03
4.694569803820637e-06	1.499998e+01	1.183133e-03
4.988871075329516e-06	1.499998e+01	1.179541e-03
5.460313906054435e-06	1.499998e+01	1.175155e-03
5.887266934485364e-06	1.499998e+01	1.172372e-03
6.497595554803353e-06	1.499998e+01	1.169810e-03
7.139187002445649e-06	1.499998e+01	1.168061e-03
7.494267206113610e-06	1.499998e+01	1.167426e-03
7.737165941386914e-06	1.499998e+01	1.167112e-03
7.859496798900075e-06	1.499998e+01	1.166979e-03
7.929642019607521e-06	1.499998e+01	1.166910e-03
7.956351227243210e-06	1.499998e+01	1.166885e-03
8.060618364856736e-06	1.499998e+01	1.166795e-03
8.147940105414834e-06	1.499998e+01	1.166726e-03
8.321072187889230e-06	1.499998e+01	1.166604e-03
8.605194899023945e-06	1.499998e+01	1.166436e-03
8.902098998029193e-06	1.499998e+01	1.166300e-03
9.495907196039688e-06	1.499998e+01	1.166115e-03
1.034433860298136e-05	1.499998e+01	1.165956e-03
1.132257112171547e-05	1.499998e+01	1.165862e-03
1.225781949415220e-05	1.499998e+01	1.165822e-03
1.343578364548817e-05	1.499998e+01	1.165801e-03
1.440335033198137e-05	1.499998e+01	1.165794e-03
1.489375171723310e-05	1.499998e+01	1.165792e-03
1.537441841404849e-05	1.499998e+01	1.165791e-03
1.558719040007273e-05	1.499998e+01	1.165791e-03
1.584212396015956e-05	1.499998e+01	1.165791e-03
1.613724070530989e-05	1.499998e+01	1.165790e-03
1.636043905543361e-05	1.499998e+01	1.165790e-03
1.662854051982821e-05	1.499998e+01	1.165790e-03
1.691462860860065e-05	1.499998e+01	1.165790e-03
1.717721647686259e-05	1.499998e+01	1.165790e-03
1.726034281642495e-05	1.499998e+01	1.165790e-03
1.734346915598730e-05	1.499998e+01	1.165790e-03
1.742659549554965e-05	1.499998e+01	1.165790e-03
1.750972183511200e-05	1.499998e+01	1.165790e-03
1.759284817467435e-05	1.499998e+01	1.165790e-03
1.767597451423670e-05	1.499998e+01	1.165790e-03
1.775910085379905e-05	1.499998e+01	1.165790e-03
1.800738027421597e-05	1.499998e+01	1.165790e-03
1.850393911504980e-05	1.499998e+01	1.165790e-03
1.851583249873235e-05	1.499998e+01	1.165790e-03
1.863476633555786e-05	1.499998e+01	1.165790e-03
1.875370017238337e-05	1.499998e+01	1.165790e-03
1.887263400920888e-05	1.499998e+01	1.165790e-03
1.899156784603439e-05	1.499998e+01	1.165790e-03
1.911050168285990e-05	1.499998e+01	1.165790e-03
1.922943551968541e-05	1.499998e+01	1.165790e-03
1.934836935651092e-05	1.499998e+01	1.165790e-03
1.944389917339693e-05	1.499998e+01	1.165790e-03
1.951636514770106e-05	1.499998e+01	1.165790e-03
1.955239940295492e-05	1.499998e+01	1.165790e-03
1.957816216333607e-05	1.499998e+01	1.165790e-03
1.960334223757163e-05	1.499998e+01	1.165790e-03
1.965370238604275e-05	1.499998e+01	1.165790e-03
1.969271703038693e-05	1.499998e+01	1.165790e-03
1.972737559093872e-05	1.499998e+01	1.165790e-03
1.976117007098946e-05	1.499998e+01	1.165790e-03
1.978005087582676e-05	1.499998e+01	1.165790e-03
1.979275218560519e-05	1.499998e+01	1.165790e-03
1.980075000777346e-05	1.499998e+01	1.165790e-03
1.980644312615544e-05	1.499998e+01	1.165790e-03
1.981249271681051e-05	1.499998e+01	1.165790e-03
1.981830776916989e-05	1.499998e+01	1.165790e-03
1.982299063694891e-05	1.499998e+01	1.165790e-03
1.982718885196759e-05	1.499998e+01	1.165790e-03
1.983272394950980e-05	1.499998e+01	1.165790e-03
1.983869703715814e-05	1.499998e+01	1.165790e-03
1.984158256378454e-05	1.499998e+01	1.165790e-03
1.984425537835206e-05	1.499998e+01	1.165790e-03
1.984770035388802e-05	1.499998e+01	1.165790e-03
1.985098067319543e-05	1.499998e+01	1.165790e-03
1.985419943798702e-05	1.499998e+01	1.165790e-03
1.985712932418352e-05	1.499998e+01	1.165790e-03
1.986012023287935e-05	1.499998e+01	1.165790e-03
1.986305349244373e-05	1.499998e+01	1.165790e-03
1.986605928165968e-05	1.499998e+01	1.165790e-03
1.986888881355509e-05	1.499998e+01	1.165790e-03
1.987195429794649e-05	1.499998e+01	1.165790e-03
1.987565137051569e-05	1.499998e+01	1.165790e-03
1.988006386302131e-05	1.499998e+01	1.165790e-03
1.988549459978653e-05	1.499998e+01	1.165790e-03
1.989225325269049e-05	1.499998e+01	1.165790e-03
1.990127220567634e-05	1.499998e+01	1.165790e-03
1.991404838548610e-05	1.499998e+01	1.165790e-03
1.993455344253131e-05	1.499998e+01	1.165790e-03
1.997305580842220e-05	1.499998e+01	1.165790e-03
2.005006054020399e-05	1.499998e+01	1.165790e-03
2.020407000376755e-05	1.499998e+01	1.165790e-03
2.051208893089467e-05	1.499998e+01	1.165790e-03
2.067763852299274e-05	1.499998e+01	1.165790e-03
2.077244115688903e-05	1.499998e+01	1.165790e-03
2.082717505124367e-05	1.499998e+01	1.165790e-03
2.093341659373637e-05	1.499998e+01	1.165790e-03
2.100330783099706e-05	1.499998e+01	1.165790e-03
2.114309030551842e-05	1.499998e+01	1.165790e-03
2.142265525456116e-05	1.499998e+01	1.165790e-03
2.198178515264662e-05	1.499998e+01	1.165790e-03
2.282889288671012e-05	1.499998e+01	1.165790e-03
2.383845028769087e-05	1.499998e+01	1.165790e-03
2.515245606861629e-05	1.499998e+01	1.165790e-03
2.654897319080270e-05	1.499998e+01	1.165790e-03
2.737563544718124e-05	1.499998e+01	1.165790e-03
2.834550434238604e-05	1.499998e+01	1.165790e-03
2.897050921659928e-05	1.499998e+01	1.165790e-03
2.958647252627543e-05	1.499998e+01	1.165790e-03
3.005789310405581e-05	1.499998e+01	1.165790e-03
3.040845604922839e-05	1.499998e+01	1.165790e-03
3.049609678552154e-05	1.499998e+01	1.165790e-03
3.067137825810783e-05	1.499998e+01	1.165790e-03
3.074353754877540e-05	1.499998e+01	1.165790e-03
3.080972412438984e-05	1.499998e+01	1.165790e-03
3.084081007394927e-05	1.499998e+01	1.165790e-03
3.093205515545621e-05	1.499998e+01	1.165790e-03
3.096989207826471e-05	1.499998e+01	1.165790e-03
3.102566532236788e-05	1.499998e+01	1.165790e-03
3.108628924889167e-05	1.499998e+01	1.165790e-03
3.120753710193925e-05	1.499998e+01	1.165790e-03
3.145003280803443e-05	1.499998e+01	1.165790e-03
3.193502422022476e-05	1.499998e+01	1.165790e-03
3.243577970462396e-05	1.499998e+01	1.165790e-03
3.296145846750059e-05	1.499998e+01	1.165790e-03
3.361710050931635e-05	1.499998e+01	1.165790e-03
3.437421684485419e-05	1.499998e+01	1.165790e-03
3.448285314547033e-05	1.499998e+01	1.165790e-03
3.470012574670262e-05	1.499998e+01	1.165790e-03
3.475444389701070e-05	1.499998e+01	1.165790e-03
3.508035279885914e-05	1.499998e+01	1.165790e-03
3.551489800132373e-05	1.499998e+01	1.165790e-03
3.638398840625292e-05	1.499998e+01	1.165790e-03
3.798197017634811e-05	1.499998e+01	1.165790e-03
3.952260872904294e-05	1.499998e+01	1.165790e-03
