;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.032,3.84186,0.768371
1,-0.03199,3.80845,0.768371
2,-0.03198,3.80845,0.768371
3,-0.03197,3.80845,0.768371
4,-0.03196,3.80845,0.768371
5,-0.03195,3.80845,0.768371
6,-0.03194,3.77504,0.768371
7,-0.03193,3.77504,0.768371
8,-0.03192,3.77504,0.768371
9,-0.03191,3.77504,0.768371
10,-0.0319,3.75834,0.768371
11,-0.03189,3.75834,0.768371
12,-0.03188,3.75834,0.768371
13,-0.03187,3.72493,0.768371
14,-0.03186,3.74163,0.768371
15,-0.03185,3.70823,0.751667
16,-0.03184,3.72493,0.768371
17,-0.03183,3.67482,0.768371
18,-0.03182,3.70823,0.768371
19,-0.03181,3.70823,0.768371
20,-0.0318,3.65811,0.768371
21,-0.03179,3.65811,0.768371
22,-0.03178,3.65811,0.768371
23,-0.03177,3.65811,0.768371
24,-0.03176,3.65811,0.768371
25,-0.03175,3.62471,0.768371
26,-0.03174,3.62471,0.768371
27,-0.03173,3.62471,0.768371
28,-0.03172,3.608,0.768371
29,-0.03171,3.608,0.768371
30,-0.0317,3.608,0.768371
31,-0.03169,3.608,0.768371
32,-0.03168,3.5746,0.768371
33,-0.03167,3.5913,0.768371
34,-0.03166,3.55789,0.768371
35,-0.03165,3.55789,0.768371
36,-0.03164,3.55789,0.768371
37,-0.03163,3.55789,0.768371
38,-0.03162,3.54119,0.768371
39,-0.03161,3.54119,0.768371
40,-0.0316,3.54119,0.768371
41,-0.03159,3.52449,0.768371
42,-0.03158,3.52449,0.768371
43,-0.03157,3.52449,0.768371
44,-0.03156,3.52449,0.768371
45,-0.03155,3.49108,0.768371
46,-0.03154,3.50778,0.768371
47,-0.03153,3.47437,0.768371
48,-0.03152,3.49108,0.768371
49,-0.03151,3.45767,0.768371
50,-0.0315,3.45767,0.768371
51,-0.03149,3.45767,0.768371
52,-0.03148,3.45767,0.768371
53,-0.03147,3.45767,0.768371
54,-0.03146,3.45767,0.768371
55,-0.03145,3.40756,0.768371
56,-0.03144,3.40756,0.768371
57,-0.03143,3.42426,0.768371
58,-0.03142,3.39086,0.768371
59,-0.03141,3.39086,0.768371
60,-0.0314,3.39086,0.768371
61,-0.03139,3.37415,0.768371
62,-0.03138,3.37415,0.768371
63,-0.03137,3.37415,0.768371
64,-0.03136,3.37415,0.768371
65,-0.03135,3.34074,0.768371
66,-0.03134,3.34074,0.768371
67,-0.03133,3.34074,0.768371
68,-0.03132,3.34074,0.768371
69,-0.03131,3.34074,0.734964
70,-0.0313,3.30734,0.768371
71,-0.03129,3.30734,0.768371
72,-0.03128,3.32404,0.768371
73,-0.03127,3.29063,0.768371
74,-0.03126,3.29063,0.768371
75,-0.03125,3.30734,0.768371
76,-0.03124,3.27393,0.768371
77,-0.03123,3.27393,0.768371
78,-0.03122,3.29063,0.768371
79,-0.03121,3.25723,0.768371
80,-0.0312,3.25723,0.768371
81,-0.03119,3.25723,0.768371
82,-0.03118,3.24052,0.768371
83,-0.03117,3.25723,0.768371
84,-0.03116,3.22382,0.768371
85,-0.03115,3.24052,0.768371
86,-0.03114,3.20711,0.768371
87,-0.03113,3.20711,0.768371
88,-0.03112,3.22382,0.751667
89,-0.03111,3.17371,0.768371
90,-0.0311,3.17371,0.768371
91,-0.03109,3.17371,0.768371
92,-0.03108,3.17371,0.768371
93,-0.03107,3.157,0.768371
94,-0.03106,3.17371,0.768371
95,-0.03105,3.1403,0.768371
96,-0.03104,3.1403,0.768371
97,-0.03103,3.1403,0.768371
98,-0.03102,3.1403,0.768371
99,-0.03101,3.1236,0.768371
100,-0.031,3.1236,0.768371
101,-0.03099,3.1236,0.768371
102,-0.03098,3.10689,0.768371
103,-0.03097,3.1236,0.768371
104,-0.03096,3.09019,0.768371
105,-0.03095,3.09019,0.768371
106,-0.03094,3.09019,0.768371
107,-0.03093,3.07348,0.768371
108,-0.03092,3.07348,0.768371
109,-0.03091,3.07348,0.768371
110,-0.0309,3.05678,0.768371
111,-0.03089,3.05678,0.768371
112,-0.03088,3.04008,0.768371
113,-0.03087,3.04008,0.768371
114,-0.03086,3.04008,0.768371
115,-0.03085,3.02337,0.768371
116,-0.03084,3.02337,0.768371
117,-0.03083,3.04008,0.768371
118,-0.03082,3.00667,0.768371
119,-0.03081,3.00667,0.768371
120,-0.0308,3.02337,0.768371
121,-0.03079,2.98997,0.768371
122,-0.03078,2.98997,0.768371
123,-0.03077,3.00667,0.768371
124,-0.03076,2.97326,0.768371
125,-0.03075,2.97326,0.768371
126,-0.03074,2.98997,0.768371
127,-0.03073,2.95656,0.768371
128,-0.03072,2.95656,0.768371
129,-0.03071,2.95656,0.768371
130,-0.0307,2.92315,0.768371
131,-0.03069,2.92315,0.768371
132,-0.03068,2.95656,0.768371
133,-0.03067,2.90645,0.768371
134,-0.03066,2.90645,0.768371
135,-0.03065,2.92315,0.768371
136,-0.03064,2.88974,0.768371
137,-0.03063,2.88974,0.768371
138,-0.03062,2.88974,0.768371
139,-0.03061,2.88974,0.768371
140,-0.0306,2.87304,0.768371
141,-0.03059,2.88974,0.768371
142,-0.03058,2.85634,0.768371
143,-0.03057,2.85634,0.768371
144,-0.03056,2.87304,0.768371
145,-0.03055,2.83963,0.768371
146,-0.03054,2.83963,0.768371
