;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,0.200445
1,-0.03199,0.200445
2,-0.03198,0.200445
3,-0.03197,0.200445
4,-0.03196,0.200445
5,-0.03195,0.200445
6,-0.03194,0.200445
7,-0.03193,0.200445
8,-0.03192,0.200445
9,-0.03191,0.200445
10,-0.0319,0.200445
11,-0.03189,0.200445
12,-0.03188,0.200445
13,-0.03187,0.200445
14,-0.03186,0.200445
15,-0.03185,0.200445
16,-0.03184,0.200445
17,-0.03183,0.200445
18,-0.03182,0.200445
19,-0.03181,0.183741
20,-0.0318,0.217148
21,-0.03179,0.217148
22,-0.03178,0.26726
23,-0.03177,1.67037
24,-0.03176,4.71045
25,-0.03175,4.52671
26,-0.03174,4.62693
27,-0.03173,4.72715
28,-0.03172,4.84408
29,-0.03171,4.99441
30,-0.0317,5.14475
31,-0.03169,5.32849
32,-0.03168,5.57904
33,-0.03167,5.86301
34,-0.03166,6.31401
35,-0.03165,7.56679
36,-0.03164,15.0166
37,-0.03163,14.3819
38,-0.03162,14.432
39,-0.03161,14.3819
40,-0.0316,14.3485
41,-0.03159,14.3151
42,-0.03158,14.2984
43,-0.03157,14.2817
44,-0.03156,14.2817
45,-0.03155,14.2316
46,-0.03154,14.2316
47,-0.03153,14.2316
48,-0.03152,14.2149
49,-0.03151,14.2149
50,-0.0315,14.2149
51,-0.03149,14.2149
52,-0.03148,14.2149
53,-0.03147,14.2149
54,-0.03146,14.2149
55,-0.03145,14.2149
56,-0.03144,14.2149
57,-0.03143,14.2149
58,-0.03142,14.2149
59,-0.03141,14.2149
60,-0.0314,14.2149
61,-0.03139,14.2149
62,-0.03138,14.2149
63,-0.03137,14.2149
64,-0.03136,14.2149
65,-0.03135,14.2149
66,-0.03134,14.2149
67,-0.03133,14.2149
68,-0.03132,14.2149
69,-0.03131,14.2149
70,-0.0313,14.2149
71,-0.03129,14.2149
72,-0.03128,14.2149
73,-0.03127,14.2149
74,-0.03126,14.2149
75,-0.03125,14.2149
76,-0.03124,14.2149
77,-0.03123,14.2149
78,-0.03122,14.2149
79,-0.03121,14.2149
80,-0.0312,14.2149
81,-0.03119,14.2149
82,-0.03118,14.2149
83,-0.03117,14.2149
84,-0.03116,14.2149
85,-0.03115,14.2149
86,-0.03114,14.2149
87,-0.03113,14.2149
88,-0.03112,14.2149
89,-0.03111,14.2149
90,-0.0311,14.2149
91,-0.03109,14.2149
92,-0.03108,14.2149
93,-0.03107,14.2149
94,-0.03106,14.2149
95,-0.03105,14.2149
96,-0.03104,14.2149
97,-0.03103,14.2149
98,-0.03102,14.2149
99,-0.03101,14.2149
100,-0.031,14.2149
101,-0.03099,14.2149
102,-0.03098,14.2149
103,-0.03097,14.2149
104,-0.03096,14.2149
105,-0.03095,14.2149
106,-0.03094,14.2149
107,-0.03093,14.2149
108,-0.03092,14.2149
109,-0.03091,14.2149
110,-0.0309,14.2149
111,-0.03089,14.2149
112,-0.03088,14.2149
113,-0.03087,14.2149
114,-0.03086,14.2149
115,-0.03085,14.2149
116,-0.03084,14.2149
117,-0.03083,14.2149
118,-0.03082,14.2149
119,-0.03081,14.2149
120,-0.0308,14.2149
121,-0.03079,14.2149
122,-0.03078,14.2149
123,-0.03077,14.2149
124,-0.03076,14.2149
125,-0.03075,14.2149
126,-0.03074,14.2149
127,-0.03073,14.2149
128,-0.03072,14.2149
129,-0.03071,14.2149
130,-0.0307,14.2149
131,-0.03069,14.2149
132,-0.03068,14.2149
133,-0.03067,14.2149
134,-0.03066,14.2149
135,-0.03065,14.2149
136,-0.03064,14.2149
137,-0.03063,14.2149
138,-0.03062,14.2149
139,-0.03061,14.2149
140,-0.0306,14.2149
141,-0.03059,14.2149
142,-0.03058,14.2149
143,-0.03057,14.2149
144,-0.03056,14.2149
145,-0.03055,14.2149
146,-0.03054,14.2149
147,-0.03053,14.2149
148,-0.03052,14.2149
149,-0.03051,14.2149
150,-0.0305,14.1648
151,-0.03049,14.9498
152,-0.03048,4.45989
153,-0.03047,-0.150333
154,-0.03046,-0.116926
155,-0.03045,-0.0668149
156,-0.03044,0
157,-0.03043,0.0334074
158,-0.03042,0.0835186
159,-0.03041,0.116926
160,-0.0304,0.13363
161,-0.03039,0.167037
162,-0.03038,0.183741
163,-0.03037,0.167037
164,-0.03036,0.200445
165,-0.03035,0.200445
166,-0.03034,0.200445
167,-0.03033,0.200445
168,-0.03032,0.217148
169,-0.03031,0.217148
170,-0.0303,0.217148
171,-0.03029,0.217148
172,-0.03028,0.217148
173,-0.03027,0.217148
174,-0.03026,0.200445
175,-0.03025,0.200445
176,-0.03024,0.200445
177,-0.03023,0.200445
178,-0.03022,0.200445
179,-0.03021,0.200445
180,-0.0302,0.200445
181,-0.03019,0.200445
182,-0.03018,0.200445
183,-0.03017,0.200445
184,-0.03016,0.200445
185,-0.03015,0.200445
186,-0.03014,0.200445
187,-0.03013,0.200445
188,-0.03012,0.217148
189,-0.03011,0.183741
190,-0.0301,0.200445
191,-0.03009,0.200445
192,-0.03008,0.200445
193,-0.03007,0.200445
194,-0.03006,0.200445
195,-0.03005,0.200445
196,-0.03004,0.200445
197,-0.03003,0.200445
198,-0.03002,0.200445
199,-0.03001,0.200445
200,-0.03,0.200445
201,-0.02999,0.200445
202,-0.02998,0.200445
203,-0.02997,0.200445
204,-0.02996,0.200445
205,-0.02995,0.200445
206,-0.02994,0.200445
207,-0.02993,0.200445
208,-0.02992,0.200445
209,-0.02991,0.200445
210,-0.0299,0.200445
211,-0.02989,0.200445
212,-0.02988,0.200445
213,-0.02987,0.200445
214,-0.02986,0.200445
215,-0.02985,0.200445
216,-0.02984,0.200445
217,-0.02983,0.200445
218,-0.02982,0.200445
219,-0.02981,0.200445
220,-0.0298,0.200445
