;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,-13.1124
1,-0.03199,-13.1124
2,-0.03198,-13.1124
3,-0.03197,-13.1124
4,-0.03196,-13.1124
5,-0.03195,-13.1124
6,-0.03194,-13.0957
7,-0.03193,-13.1124
8,-0.03192,-13.1124
9,-0.03191,-13.1124
10,-0.0319,-13.0957
11,-0.03189,-13.1291
12,-0.03188,-13.0957
13,-0.03187,-13.0957
14,-0.03186,-13.0957
15,-0.03185,-13.0957
16,-0.03184,-13.1124
17,-0.03183,-13.1291
18,-0.03182,-13.0957
19,-0.03181,-13.1124
20,-0.0318,-13.0957
21,-0.03179,-13.0957
22,-0.03178,-13.0957
23,-0.03177,-13.0957
24,-0.03176,-13.0957
25,-0.03175,-13.0957
26,-0.03174,-13.0957
27,-0.03173,-13.0957
28,-0.03172,-13.0957
29,-0.03171,-13.0957
30,-0.0317,-13.0957
31,-0.03169,-13.0957
32,-0.03168,-13.1291
33,-0.03167,-13.0957
34,-0.03166,-13.0957
35,-0.03165,-13.0957
36,-0.03164,-13.0957
37,-0.03163,-13.0957
38,-0.03162,-13.0957
39,-0.03161,-13.0957
40,-0.0316,-13.0957
41,-0.03159,-13.0957
42,-0.03158,-13.0957
43,-0.03157,-13.0957
44,-0.03156,-13.0957
45,-0.03155,-13.0957
46,-0.03154,-13.0957
47,-0.03153,-13.0957
48,-0.03152,-13.0957
49,-0.03151,-13.0957
50,-0.0315,-13.0957
51,-0.03149,-13.0957
52,-0.03148,-13.1124
53,-0.03147,-13.079
54,-0.03146,-13.0957
55,-0.03145,-13.0957
56,-0.03144,-13.0957
57,-0.03143,-13.0957
58,-0.03142,-13.079
59,-0.03141,-13.0957
60,-0.0314,-13.079
61,-0.03139,-13.1124
62,-0.03138,-13.0957
63,-0.03137,-13.0957
64,-0.03136,-13.079
65,-0.03135,-13.079
66,-0.03134,-13.079
67,-0.03133,-13.079
68,-0.03132,-13.079
69,-0.03131,-13.079
70,-0.0313,-13.079
71,-0.03129,-13.079
72,-0.03128,-13.079
73,-0.03127,-13.079
74,-0.03126,-13.079
75,-0.03125,-13.079
76,-0.03124,-13.079
77,-0.03123,-13.079
78,-0.03122,-13.079
79,-0.03121,-13.079
80,-0.0312,-13.079
81,-0.03119,-13.079
82,-0.03118,-13.079
83,-0.03117,-13.079
84,-0.03116,-13.079
85,-0.03115,-13.079
86,-0.03114,-13.079
87,-0.03113,-13.079
88,-0.03112,-13.079
89,-0.03111,-13.079
90,-0.0311,-13.079
91,-0.03109,-13.079
92,-0.03108,-13.079
93,-0.03107,-13.079
94,-0.03106,-13.079
95,-0.03105,-13.0957
96,-0.03104,-13.0623
97,-0.03103,-13.079
98,-0.03102,-13.079
99,-0.03101,-13.079
100,-0.031,-13.079
101,-0.03099,-13.0623
102,-0.03098,-13.0623
103,-0.03097,-13.079
104,-0.03096,-13.0623
105,-0.03095,-13.0623
106,-0.03094,-13.0623
107,-0.03093,-13.0623
108,-0.03092,-13.0623
109,-0.03091,-13.0623
110,-0.0309,-13.0623
111,-0.03089,-13.0623
112,-0.03088,-13.0623
113,-0.03087,-13.0623
114,-0.03086,-13.0623
115,-0.03085,-13.0623
116,-0.03084,-13.0623
117,-0.03083,-13.0623
118,-0.03082,-13.0623
119,-0.03081,-13.0623
120,-0.0308,-13.0623
121,-0.03079,-13.0623
122,-0.03078,-13.0623
123,-0.03077,-13.0623
124,-0.03076,-13.0623
125,-0.03075,-13.0289
126,-0.03074,-13.0289
127,-0.03073,-13.0289
128,-0.03072,-13.0289
129,-0.03071,-13.0289
130,-0.0307,-13.0289
131,-0.03069,-13.0289
132,-0.03068,-13.0289
133,-0.03067,-13.0289
134,-0.03066,-13.0289
135,-0.03065,-13.0289
136,-0.03064,-13.0289
137,-0.03063,-13.0289
138,-0.03062,-13.0289
139,-0.03061,-13.0289
140,-0.0306,-13.0122
141,-0.03059,-13.0122
142,-0.03058,-13.0122
143,-0.03057,-13.0122
144,-0.03056,-13.0122
145,-0.03055,-13.0122
146,-0.03054,-13.0122
147,-0.03053,-13.0122
148,-0.03052,-12.9955
149,-0.03051,-12.9955
150,-0.0305,-12.9955
151,-0.03049,-12.9621
152,-0.03048,-13.1959
153,-0.03047,-3.44097
154,-0.03046,11.6258
155,-0.03045,10.7071
156,-0.03044,10.7572
157,-0.03043,10.7238
158,-0.03042,10.6904
159,-0.03041,10.7572
160,-0.0304,10.9576
