time	V(n002)	V(n004)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000013351432e-10	-4.523468e+00	2.534627e+00
1.125000015020361e-10	-4.523519e+00	2.695533e+00
1.375000018358219e-10	-1.003705e+00	2.740731e+00
1.413800862822889e-10	-1.003704e+00	2.747966e+00
1.957012685328277e-10	-1.003691e+00	2.850523e+00
2.577826196763007e-10	-1.003677e+00	2.966012e+00
3.819453219632464e-10	-1.003656e+00	3.191628e+00
6.302707265371381e-10	-1.003637e+00	3.622327e+00
1.126921535684921e-09	-1.003690e+00	4.421667e+00
1.749327268323159e-09	-1.003925e+00	5.323731e+00
2.453411517459028e-09	-1.004409e+00	6.206332e+00
3.472692861073294e-09	-1.005511e+00	7.254666e+00
4.950943838884871e-09	-1.007912e+00	8.375347e+00
7.379118680852702e-09	-1.013785e+00	9.438012e+00
1.031257652092670e-08	-1.023814e+00	9.492575e+00
1.412636013633401e-08	-1.041110e+00	7.629915e+00
1.794294846898953e-08	-1.062634e+00	4.305094e+00
1.972194884389506e-08	-1.073938e+00	2.699391e+00
2.111036387931006e-08	-1.083254e+00	1.818305e+00
2.279782453180246e-08	-1.095122e+00	1.190894e+00
2.413990900855151e-08	-1.104966e+00	8.907131e-01
2.571655185610902e-08	-1.116962e+00	6.756957e-01
2.733451466916377e-08	-1.129730e+00	5.370503e-01
2.961609012063934e-08	-1.148463e+00	4.201123e-01
3.170984371989732e-08	-1.166351e+00	3.592976e-01
3.453654683288399e-08	-1.191459e+00	3.212499e-01
3.757834604911145e-08	-1.219585e+00	3.076791e-01
4.092695800420003e-08	-1.251722e+00	3.055946e-01
4.465864895659046e-08	-1.288804e+00	3.054706e-01
5.177713555383816e-08	-1.362565e+00	3.052702e-01
6.601410874833355e-08	-1.518663e+00	3.049197e-01
8.713086043390709e-08	-1.762920e+00	3.044267e-01
1.108145133905726e-07	-2.045748e+00	3.038722e-01
1.384351716147776e-07	-2.380232e+00	3.032145e-01
2.044541230127218e-07	-3.185905e+00	3.016236e-01
2.672234790131712e-07	-3.955214e+00	3.001017e-01
3.927621910140700e-07	-5.501468e+00	2.970448e-01
5.685779509587168e-07	-7.683994e+00	2.927427e-01
7.304822381059716e-07	-9.711498e+00	2.889502e-01
9.507941907973674e-07	-1.209682e+01	2.843433e-01
9.677806410968907e-07	-1.211697e+01	2.841627e-01
1.001753541695937e-06	-1.214343e+01	2.841257e-01
1.069699342894030e-06	-1.217461e+01	2.841145e-01
1.156374356553496e-06	-1.219832e+01	2.841281e-01
1.278011405219038e-06	-1.221087e+01	2.841630e-01
1.281812562989836e-06	-1.221087e+01	2.841642e-01
1.289414878531433e-06	-1.221088e+01	2.841669e-01
1.304619509614625e-06	-1.221089e+01	2.841727e-01
