time	V(oscillateur_2)	V(n003)
0.000000000000000e+00	7.499990e+00	4.124984e+00
2.857142776337340e-10	7.499989e+00	4.124984e+00
5.714285552674680e-10	7.499990e+00	4.124984e+00
8.571428329012020e-10	7.499995e+00	4.124984e+00
1.142857110534936e-09	7.500004e+00	4.124984e+00
1.428571388168670e-09	7.500015e+00	4.124985e+00
1.714285665802404e-09	7.500030e+00	4.124985e+00
1.999999943436137e-09	7.500048e+00	4.124985e+00
3.999999886872274e-09	7.499974e+00	4.124984e+00
7.999999773744548e-09	7.499880e+00	4.124983e+00
1.599999954748910e-08	7.500151e+00	4.124987e+00
3.199999909497819e-08	7.499859e+00	4.124982e+00
6.399999818995639e-08	7.500074e+00	4.124986e+00
1.279999963799128e-07	7.499946e+00	4.124984e+00
2.492161198192300e-07	7.500010e+00	4.124985e+00
6.398411198192300e-07	7.499990e+00	4.124984e+00
1.030466119819230e-06	7.499990e+00	4.124984e+00
1.225778619819230e-06	7.500027e+00	4.124985e+00
1.327080349499454e-06	7.499963e+00	4.124984e+00
1.403155853406097e-06	7.500032e+00	4.124985e+00
1.459873255771109e-06	7.499979e+00	4.124984e+00
1.514925476577553e-06	7.499984e+00	4.124984e+00
1.574257531351300e-06	7.499973e+00	4.124984e+00
1.630150891605784e-06	7.499989e+00	4.124984e+00
1.688842401404958e-06	7.499991e+00	4.124984e+00
1.745659537325411e-06	7.499988e+00	4.124984e+00
1.805681710204472e-06	7.500008e+00	4.124984e+00
1.872209246040646e-06	7.500099e+00	4.124986e+00
1.915557400684470e-06	7.500037e+00	4.124985e+00
1.968240675110741e-06	7.500080e+00	4.124986e+00
2.009365375417004e-06	7.500074e+00	4.124985e+00
2.064502832962881e-06	7.499850e+00	4.124982e+00
2.174777748054634e-06	7.500027e+00	4.124985e+00
2.319071027510792e-06	7.499962e+00	4.124984e+00
2.514383527510792e-06	7.499991e+00	4.124984e+00
2.709696027510792e-06	7.499994e+00	4.124984e+00
2.905008527510792e-06	7.504314e+00	4.125048e+00
2.929422590010792e-06	7.503232e+00	4.125031e+00
2.978250715010792e-06	7.500002e+00	4.124984e+00
3.075906965010792e-06	7.499988e+00	4.124984e+00
4.551636811610914e-06	7.499990e+00	4.124984e+00
6.027366658211036e-06	7.499992e+00	4.124984e+00
7.503096504811158e-06	7.499994e+00	4.124984e+00
8.978826351411280e-06	7.499996e+00	4.124984e+00
1.045455619801140e-05	7.499997e+00	4.124983e+00
1.193028604461152e-05	7.499999e+00	4.124983e+00
1.340601589121164e-05	7.500000e+00	4.124983e+00
1.580556946264020e-05	7.499999e+00	4.124983e+00
1.820512303406876e-05	7.500004e+00	4.124982e+00
2.060467660549733e-05	7.500015e+00	4.124980e+00
2.300423017692589e-05	7.500031e+00	4.124976e+00
2.540378374835444e-05	7.500053e+00	4.124972e+00
2.780333731978300e-05	7.500080e+00	4.124967e+00
3.020289089121156e-05	7.500112e+00	4.124961e+00
3.115155160549727e-05	7.500132e+00	4.124958e+00
3.210021231978298e-05	7.500159e+00	4.124953e+00
3.304887303406868e-05	7.500194e+00	4.124948e+00
3.399753374835439e-05	7.500236e+00	4.124941e+00
3.494619446264010e-05	7.500285e+00	4.124933e+00
3.589485517692581e-05	7.500342e+00	4.124924e+00
3.684351589121152e-05	7.500406e+00	4.124914e+00
3.723414089121152e-05	7.500442e+00	4.124909e+00
3.762476589121151e-05	7.500480e+00	4.124903e+00
3.801539089121151e-05	7.500522e+00	4.124897e+00
3.840601589121151e-05	7.500565e+00	4.124890e+00
3.879664089121151e-05	7.500612e+00	4.124883e+00
3.918726589121150e-05	7.500661e+00	4.124876e+00
3.957789089121150e-05	7.500713e+00	4.124868e+00
3.977320339121150e-05	7.500756e+00	4.124864e+00
3.996851589121150e-05	7.500774e+00	4.124859e+00
4.016382839121150e-05	7.500820e+00	4.124855e+00
4.035914089121150e-05	7.500841e+00	4.124849e+00
4.055445339121150e-05	7.500891e+00	4.124845e+00
4.074976589121149e-05	7.500914e+00	4.124839e+00
4.094507839121149e-05	7.500968e+00	4.124834e+00
4.114039089121149e-05	7.500993e+00	4.124827e+00
4.133570339121149e-05	7.501051e+00	4.124822e+00
4.153101589121149e-05	7.501080e+00	4.124815e+00
4.172632839121149e-05	7.501148e+00	4.124809e+00
4.192164089121149e-05	7.501185e+00	4.124802e+00
4.211695339121149e-05	7.501256e+00	4.124795e+00
4.231226589121148e-05	7.501293e+00	4.124787e+00
4.250757839121148e-05	7.501369e+00	4.124780e+00
4.270289089121148e-05	7.501411e+00	4.124771e+00
4.289820339121148e-05	7.501494e+00	4.124763e+00
4.309351589121148e-05	7.501541e+00	4.124754e+00
4.328882839121148e-05	7.501630e+00	4.124745e+00
4.348414089121148e-05	7.501681e+00	4.124735e+00
4.367945339121148e-05	7.501777e+00	4.124725e+00
4.387476589121147e-05	7.501832e+00	4.124714e+00
4.407007839121147e-05	7.501935e+00	4.124703e+00
4.426539089121147e-05	7.501997e+00	4.124691e+00
4.446070339121147e-05	7.502108e+00	4.124680e+00
4.465601589121147e-05	7.502174e+00	4.124667e+00
4.485132839121147e-05	7.502295e+00	4.124654e+00
4.504664089121147e-05	7.655078e+00	4.126938e+00
4.504752155181385e-05	7.744008e+00	4.128317e+00
4.504928287301860e-05	8.152142e+00	4.134815e+00
4.505122554954326e-05	8.707582e+00	4.144169e+00
4.505322268328243e-05	9.299048e+00	4.155069e+00
4.505709727772615e-05	1.026493e+01	4.175198e+00
4.506190530408432e-05	1.107173e+01	4.194763e+00
4.506832367338484e-05	1.162708e+01	4.210741e+00
4.507524672591318e-05	1.186561e+01	4.217645e+00
4.508234928038799e-05	1.193837e+01	4.216592e+00
4.509115179984466e-05	1.195994e+01	4.208666e+00
4.510475461589357e-05	1.196560e+01	4.190949e+00
4.512230650865792e-05	1.196437e+01	4.166500e+00
4.514034608335024e-05	1.196148e+01	4.144248e+00
4.515946759832864e-05	1.195875e+01	4.126336e+00
4.517808885406407e-05	1.195688e+01	4.114791e+00
4.519910305525947e-05	1.195569e+01	4.107401e+00
4.522489291336588e-05	1.195499e+01	4.102703e+00
4.523627490069709e-05	1.195489e+01	4.101634e+00
4.524583135359768e-05	1.195488e+01	4.101103e+00
4.525819043067948e-05	1.195491e+01	4.100476e+00
4.527132468627667e-05	1.195494e+01	4.099737e+00
4.528671749705873e-05	1.195496e+01	4.098666e+00
4.530492200945526e-05	1.195495e+01	4.097059e+00
4.532859120520635e-05	1.195486e+01	4.094477e+00
4.536076686095015e-05	1.195464e+01	4.090398e+00
4.540803620136262e-05	1.195423e+01	4.083945e+00
4.545609299735402e-05	1.195378e+01	4.077308e+00
4.550808326051221e-05	1.195332e+01	4.070233e+00
4.557232326826866e-05	1.195275e+01	4.061588e+00
4.570080328378156e-05	1.195163e+01	4.044311e+00
4.581999876883449e-05	1.195059e+01	4.028266e+00
4.601531126883449e-05	1.194888e+01	4.001983e+00
4.621062376883449e-05	1.194718e+01	3.975711e+00
4.640593626883449e-05	1.194547e+01	3.949448e+00
4.660124876883449e-05	1.194377e+01	3.923196e+00
4.679656126883449e-05	1.194206e+01	3.896953e+00
4.718718626883448e-05	1.193866e+01	3.844499e+00
4.777312376883448e-05	1.193355e+01	3.765893e+00
4.827535591169162e-05	1.192918e+01	3.698588e+00
4.877758805454876e-05	1.192481e+01	3.631350e+00
4.927982019740590e-05	1.192045e+01	3.564177e+00
4.978205234026304e-05	1.191609e+01	3.497071e+00
5.028428448312018e-05	1.191174e+01	3.430031e+00
5.078651662597732e-05	1.190739e+01	3.363058e+00
5.128874876883446e-05	1.190305e+01	3.296150e+00
5.148406126883446e-05	1.190136e+01	3.270148e+00
5.167937376883446e-05	1.189967e+01	3.244155e+00
5.177791145412875e-05	1.189882e+01	3.231045e+00
5.178440207953609e-05	1.189876e+01	3.230181e+00
5.179738333035076e-05	1.189865e+01	3.228454e+00
5.182334583198010e-05	1.189842e+01	3.225001e+00
5.182415716015601e-05	1.189842e+01	3.224893e+00
5.182577981650785e-05	1.189840e+01	3.224677e+00
5.182902512921152e-05	1.189838e+01	3.224246e+00
5.183551575461886e-05	1.189832e+01	3.223382e+00
5.184849700543353e-05	1.189818e+01	3.221655e+00
5.185174231813720e-05	1.189795e+01	3.221220e+00
5.185823294354454e-05	1.188614e+01	3.220168e+00
5.186284153165615e-05	1.169081e+01	3.216480e+00
5.186652307682602e-05	1.067284e+01	3.200100e+00
5.186884652615759e-05	8.451021e+00	3.164892e+00
5.187054228853468e-05	5.372317e+00	3.115007e+00
5.187182073007921e-05	2.683626e+00	3.069074e+00
5.187246746468916e-05	1.687586e+00	3.049740e+00
5.187331363143928e-05	9.771079e-01	3.032069e+00
5.187373690497986e-05	7.823758e-01	3.025483e+00
5.187424003150600e-05	6.509293e-01	3.019184e+00
5.187481607067374e-05	5.478967e-01	3.012880e+00
5.187570906508403e-05	4.454432e-01	3.004413e+00
5.187668668969292e-05	3.782613e-01	2.996476e+00
5.187788342935966e-05	3.364598e-01	2.988365e+00
5.187927457009310e-05	3.181156e-01	2.980725e+00
5.188099610076772e-05	3.138635e-01	2.973338e+00
5.188281124925723e-05	3.137201e-01	2.967649e+00
5.188529155678985e-05	3.135730e-01	2.963243e+00
5.189025217185509e-05	3.133765e-01	2.962847e+00
5.190017340198556e-05	3.131813e-01	2.978508e+00
5.190968781437732e-05	3.131323e-01	3.005857e+00
5.192348583199344e-05	3.131784e-01	3.055041e+00
5.193866997537444e-05	3.132672e-01	3.108553e+00
5.195511861998813e-05	3.133633e-01	3.157996e+00
5.197460148575958e-05	3.134527e-01	3.201623e+00
5.199340296849579e-05	3.135093e-01	3.228700e+00
5.201460799383841e-05	3.135426e-01	3.244802e+00
5.203934889090007e-05	3.135579e-01	3.253071e+00
5.205075928574635e-05	3.135596e-01	3.254384e+00
5.205822921633732e-05	3.135585e-01	3.254540e+00
5.206710171753345e-05	3.135566e-01	3.254568e+00
5.207649987898125e-05	3.135547e-01	3.254622e+00
5.208692337001513e-05	3.135525e-01	3.254837e+00
5.209758990846455e-05	3.135509e-01	3.255326e+00
5.210987426752858e-05	3.135495e-01	3.256317e+00
5.212683550166822e-05	3.135494e-01	3.258390e+00
5.214918378782879e-05	3.135510e-01	3.262119e+00
5.218282199601577e-05	3.135563e-01	3.268962e+00
5.221750923412579e-05	3.135633e-01	3.276698e+00
5.225588592477817e-05	3.135716e-01	3.285407e+00
5.230003214065211e-05	3.135808e-01	3.295222e+00
5.235352340644438e-05	3.135914e-01	3.306885e+00
5.273072202946126e-05	3.136654e-01	3.388799e+00
6.269165952946126e-05	3.156216e-01	5.553062e+00
6.279692577032185e-05	4.513628e-01	5.578318e+00
6.285090577487532e-05	7.364453e-01	5.595029e+00
6.285133081350071e-05	7.526746e-01	5.595371e+00
6.285218089075149e-05	8.213823e-01	5.596614e+00
6.285388104525303e-05	1.014735e+00	5.600119e+00
6.285722603043616e-05	1.568272e+00	5.610315e+00
6.286068358162669e-05	2.426442e+00	5.626385e+00
6.286426757022658e-05	3.694379e+00	5.650681e+00
6.286811233069662e-05	5.381820e+00	5.684414e+00
6.287342792779321e-05	7.735929e+00	5.734705e+00
6.287979334396609e-05	9.955976e+00	5.786520e+00
6.288558373984854e-05	1.116571e+01	5.817292e+00
6.289152125558521e-05	1.173462e+01	5.830800e+00
6.289750414964352e-05	1.195749e+01	5.830385e+00
6.290418080553694e-05	1.203990e+01	5.818927e+00
6.291267886431803e-05	1.206854e+01	5.795277e+00
6.292533803022501e-05	1.207469e+01	5.753569e+00
6.294373865739282e-05	1.206978e+01	5.694197e+00
6.296278439025803e-05	1.206252e+01	5.643214e+00
6.298173180687378e-05	1.205659e+01	5.607395e+00
6.300040001916203e-05	1.205279e+01	5.586284e+00
6.302104396084696e-05	1.205060e+01	5.575032e+00
6.304297558914000e-05	1.204967e+01	5.570835e+00
6.305351859233563e-05	1.204961e+01	5.570701e+00
6.306359915823036e-05	1.204973e+01	5.571305e+00
6.307428168928949e-05	1.204992e+01	5.572052e+00
6.308586085996249e-05	1.205014e+01	5.572741e+00
6.309777253791014e-05	1.205036e+01	5.573173e+00
6.310906707431271e-05	1.205052e+01	5.573225e+00
6.312215330150145e-05	1.205065e+01	5.572828e+00
6.313673720245503e-05	1.205071e+01	5.571836e+00
6.316009337753075e-05	1.205067e+01	5.569363e+00
6.319798442084323e-05	1.205041e+01	5.564309e+00
6.323012875677385e-05	1.205009e+01	5.559614e+00
6.326555969159353e-05	1.204973e+01	5.554417e+00
6.330365489529864e-05	1.204936e+01	5.549020e+00
6.335599740615476e-05	1.204888e+01	5.541800e+00
6.344165190996696e-05	1.204812e+01	5.530061e+00
6.353480325397301e-05	1.204729e+01	5.517263e+00
6.366633813634385e-05	1.204612e+01	5.499172e+00
6.386165063634385e-05	1.204437e+01	5.472326e+00
6.405696313634386e-05	1.204263e+01	5.445489e+00
6.425227563634386e-05	1.204089e+01	5.418663e+00
6.444758813634387e-05	1.203915e+01	5.391848e+00
6.464290063634387e-05	1.203741e+01	5.365042e+00
6.503352563634388e-05	1.203393e+01	5.311461e+00
6.561946313634390e-05	1.202871e+01	5.231168e+00
6.642861492205821e-05	1.202152e+01	5.120439e+00
6.723776670777251e-05	1.201434e+01	5.009884e+00
6.804691849348683e-05	1.200717e+01	4.899506e+00
6.885607027920114e-05	1.200002e+01	4.789302e+00
6.966522206491545e-05	1.199287e+01	4.679273e+00
7.047437385062975e-05	1.198574e+01	4.569420e+00
7.128352563634406e-05	1.197861e+01	4.459742e+00
8.026790063634432e-05	1.190028e+01	3.253567e+00
8.029231469884432e-05	1.190007e+01	3.250318e+00
8.034114282384431e-05	1.189965e+01	3.243821e+00
8.038943994849339e-05	1.189923e+01	3.237395e+00
8.043306113066906e-05	1.189885e+01	3.231592e+00
8.044396642621297e-05	1.189876e+01	3.230141e+00
8.046577701730080e-05	1.189857e+01	3.227240e+00
8.047122966507276e-05	1.189852e+01	3.226514e+00
8.048213496061668e-05	1.189643e+01	3.225026e+00
8.050394555170451e-05	1.188607e+01	3.221933e+00
8.050421178368294e-05	1.188564e+01	3.221891e+00
8.050474424763981e-05	1.188319e+01	3.221782e+00
8.050580917555355e-05	1.186237e+01	3.221324e+00
8.050793903138103e-05	1.172363e+01	3.218938e+00
8.050947485280380e-05	1.140504e+01	3.213899e+00
8.051080618110069e-05	1.068934e+01	3.202827e+00
8.051195949001560e-05	9.394049e+00	3.182775e+00
8.051312085169069e-05	7.250585e+00	3.149017e+00
8.051433078387248e-05	4.466074e+00	3.103695e+00
8.051513899795359e-05	2.723454e+00	3.073447e+00
8.051580814948139e-05	1.713052e+00	3.053496e+00
8.051659448269696e-05	1.021819e+00	3.036546e+00
8.051699732177477e-05	8.227584e-01	3.030025e+00
8.051749238419577e-05	6.807718e-01	3.023564e+00
8.051808455172280e-05	5.666515e-01	3.016866e+00
8.051903012643479e-05	4.507813e-01	3.007627e+00
8.051992553535396e-05	3.850470e-01	3.000141e+00
8.052112337780935e-05	3.396977e-01	2.991754e+00
8.052245694250582e-05	3.194982e-01	2.984178e+00
8.052438085526874e-05	3.139186e-01	2.975655e+00
8.052612603989763e-05	3.137285e-01	2.969985e+00
8.052853614592327e-05	3.135907e-01	2.965474e+00
8.053335635797457e-05	3.133878e-01	2.964570e+00
8.054299678207714e-05	3.131896e-01	2.978880e+00
8.055247511493697e-05	3.131338e-01	3.005554e+00
8.056599535512856e-05	3.131752e-01	3.053499e+00
8.058098733508397e-05	3.132617e-01	3.106660e+00
