time	V(v_osc2)	V(n007)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	3.777160e+00	-6.397288e+00
1.124999968182827e-09	4.085893e+00	-6.695060e+00
2.124999968182827e-09	5.383490e+00	-5.433591e+00
2.249999968182827e-09	5.533189e+00	-5.200458e+00
3.249999968182827e-09	6.577785e+00	-3.273534e+00
4.249999968182827e-09	7.470539e+00	-2.579627e+00
5.249999968182827e-09	8.218008e+00	-2.578789e+00
5.845079501871187e-09	8.619521e+00	-2.577401e+00
5.926046655053889e-09	8.669860e+00	-2.577283e+00
6.087980961419294e-09	8.762708e+00	-2.577345e+00
6.411849574150103e-09	8.933900e+00	-2.577512e+00
6.991853031738807e-09	9.190395e+00	-2.577962e+00
8.151859946916216e-09	9.507306e+00	-2.579435e+00
1.047187377727103e-08	9.412531e+00	-2.584260e+00
1.397006293293928e-08	7.715663e+00	-2.595262e+00
1.764043740774959e-08	4.549835e+00	-2.610600e+00
1.934596195856667e-08	2.955923e+00	-2.619131e+00
2.063821623170474e-08	2.049015e+00	-2.626323e+00
2.227340055252755e-08	1.332366e+00	-2.635965e+00
2.339569421493741e-08	1.024175e+00	-2.642917e+00
2.474750368365241e-08	7.909085e-01	-2.651695e+00
2.618911607120670e-08	6.259423e-01	-2.661485e+00
2.807664552041239e-08	4.896695e-01	-2.674918e+00
3.008214682852124e-08	4.023197e-01	-2.689899e+00
3.252662276881404e-08	3.442967e-01	-2.709090e+00
3.520819038822332e-08	3.161204e-01	-2.731236e+00
3.875276066778606e-08	3.065735e-01	-2.762015e+00
4.245262651163627e-08	3.056085e-01	-2.795670e+00
4.607066480639613e-08	3.054988e-01	-2.829978e+00
4.954341495232542e-08	3.054038e-01	-2.864073e+00
5.307520179213553e-08	3.053149e-01	-2.899767e+00
5.661577582207869e-08	3.052290e-01	-2.936439e+00
6.027834367088257e-08	3.051451e-01	-2.975229e+00
6.487649643878546e-08	3.050383e-01	-3.024939e+00
7.008211967816114e-08	3.049216e-01	-3.082341e+00
7.675898090704814e-08	3.047691e-01	-3.157388e+00
8.479505540739858e-08	3.045864e-01	-3.249319e+00
9.479505540739857e-08	3.043551e-01	-3.365469e+00
1.047950554073986e-07	3.041218e-01	-3.483016e+00
