time	V(in-)	V(out)	V(in+)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.882812487672084e-10	-2.199857e-13	1.108098e-07	-2.264816e-06
9.765624975344167e-10	-4.399716e-13	2.240618e-07	-2.954778e-06
2.550594473939885e-08	-1.149123e-11	3.333868e-06	-3.069363e-07
5.003532698126329e-08	-2.254248e-11	1.172569e-05	6.838277e-06
7.456470922312773e-08	-3.359371e-11	2.539954e-05	1.848086e-05
9.909409146499217e-08	-4.464493e-11	4.435541e-05	3.462082e-05
1.236234737068566e-07	-5.569613e-11	6.859330e-05	5.525815e-05
1.481528559487210e-07	-6.674732e-11	9.811321e-05	8.039285e-05
1.726822381905854e-07	-7.779849e-11	1.329151e-04	1.100249e-04
2.184324318149058e-07	-9.841007e-11	2.608415e-04	2.189477e-04
2.621875001882060e-07	-1.181225e-10	4.922919e-04	4.160159e-04
3.063333205824187e-07	-1.380104e-10	9.552262e-04	8.101810e-04
3.586838999441924e-07	-1.615932e-10	2.043486e-03	1.736779e-03
4.072676523864303e-07	-1.834763e-10	4.141651e-03	3.523260e-03
4.602157068292117e-07	-2.073187e-10	8.872690e-03	7.551498e-03
5.103686979679968e-07	-2.298893e-10	1.829868e-02	1.557725e-02
5.629447838772540e-07	-2.535169e-10	3.894372e-02	3.315546e-02
6.138068674980611e-07	-2.761049e-10	8.093424e-02	6.890824e-02
6.660726840910408e-07	-1.911063e-10	1.707584e-01	1.453890e-01
7.175439989313597e-07	4.775579e-09	3.249588e-01	2.766828e-01
7.400385715471411e-07	6.686747e-08	4.268392e-01	3.634287e-01
7.536551184375726e-07	3.098943e-07	5.069426e-01	4.316327e-01
7.610262591340963e-07	8.036441e-07	5.563632e-01	4.737118e-01
7.668616591522054e-07	1.762271e-06	5.986593e-01	5.097248e-01
7.728752601856901e-07	3.656962e-06	6.450796e-01	5.492493e-01
7.804963551899661e-07	7.865237e-06	7.083986e-01	6.031622e-01
7.918301021711116e-07	1.857995e-05	8.116499e-01	6.910754e-01
8.083867992898162e-07	4.543989e-05	9.790657e-01	8.336214e-01
8.331978035653427e-07	1.147193e-04	1.254357e+00	1.068018e+00
