time	V(integrateur)	V(osc_1)	V(out)
0.000000000000000e+00	-1.360552e+01	-1.221121e+01	2.934241e-01
1.082953125000098e-05	-1.360548e+01	-1.221114e+01	2.934242e-01
1.334953125000163e-05	-1.360540e+01	-1.221109e+01	2.934243e-01
1.586953125000228e-05	-1.360510e+01	-1.221061e+01	2.934249e-01
1.807339392138028e-05	-1.360436e+01	-1.220929e+01	2.934263e-01
2.024897143629474e-05	-1.360272e+01	-1.220643e+01	2.934294e-01
2.230582592353467e-05	-1.359948e+01	-1.220062e+01	2.934354e-01
2.398542166851154e-05	-1.359498e+01	-1.219061e+01	2.934438e-01
2.423942939525428e-05	-1.359389e+01	-1.218821e+01	2.934459e-01
2.474744484873802e-05	-1.359056e+01	-1.218243e+01	2.934522e-01
2.548412814143246e-05	-1.358305e+01	-1.216911e+01	2.934664e-01
2.603872247783356e-05	-1.357434e+01	-1.214998e+01	2.934831e-01
2.612628567640572e-05	-1.357211e+01	-1.214525e+01	2.934874e-01
2.630141207354830e-05	-1.356532e+01	-1.213330e+01	2.935005e-01
2.648300254926191e-05	-1.355570e+01	-1.211338e+01	2.935190e-01
2.652245899797262e-05	-1.355253e+01	-1.210701e+01	2.935251e-01
2.660137189539578e-05	-1.354313e+01	-1.209037e+01	2.935431e-01
2.666540744372323e-05	-1.353100e+01	-1.206878e+01	2.935662e-01
2.671916928210713e-05	-1.351033e+01	-1.203689e+01	2.936048e-01
2.676511574941677e-05	-1.345353e+01	-1.197627e+01	2.937072e-01
2.680680226154787e-05	-1.330348e+01	-1.182102e+01	2.939818e-01
2.685452158746569e-05	-1.298026e+01	-1.148537e+01	2.945889e-01
2.688867142209769e-05	-1.264970e+01	-1.114106e+01	2.952242e-01
2.692729463948072e-05	-1.219812e+01	-1.067862e+01	2.961059e-01
2.696766078952306e-05	-1.169663e+01	-1.016679e+01	2.970960e-01
2.701476946436257e-05	-1.111453e+01	-9.580905e+00	2.982520e-01
2.706596506422097e-05	-1.049679e+01	-8.967482e+00	2.994773e-01
2.718004931728107e-05	-9.134791e+00	-7.603685e+00	3.021685e-01
2.721375117212786e-05	-8.733197e+00	-7.201159e+00	3.029605e-01
2.724768726861809e-05	-8.329418e+00	-6.796123e+00	3.037562e-01
2.728102945836683e-05	-7.933607e+00	-6.398575e+00	3.045355e-01
2.731437164811557e-05	-7.538186e+00	-6.001050e+00	3.053133e-01
2.734771383786430e-05	-7.143155e+00	-5.603548e+00	3.060896e-01
2.738105602761304e-05	-6.748515e+00	-5.206070e+00	3.068644e-01
2.741439821736177e-05	-6.354264e+00	-4.808614e+00	3.076378e-01
2.744774040711051e-05	-5.960405e+00	-4.411182e+00	3.084096e-01
2.748108259685925e-05	-5.566935e+00	-4.013772e+00	3.091800e-01
2.758451957359832e-05	-4.363279e+00	-2.780572e+00	3.115340e-01
2.771860901612869e-05	-3.469434e+00	-1.181566e+00	3.133501e-01
2.781840019577993e-05	-3.951760e+00	1.137686e-02	3.124481e-01
2.791788943146307e-05	-5.128755e+00	1.200822e+00	3.100797e-01
2.803088008400574e-05	-6.482751e+00	2.551653e+00	3.073331e-01
2.814745142448553e-05	-7.786750e+00	3.945260e+00	3.046812e-01
2.820270938727262e-05	-8.232887e+00	4.605856e+00	3.037491e-01
2.825990843948779e-05	-8.457845e+00	5.289649e+00	3.032358e-01
2.827298919391187e-05	-8.467728e+00	5.446023e+00	3.032031e-01
2.828651890679837e-05	-8.455462e+00	5.607764e+00	3.032209e-01
2.829852942995599e-05	-8.442235e+00	5.751343e+00	3.032424e-01
2.831439417295967e-05	-8.424593e+00	5.940997e+00	3.032733e-01
2.833167726160567e-05	-8.407559e+00	6.147606e+00	3.033040e-01
2.835103111256156e-05	-8.392381e+00	6.378968e+00	3.033316e-01
2.837088391785363e-05	-8.381180e+00	6.616294e+00	3.033512e-01
2.839374939220783e-05	-8.372684e+00	6.889632e+00	3.033645e-01
2.842280427390285e-05	-8.365496e+00	7.236959e+00	3.033734e-01
2.843902573191823e-05	-8.362484e+00	7.430871e+00	3.033759e-01
2.845681727286012e-05	-8.359546e+00	7.643551e+00	3.033777e-01
2.847944000220794e-05	-8.355660e+00	7.913982e+00	3.033800e-01
2.850456888464636e-05	-8.350957e+00	8.214370e+00	3.033833e-01
2.853726452659890e-05	-8.344276e+00	8.605206e+00	3.033887e-01
2.858178198669042e-05	-8.334658e+00	9.137353e+00	3.033972e-01
2.864083281630889e-05	-8.321665e+00	9.843217e+00	3.034091e-01
2.871284465648730e-05	-8.305884e+00	1.070399e+01	3.034235e-01
2.879116024307946e-05	-8.288816e+00	1.164010e+01	3.034390e-01
2.894779141626377e-05	-8.254720e+00	1.335426e+01	3.034699e-01
2.912538608594931e-05	-8.216070e+00	1.342219e+01	3.035048e-01
3.137945470576414e-05	-7.725576e+00	1.347260e+01	3.039487e-01
4.012065647038414e-05	-5.823732e+00	1.347489e+01	3.056696e-01
4.886185823500415e-05	-3.922345e+00	1.347664e+01	3.073901e-01
5.760305999962414e-05	-2.021414e+00	1.347785e+01	3.091103e-01
6.634426176424415e-05	-1.209398e-01	1.347851e+01	3.108300e-01
7.508546352886414e-05	1.779079e+00	1.347862e+01	3.125493e-01
8.382666529348414e-05	3.678641e+00	1.347819e+01	3.142682e-01
9.256786705810413e-05	5.577746e+00	1.347721e+01	3.159866e-01
9.257753855187317e-05	5.579852e+00	1.347721e+01	3.162602e-01
9.258721060314591e-05	5.581982e+00	1.347721e+01	3.180272e-01
9.258813036745576e-05	5.582211e+00	1.347721e+01	3.199105e-01
9.258996989607547e-05	5.582781e+00	1.347721e+01	3.306148e-01
9.259364895331489e-05	5.584398e+00	1.347721e+01	3.783281e-01
9.259953462893190e-05	5.588717e+00	1.347721e+01	5.492224e-01
9.260478870923294e-05	5.596292e+00	1.347721e+01	9.056999e-01
9.260989413940011e-05	5.610660e+00	1.347721e+01	1.635159e+00
9.261414639115395e-05	5.632000e+00	1.347721e+01	2.741966e+00
9.261843160754228e-05	5.664928e+00	1.347721e+01	4.427962e+00
9.262278457323678e-05	5.707231e+00	1.347721e+01	6.495141e+00
9.262908040442823e-05	5.769704e+00	1.347721e+01	9.338094e+00
9.263481354305179e-05	5.814787e+00	1.347721e+01	1.121810e+01
9.264082500477604e-05	5.843660e+00	1.347721e+01	1.234019e+01
9.264531177693124e-05	5.852461e+00	1.347721e+01	1.274464e+01
9.265054008585939e-05	5.851331e+00	1.347721e+01	1.294603e+01
9.265633232034311e-05	5.841271e+00	1.347721e+01	1.304030e+01
9.266410570359616e-05	5.819023e+00	1.347721e+01	1.308362e+01
9.267379632012067e-05	5.784851e+00	1.347721e+01	1.309682e+01
9.268886766533417e-05	5.729563e+00	1.347720e+01	1.309523e+01
9.270678629364967e-05	5.671105e+00	1.347720e+01	1.308730e+01
9.272642483770625e-05	5.622016e+00	1.347720e+01	1.307893e+01
9.274507251702015e-05	5.591539e+00	1.347720e+01	1.307323e+01
9.276500924173571e-05	5.573928e+00	1.347720e+01	1.306964e+01
9.278748938707122e-05	5.565223e+00	1.347720e+01	1.306773e+01
9.280113204301887e-05	5.563658e+00	1.347720e+01	1.306734e+01
9.280959456759580e-05	5.563767e+00	1.347720e+01	1.306736e+01
9.281934718467083e-05	5.564258e+00	1.347720e+01	1.306750e+01
9.282912594453865e-05	5.564797e+00	1.347720e+01	1.306769e+01
9.284023707792181e-05	5.565282e+00	1.347720e+01	1.306793e+01
9.285080173902262e-05	5.565487e+00	1.347720e+01	1.306813e+01
9.286221219772725e-05	5.565343e+00	1.347720e+01	1.306831e+01
9.287455346411282e-05	5.564727e+00	1.347720e+01	1.306845e+01
9.289065841431091e-05	5.563254e+00	1.347720e+01	1.306851e+01
9.291425926610287e-05	5.560108e+00	1.347720e+01	1.306843e+01
9.295407453223034e-05	5.553575e+00	1.347720e+01	1.306805e+01
9.298731343890428e-05	5.547677e+00	1.347720e+01	1.306763e+01
9.302445807259606e-05	5.541075e+00	1.347720e+01	1.306713e+01
9.306444370546160e-05	5.534193e+00	1.347720e+01	1.306662e+01
9.312156116056056e-05	5.524572e+00	1.347720e+01	1.306594e+01
9.321037029050468e-05	5.509672e+00	1.347720e+01	1.306489e+01
9.330811626288155e-05	5.493234e+00	1.347720e+01	1.306374e+01
9.346057375326372e-05	5.467581e+00	1.347720e+01	1.306193e+01
9.376548873402807e-05	5.416319e+00	1.347719e+01	1.305832e+01
9.422030418088610e-05	5.339916e+00	1.347719e+01	1.305294e+01
9.482180869946517e-05	5.238983e+00	1.347718e+01	1.304583e+01
9.552991493900001e-05	5.120335e+00	1.347717e+01	1.303747e+01
9.650972642425565e-05	4.956486e+00	1.347716e+01	1.302593e+01
1.080168743951837e-04	3.056731e+00	1.347705e+01	1.289213e+01
1.080562493951838e-04	3.050302e+00	1.347704e+01	1.289167e+01
1.081349993951840e-04	3.037464e+00	1.347704e+01	1.289077e+01
1.081391902655292e-04	3.036781e+00	1.347704e+01	1.289072e+01
1.081475720062196e-04	3.035414e+00	1.347704e+01	1.289063e+01
1.081643354876021e-04	3.032682e+00	1.347704e+01	1.289043e+01
1.081978624503654e-04	3.027216e+00	1.347704e+01	1.289005e+01
1.081989101679517e-04	3.027046e+00	1.347704e+01	1.289004e+01
1.082010056031243e-04	3.026704e+00	1.347704e+01	1.289001e+01
1.082051964734695e-04	3.026021e+00	1.347704e+01	1.288996e+01
1.082135782141599e-04	3.024655e+00	1.347704e+01	1.288987e+01
1.082303416955425e-04	3.021922e+00	1.347704e+01	1.288964e+01
1.082345325658877e-04	3.021085e+00	1.347704e+01	1.288062e+01
1.082429143065781e-04	3.018872e+00	1.347704e+01	1.283062e+01
1.082435039928224e-04	3.018545e+00	1.347704e+01	1.281594e+01
1.082446833653092e-04	3.016879e+00	1.347704e+01	1.271954e+01
1.082462310663581e-04	3.011066e+00	1.347704e+01	1.235354e+01
1.082477002949944e-04	2.996378e+00	1.347704e+01	1.140727e+01
1.082491478852764e-04	2.965399e+00	1.347704e+01	9.418153e+00
1.082503879387044e-04	2.922514e+00	1.347704e+01	6.728650e+00
1.082515906056583e-04	2.872375e+00	1.347704e+01	3.713958e+00
1.082522573846289e-04	2.847285e+00	1.347704e+01	2.333397e+00
1.082529869362598e-04	2.826929e+00	1.347704e+01	1.392940e+00
1.082536704904852e-04	2.813287e+00	1.347704e+01	9.127986e-01
1.082541647239570e-04	2.805782e+00	1.347704e+01	7.278942e-01
1.082547599804001e-04	2.798219e+00	1.347704e+01	5.937778e-01
1.082553857183477e-04	2.791308e+00	1.347704e+01	5.016745e-01
1.082564132305255e-04	2.781490e+00	1.347704e+01	4.083534e-01
1.082574113576359e-04	2.773362e+00	1.347704e+01	3.565582e-01
1.082587638817235e-04	2.764279e+00	1.347704e+01	3.253834e-01
1.082602738511872e-04	2.756129e+00	1.347704e+01	3.151532e-01
1.082619806763198e-04	2.749017e+00	1.347704e+01	3.139842e-01
1.082638234903947e-04	2.743792e+00	1.347704e+01	3.138508e-01
1.082675091185429e-04	2.739599e+00	1.347704e+01	3.136384e-01
