time	V(out)	V(in)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.882812361904632e-13	-1.662795e-01	-1.500000e+01
9.765624723809263e-13	-2.217060e-01	-1.500000e+01
2.954542795566168e-09	-2.203361e-01	-1.500000e+01
5.908109028659955e-09	-2.179127e-01	-1.500000e+01
8.861675261753742e-09	-2.144360e-01	-1.500000e+01
1.181524149484753e-08	-2.099058e-01	-1.500000e+01
1.476880772794132e-08	-2.043222e-01	-1.500000e+01
1.772237396103510e-08	-1.976851e-01	-1.500000e+01
2.067594019412888e-08	-1.899947e-01	-1.500000e+01
3.067523334020919e-08	-1.623800e-01	-1.500000e+01
4.406373389030278e-08	-1.219981e-01	-1.500000e+01
6.114531288790044e-08	-7.208813e-02	-1.500000e+01
7.827167664295688e-08	-2.920693e-02	-1.500000e+01
9.723555315799644e-08	7.035962e-03	-1.500000e+01
1.164824137655459e-07	3.223892e-02	-1.500000e+01
1.390090731045960e-07	5.034731e-02	-1.500000e+01
1.684666317164935e-07	6.481228e-02	-1.500000e+01
1.843168151353856e-07	7.027842e-02	-1.500000e+01
2.004387509702021e-07	7.515695e-02	-1.500000e+01
2.194341911457997e-07	8.133005e-02	-1.500000e+01
2.419198122707047e-07	8.955874e-02	-1.500000e+01
2.703273954658566e-07	1.012397e-01	-1.500000e+01
3.096536492147600e-07	1.187412e-01	-1.500000e+01
3.583743552971001e-07	1.411287e-01	-1.500000e+01
4.063864714951778e-07	1.631905e-01	-1.500000e+01
4.552145964951778e-07	1.854224e-01	-1.500000e+01
5.040427214951778e-07	2.075555e-01	-1.500000e+01
5.528708464951778e-07	2.296926e-01	-1.500000e+01
6.016989714951779e-07	2.518523e-01	-1.500000e+01
6.505270964951779e-07	2.740198e-01	-1.500000e+01
6.993552214951779e-07	2.961858e-01	-1.500000e+01
7.396266102495756e-07	3.144654e-01	-1.500000e+01
7.584119446252366e-07	3.229920e-01	-1.500000e+01
7.688438192892932e-07	3.277269e-01	-1.500000e+01
7.758607521611046e-07	3.309119e-01	-1.500000e+01
7.823482781575127e-07	3.338566e-01	-1.500000e+01
7.894573140243433e-07	3.370834e-01	-1.500000e+01
8.001962761360760e-07	3.419578e-01	-1.500000e+01
8.156867779535016e-07	3.489890e-01	-1.500000e+01
8.392264353887202e-07	3.596739e-01	-1.500000e+01
8.748872152704240e-07	3.758606e-01	-1.500000e+01
9.158324000419810e-07	3.944460e-01	-1.500000e+01
9.596402190170489e-07	4.143308e-01	-1.500000e+01
1.008468344017049e-06	4.364943e-01	-1.500000e+01
1.057296469017049e-06	4.586578e-01	-1.500000e+01
1.106124594017049e-06	4.808213e-01	-1.500000e+01
1.154952719017049e-06	5.029848e-01	-1.500000e+01
1.203780844017048e-06	5.251483e-01	-1.500000e+01
1.252608969017048e-06	5.473118e-01	-1.500000e+01
1.301437094017048e-06	5.694753e-01	-1.500000e+01
1.350265219017048e-06	5.916387e-01	-1.500000e+01
1.399093344017048e-06	6.138023e-01	-1.500000e+01
1.447921469017048e-06	6.359658e-01	-1.500000e+01
1.496749594017048e-06	6.581293e-01	-1.500000e+01
1.545577719017048e-06	6.802928e-01	-1.500000e+01
1.594405844017048e-06	7.024562e-01	-1.500000e+01
1.643233969017048e-06	7.246197e-01	-1.500000e+01
1.692062094017048e-06	7.467833e-01	-1.500000e+01
1.789718344017047e-06	7.911102e-01	-1.500000e+01
1.838546469017047e-06	8.132737e-01	-1.500000e+01
1.887374594017047e-06	8.354372e-01	-1.500000e+01
2.068736201159905e-06	9.177588e-01	-1.500000e+01
2.250097808302763e-06	1.000080e+00	-1.500000e+01
2.431459415445620e-06	1.082402e+00	-1.500000e+01
2.612821022588478e-06	1.164723e+00	-1.500000e+01
2.794182629731336e-06	1.247045e+00	-1.500000e+01
2.975544236874193e-06	1.329367e+00	-1.500000e+01
3.156905844017051e-06	1.411688e+00	-1.500000e+01
6.254004058302796e-06	2.817487e+00	-1.500000e+01
9.351102272588540e-06	4.223285e+00	-1.500000e+01
1.244820048687428e-05	5.629082e+00	-1.500000e+01
1.554529870116003e-05	7.034879e+00	-1.500000e+01
1.864239691544577e-05	8.440675e+00	-1.500000e+01
2.173949512973152e-05	9.846470e+00	-1.500000e+01
2.483659334401726e-05	1.125226e+01	-1.500000e+01
2.903581209401738e-05	1.315826e+01	-1.500000e+01
2.913346834401738e-05	1.320234e+01	-1.500000e+01
2.918229646901738e-05	1.322410e+01	-1.500000e+01
2.923112459401738e-05	1.324541e+01	-1.500000e+01
2.927995271901738e-05	1.326583e+01	-1.500000e+01
2.932878084401739e-05	1.328483e+01	-1.500000e+01
2.937760896901739e-05	1.330196e+01	-1.500000e+01
2.942643709401739e-05	1.331701e+01	-1.500000e+01
2.947526521901739e-05	1.333007e+01	-1.500000e+01
2.952409334401739e-05	1.334141e+01	-1.500000e+01
2.957292146901739e-05	1.335127e+01	-1.500000e+01
2.962174959401739e-05	1.335991e+01	-1.500000e+01
2.967057771901740e-05	1.336757e+01	-1.500000e+01
2.971940584401740e-05	1.337440e+01	-1.500000e+01
2.981706209401740e-05	1.338612e+01	-1.500000e+01
2.996354646901740e-05	1.340013e+01	-1.500000e+01
3.008910450473169e-05	1.340916e+01	-1.500000e+01
3.021466254044598e-05	1.341730e+01	-1.500000e+01
3.034022057616027e-05	1.342453e+01	-1.500000e+01
3.046577861187456e-05	1.343086e+01	-1.500000e+01
3.059133664758885e-05	1.343628e+01	-1.500000e+01
3.071689468330314e-05	1.344081e+01	-1.500000e+01
3.084245271901743e-05	1.344443e+01	-1.500000e+01
3.124702861187458e-05	1.345296e+01	-1.500000e+01
3.165160450473173e-05	1.346004e+01	-1.500000e+01
3.205618039758889e-05	1.346567e+01	-1.500000e+01
3.246075629044604e-05	1.346985e+01	-1.500000e+01
3.286533218330320e-05	1.347257e+01	-1.500000e+01
3.326990807616035e-05	1.347385e+01	-1.500000e+01
3.367448396901751e-05	1.347367e+01	-1.500000e+01
3.577409334401757e-05	1.347510e+01	-1.500000e+01
3.787370271901763e-05	1.347623e+01	-1.500000e+01
3.997331209401769e-05	1.347707e+01	-1.500000e+01
4.207292146901775e-05	1.347761e+01	-1.500000e+01
4.417253084401781e-05	1.347785e+01	-1.500000e+01
4.627214021901787e-05	1.347780e+01	-1.500000e+01
4.837174959401793e-05	1.347745e+01	-1.500000e+01
4.842057771901793e-05	1.347745e+01	-1.500000e+01
4.998307771901797e-05	1.347750e+01	-1.500000e+01
5.000000000000000e-05	1.347750e+01	-1.500000e+01
