time	V(in)	V(out)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624940649698e-12	4.125004e+00	2.509960e+00
9.843626006063724e-12	4.125004e+00	2.520023e+00
9.999628136891778e-12	4.125004e+00	2.520341e+00
1.012385886526136e-10	4.125039e+00	2.703876e+00
1.924775491683354e-10	4.125074e+00	2.883851e+00
2.837165096840572e-10	4.125110e+00	3.060268e+00
3.749554701997790e-10	4.125145e+00	3.233126e+00
4.661944307155008e-10	4.125180e+00	3.402425e+00
5.574333912312226e-10	4.125216e+00	3.568164e+00
6.486723517469442e-10	4.125251e+00	3.730345e+00
1.287657079618653e-09	4.125497e+00	4.808248e+00
1.942706748771340e-09	4.125751e+00	5.794147e+00
2.856508901640031e-09	4.126104e+00	6.980902e+00
3.835464065043444e-09	4.126482e+00	8.018030e+00
5.672058214625893e-09	4.127192e+00	9.477467e+00
7.544937829067584e-09	4.127915e+00	1.043346e+01
9.675630021024239e-09	4.128739e+00	1.079133e+01
1.213338267039390e-08	4.129689e+00	1.018357e+01
1.469903744064680e-08	4.130680e+00	8.318723e+00
1.754281412477021e-08	4.131779e+00	5.264208e+00
1.921853610812770e-08	4.132426e+00	3.446963e+00
2.065651905094477e-08	4.132982e+00	2.289137e+00
2.239097681891229e-08	4.133652e+00	1.418902e+00
2.343705604147157e-08	4.134057e+00	1.099150e+00
2.475346292301159e-08	4.134565e+00	8.510137e-01
2.625232277809049e-08	4.135144e+00	6.630155e-01
2.812194146594967e-08	4.135867e+00	5.155253e-01
3.013377001635130e-08	4.136644e+00	4.203271e-01
3.254009708101360e-08	4.137574e+00	3.579960e-01
3.522690758426492e-08	4.138612e+00	3.268687e-01
3.869159798935338e-08	4.139951e+00	3.162673e-01
4.272909695624062e-08	4.141511e+00	3.151245e-01
4.643792511736248e-08	4.142944e+00	3.151034e-01
5.385558143960619e-08	4.145810e+00	3.150734e-01
6.869089408409361e-08	4.151542e+00	3.150573e-01
8.767265301783247e-08	4.158875e+00	3.150553e-01
1.110757732075725e-07	4.167916e+00	3.150626e-01
1.362917073666251e-07	4.177654e+00	3.150712e-01
1.673634033710091e-07	4.189652e+00	3.150823e-01
2.010229491030691e-07	4.202644e+00	3.150938e-01
2.527435928735711e-07	4.222595e+00	3.151121e-01
2.997668504879505e-07	4.240720e+00	3.151285e-01
3.527667762296067e-07	4.261127e+00	3.151470e-01
4.023152477932190e-07	4.280183e+00	3.151642e-01
4.550823565298839e-07	4.300448e+00	3.151826e-01
5.056186593473974e-07	4.319827e+00	3.152002e-01
5.579920775915830e-07	4.339875e+00	3.152184e-01
6.090419135791443e-07	4.359379e+00	3.152360e-01
6.611633216016705e-07	4.379251e+00	3.152540e-01
7.126254198619622e-07	4.398826e+00	3.152721e-01
7.406094497827831e-07	4.409450e+00	3.152807e-01
7.549162667916032e-07	4.414876e+00	3.152874e-01
7.628690844573308e-07	4.417891e+00	3.152881e-01
7.684914284065640e-07	4.420022e+00	3.152909e-01
7.741230737030124e-07	4.422155e+00	3.152933e-01
7.803332712022860e-07	4.424507e+00	3.152941e-01
7.895085740684094e-07	4.427979e+00	3.152988e-01
8.025100261248477e-07	4.432899e+00	3.153023e-01
8.222616885752784e-07	4.440364e+00	3.153097e-01
8.513640315539192e-07	4.451350e+00	3.153192e-01
8.901682973370254e-07	4.465969e+00	3.153327e-01
9.328889239463893e-07	4.482023e+00	3.153471e-01
9.881384104321983e-07	4.502722e+00	3.153660e-01
1.085794660432198e-06	4.539119e+00	3.153989e-01
1.183450910432198e-06	4.575253e+00	3.154317e-01
1.281107160432198e-06	4.611103e+00	3.154641e-01
1.378763410432198e-06	4.646645e+00	3.154964e-01
1.476419660432198e-06	4.681856e+00	3.155283e-01
1.574075910432199e-06	4.716715e+00	3.155599e-01
1.671732160432199e-06	4.751200e+00	3.155912e-01
1.769388410432199e-06	4.785289e+00	3.156221e-01
1.867044660432199e-06	4.818960e+00	3.156526e-01
1.964700910432199e-06	4.852191e+00	3.156828e-01
2.327424124717913e-06	4.973566e+00	3.157929e-01
2.690147339003627e-06	5.085346e+00	3.158943e-01
3.052870553289342e-06	5.187533e+00	3.159871e-01
3.415593767575056e-06	5.280124e+00	3.160712e-01
3.778316981860770e-06	5.363122e+00	3.161466e-01
4.141040196146485e-06	5.436526e+00	3.162134e-01
4.503763410432198e-06	5.500335e+00	3.162715e-01
4.992044660432199e-06	5.564580e+00	3.163303e-01
5.044764623879415e-06	5.570170e+00	3.162822e-01
5.046597264665473e-06	5.570360e+00	3.165307e-01
5.050262546237591e-06	5.570738e+00	3.234938e-01
5.055165435699703e-06	5.571242e+00	3.621282e-01
5.060670110480380e-06	5.571805e+00	4.818186e-01
5.066108735723879e-06	5.572358e+00	7.671340e-01
5.071126454183529e-06	5.572866e+00	1.373915e+00
5.076427294423771e-06	5.573400e+00	2.667293e+00
5.081723818138760e-06	5.573931e+00	4.800362e+00
5.089485792028418e-06	5.574704e+00	8.676923e+00
5.094335401729804e-06	5.575184e+00	1.087567e+01
5.099241171238072e-06	5.575667e+00	1.242728e+01
5.104497330301869e-06	5.576183e+00	1.341438e+01
5.108276504145018e-06	5.576551e+00	1.380151e+01
5.112354403748633e-06	5.576948e+00	1.401579e+01
5.116967951847970e-06	5.577394e+00	1.414275e+01
5.122294364446307e-06	5.577908e+00	1.421290e+01
5.128494515844426e-06	5.578502e+00	1.424795e+01
5.136388073609809e-06	5.579252e+00	1.426478e+01
5.147159445963281e-06	5.580266e+00	1.427210e+01
5.163474427673873e-06	5.581782e+00	1.427476e+01
5.190288724094920e-06	5.584216e+00	1.427553e+01
5.239430183081314e-06	5.588497e+00	1.427592e+01
5.333865397211562e-06	5.596065e+00	1.427650e+01
5.431521647211562e-06	5.602974e+00	1.427704e+01
5.529177897211563e-06	5.608949e+00	1.427751e+01
5.626834147211563e-06	5.613985e+00	1.427791e+01
5.724490397211563e-06	5.618078e+00	1.427824e+01
5.822146647211563e-06	5.621226e+00	1.427849e+01
5.919802897211564e-06	5.623427e+00	1.427867e+01
