;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,7.88416
1,-0.03199,7.88416
2,-0.03198,7.88416
3,-0.03197,7.88416
4,-0.03196,7.88416
5,-0.03195,7.88416
6,-0.03194,7.88416
7,-0.03193,7.88416
8,-0.03192,7.88416
9,-0.03191,7.88416
10,-0.0319,7.88416
11,-0.03189,7.88416
12,-0.03188,7.88416
13,-0.03187,7.88416
14,-0.03186,7.88416
15,-0.03185,7.88416
16,-0.03184,7.88416
17,-0.03183,7.88416
18,-0.03182,7.88416
19,-0.03181,7.88416
20,-0.0318,7.88416
21,-0.03179,7.88416
22,-0.03178,7.88416
23,-0.03177,7.88416
24,-0.03176,7.88416
25,-0.03175,7.88416
26,-0.03174,7.88416
27,-0.03173,7.88416
28,-0.03172,7.88416
29,-0.03171,7.88416
30,-0.0317,7.88416
31,-0.03169,7.85075
32,-0.03168,7.83405
33,-0.03167,7.88416
34,-0.03166,7.88416
35,-0.03165,7.85075
36,-0.03164,7.88416
37,-0.03163,7.88416
38,-0.03162,7.88416
39,-0.03161,7.88416
40,-0.0316,7.85075
41,-0.03159,7.83405
42,-0.03158,7.83405
43,-0.03157,7.88416
44,-0.03156,7.88416
45,-0.03155,7.85075
46,-0.03154,7.88416
47,-0.03153,7.88416
48,-0.03152,7.88416
49,-0.03151,7.85075
50,-0.0315,7.85075
51,-0.03149,7.88416
52,-0.03148,7.88416
53,-0.03147,7.85075
54,-0.03146,7.85075
55,-0.03145,7.88416
56,-0.03144,7.88416
57,-0.03143,7.88416
58,-0.03142,7.88416
59,-0.03141,7.88416
60,-0.0314,7.88416
61,-0.03139,7.88416
62,-0.03138,7.88416
63,-0.03137,7.88416
64,-0.03136,7.88416
65,-0.03135,7.88416
66,-0.03134,7.88416
67,-0.03133,7.88416
68,-0.03132,7.88416
69,-0.03131,7.85075
70,-0.0313,7.88416
71,-0.03129,7.83405
72,-0.03128,7.88416
73,-0.03127,7.85075
74,-0.03126,7.88416
75,-0.03125,7.88416
76,-0.03124,7.88416
77,-0.03123,7.88416
78,-0.03122,7.88416
79,-0.03121,7.88416
80,-0.0312,7.88416
81,-0.03119,7.88416
82,-0.03118,7.85075
83,-0.03117,7.88416
84,-0.03116,7.83405
85,-0.03115,7.85075
86,-0.03114,7.85075
87,-0.03113,7.85075
88,-0.03112,7.85075
89,-0.03111,7.83405
90,-0.0311,7.88416
91,-0.03109,7.88416
92,-0.03108,7.88416
93,-0.03107,7.88416
94,-0.03106,7.83405
95,-0.03105,7.85075
96,-0.03104,7.88416
97,-0.03103,7.83405
98,-0.03102,7.88416
99,-0.03101,7.83405
100,-0.031,7.85075
101,-0.03099,7.85075
102,-0.03098,7.85075
103,-0.03097,7.85075
104,-0.03096,7.85075
