;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,2.17148
1,-0.03199,2.17148
2,-0.03198,2.17148
3,-0.03197,2.17148
4,-0.03196,2.17148
5,-0.03195,2.17148
6,-0.03194,2.17148
7,-0.03193,2.17148
8,-0.03192,2.17148
9,-0.03191,2.17148
10,-0.0319,2.17148
11,-0.03189,2.17148
12,-0.03188,2.17148
13,-0.03187,2.17148
14,-0.03186,2.17148
15,-0.03185,2.17148
16,-0.03184,2.17148
17,-0.03183,2.17148
18,-0.03182,2.17148
19,-0.03181,2.17148
20,-0.0318,2.17148
21,-0.03179,2.17148
22,-0.03178,2.17148
23,-0.03177,2.17148
24,-0.03176,2.15478
25,-0.03175,2.17148
26,-0.03174,2.17148
27,-0.03173,2.17148
28,-0.03172,2.15478
29,-0.03171,2.17148
30,-0.0317,2.18819
31,-0.03169,2.15478
32,-0.03168,2.17148
33,-0.03167,2.15478
34,-0.03166,2.18819
35,-0.03165,2.17148
36,-0.03164,2.17148
37,-0.03163,2.17148
38,-0.03162,2.17148
39,-0.03161,2.17148
40,-0.0316,2.17148
41,-0.03159,2.17148
42,-0.03158,2.17148
43,-0.03157,2.17148
44,-0.03156,2.15478
45,-0.03155,2.18819
46,-0.03154,2.17148
47,-0.03153,2.17148
48,-0.03152,2.17148
49,-0.03151,2.13808
50,-0.0315,2.17148
51,-0.03149,2.17148
52,-0.03148,2.17148
53,-0.03147,2.17148
54,-0.03146,2.17148
55,-0.03145,2.15478
56,-0.03144,2.18819
57,-0.03143,2.17148
58,-0.03142,2.17148
59,-0.03141,2.17148
60,-0.0314,2.17148
61,-0.03139,2.17148
62,-0.03138,2.17148
63,-0.03137,2.15478
64,-0.03136,2.15478
65,-0.03135,2.15478
66,-0.03134,2.15478
67,-0.03133,2.15478
68,-0.03132,2.15478
69,-0.03131,2.15478
70,-0.0313,2.15478
71,-0.03129,2.15478
72,-0.03128,2.15478
73,-0.03127,2.15478
74,-0.03126,2.15478
75,-0.03125,2.17148
76,-0.03124,2.15478
77,-0.03123,2.17148
78,-0.03122,2.17148
79,-0.03121,2.17148
80,-0.0312,2.15478
81,-0.03119,2.17148
82,-0.03118,2.15478
83,-0.03117,2.17148
84,-0.03116,2.15478
85,-0.03115,2.17148
86,-0.03114,2.17148
87,-0.03113,2.17148
88,-0.03112,2.17148
89,-0.03111,2.17148
90,-0.0311,2.17148
91,-0.03109,2.15478
92,-0.03108,2.15478
93,-0.03107,2.15478
94,-0.03106,2.18819
95,-0.03105,2.15478
96,-0.03104,2.15478
97,-0.03103,2.17148
98,-0.03102,2.17148
99,-0.03101,2.15478
100,-0.031,2.17148
101,-0.03099,2.17148
102,-0.03098,2.15478
103,-0.03097,2.15478
104,-0.03096,2.17148
105,-0.03095,2.17148
106,-0.03094,2.17148
107,-0.03093,2.17148
108,-0.03092,2.13808
109,-0.03091,2.18819
110,-0.0309,2.15478
111,-0.03089,2.17148
112,-0.03088,2.17148
113,-0.03087,2.17148
114,-0.03086,2.15478
115,-0.03085,2.17148
116,-0.03084,2.15478
117,-0.03083,2.17148
118,-0.03082,2.17148
119,-0.03081,2.15478
120,-0.0308,2.15478
121,-0.03079,2.15478
122,-0.03078,2.15478
123,-0.03077,2.15478
124,-0.03076,2.15478
125,-0.03075,2.15478
126,-0.03074,2.15478
127,-0.03073,2.15478
128,-0.03072,2.15478
129,-0.03071,2.15478
130,-0.0307,2.15478
131,-0.03069,2.15478
132,-0.03068,2.15478
133,-0.03067,2.15478
134,-0.03066,2.17148
135,-0.03065,2.15478
136,-0.03064,2.15478
137,-0.03063,2.15478
138,-0.03062,2.15478
139,-0.03061,2.15478
140,-0.0306,2.15478
141,-0.03059,2.17148
142,-0.03058,2.15478
143,-0.03057,2.15478
144,-0.03056,2.18819
145,-0.03055,2.15478
146,-0.03054,2.15478
147,-0.03053,2.18819
148,-0.03052,2.15478
149,-0.03051,2.17148
150,-0.0305,2.17148
151,-0.03049,2.15478
152,-0.03048,2.15478
153,-0.03047,2.15478
154,-0.03046,2.15478
155,-0.03045,2.15478
156,-0.03044,2.15478
157,-0.03043,2.15478
158,-0.03042,2.15478
159,-0.03041,2.18819
160,-0.0304,2.15478
161,-0.03039,2.15478
162,-0.03038,2.15478
163,-0.03037,2.15478
