;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,9.18705
1,-0.03199,9.18705
2,-0.03198,9.18705
3,-0.03197,9.18705
4,-0.03196,9.18705
5,-0.03195,9.18705
6,-0.03194,9.18705
7,-0.03193,9.18705
8,-0.03192,9.18705
9,-0.03191,9.18705
10,-0.0319,9.18705
11,-0.03189,9.18705
12,-0.03188,9.18705
13,-0.03187,9.18705
14,-0.03186,9.18705
15,-0.03185,9.18705
16,-0.03184,9.18705
17,-0.03183,9.18705
18,-0.03182,9.18705
19,-0.03181,9.18705
20,-0.0318,9.18705
21,-0.03179,9.18705
22,-0.03178,9.18705
23,-0.03177,9.18705
24,-0.03176,9.18705
25,-0.03175,9.18705
26,-0.03174,9.18705
27,-0.03173,9.18705
28,-0.03172,9.18705
29,-0.03171,9.18705
30,-0.0317,9.18705
31,-0.03169,9.18705
32,-0.03168,9.18705
33,-0.03167,9.18705
34,-0.03166,9.18705
35,-0.03165,9.18705
36,-0.03164,9.18705
37,-0.03163,9.18705
38,-0.03162,9.18705
39,-0.03161,9.18705
40,-0.0316,9.18705
41,-0.03159,9.18705
42,-0.03158,9.18705
43,-0.03157,9.18705
44,-0.03156,9.18705
45,-0.03155,9.18705
46,-0.03154,9.18705
47,-0.03153,9.18705
48,-0.03152,9.18705
49,-0.03151,9.18705
50,-0.0315,9.18705
51,-0.03149,9.18705
52,-0.03148,9.18705
53,-0.03147,9.18705
54,-0.03146,9.18705
55,-0.03145,9.18705
56,-0.03144,9.18705
57,-0.03143,9.18705
58,-0.03142,9.18705
59,-0.03141,9.18705
60,-0.0314,9.18705
61,-0.03139,9.18705
62,-0.03138,9.18705
63,-0.03137,9.18705
64,-0.03136,9.18705
65,-0.03135,9.18705
66,-0.03134,9.18705
67,-0.03133,9.18705
68,-0.03132,9.18705
69,-0.03131,9.18705
70,-0.0313,9.18705
71,-0.03129,9.18705
72,-0.03128,9.18705
73,-0.03127,9.18705
74,-0.03126,9.18705
75,-0.03125,9.18705
76,-0.03124,9.18705
77,-0.03123,9.18705
78,-0.03122,9.18705
79,-0.03121,9.18705
80,-0.0312,9.18705
81,-0.03119,9.18705
82,-0.03118,9.18705
83,-0.03117,9.18705
84,-0.03116,9.18705
85,-0.03115,9.18705
