;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,9.23716
1,-0.03199,9.23716
2,-0.03198,9.23716
3,-0.03197,9.23716
4,-0.03196,9.23716
5,-0.03195,9.23716
6,-0.03194,9.23716
7,-0.03193,9.23716
8,-0.03192,9.23716
9,-0.03191,9.23716
10,-0.0319,9.23716
11,-0.03189,9.23716
12,-0.03188,9.23716
13,-0.03187,9.23716
14,-0.03186,9.23716
15,-0.03185,9.23716
16,-0.03184,9.23716
17,-0.03183,9.23716
18,-0.03182,9.23716
19,-0.03181,9.23716
20,-0.0318,9.23716
21,-0.03179,9.23716
22,-0.03178,9.23716
23,-0.03177,9.23716
24,-0.03176,9.23716
25,-0.03175,9.23716
26,-0.03174,9.23716
27,-0.03173,9.23716
28,-0.03172,9.23716
29,-0.03171,9.23716
30,-0.0317,9.23716
31,-0.03169,9.23716
32,-0.03168,9.23716
33,-0.03167,9.23716
34,-0.03166,9.23716
35,-0.03165,9.23716
36,-0.03164,9.23716
37,-0.03163,9.23716
38,-0.03162,9.23716
39,-0.03161,9.23716
40,-0.0316,9.23716
41,-0.03159,9.23716
42,-0.03158,9.23716
43,-0.03157,9.23716
44,-0.03156,9.23716
45,-0.03155,9.23716
46,-0.03154,9.23716
47,-0.03153,9.23716
48,-0.03152,9.23716
49,-0.03151,9.23716
50,-0.0315,9.23716
51,-0.03149,9.22045
52,-0.03148,9.23716
53,-0.03147,9.22045
54,-0.03146,9.23716
55,-0.03145,9.22045
56,-0.03144,9.22045
57,-0.03143,9.22045
58,-0.03142,9.25386
59,-0.03141,9.20375
60,-0.0314,9.25386
61,-0.03139,9.20375
62,-0.03138,9.25386
63,-0.03137,9.22045
64,-0.03136,9.23716
65,-0.03135,9.23716
66,-0.03134,9.23716
67,-0.03133,9.20375
68,-0.03132,9.23716
69,-0.03131,9.22045
70,-0.0313,9.22045
71,-0.03129,9.23716
72,-0.03128,9.23716
73,-0.03127,9.22045
74,-0.03126,9.25386
75,-0.03125,9.22045
76,-0.03124,9.22045
77,-0.03123,9.23716
78,-0.03122,9.23716
79,-0.03121,9.23716
80,-0.0312,9.23716
81,-0.03119,9.22045
82,-0.03118,9.22045
83,-0.03117,9.22045
84,-0.03116,9.22045
85,-0.03115,9.22045
86,-0.03114,9.22045
87,-0.03113,9.22045
88,-0.03112,9.23716
89,-0.03111,9.23716
90,-0.0311,9.23716
91,-0.03109,9.22045
92,-0.03108,9.22045
93,-0.03107,9.25386
94,-0.03106,9.22045
95,-0.03105,9.22045
96,-0.03104,9.22045
97,-0.03103,9.22045
98,-0.03102,9.22045
99,-0.03101,9.22045
100,-0.031,9.22045
101,-0.03099,9.23716
102,-0.03098,9.23716
103,-0.03097,9.22045
104,-0.03096,9.22045
105,-0.03095,9.22045
106,-0.03094,9.22045
107,-0.03093,9.22045
108,-0.03092,9.22045
109,-0.03091,9.22045
110,-0.0309,9.22045
111,-0.03089,9.25386
112,-0.03088,9.22045
113,-0.03087,9.22045
114,-0.03086,9.22045
115,-0.03085,9.22045
116,-0.03084,9.22045
117,-0.03083,9.23716
118,-0.03082,9.22045
119,-0.03081,9.22045
120,-0.0308,9.22045
121,-0.03079,9.22045
122,-0.03078,9.22045
123,-0.03077,9.22045
124,-0.03076,9.22045
125,-0.03075,9.22045
126,-0.03074,9.22045
127,-0.03073,9.22045
128,-0.03072,9.22045
129,-0.03071,9.22045
130,-0.0307,9.22045
131,-0.03069,9.22045
132,-0.03068,9.22045
133,-0.03067,9.22045
134,-0.03066,9.22045
135,-0.03065,9.22045
136,-0.03064,9.22045
137,-0.03063,9.22045
138,-0.03062,9.22045
139,-0.03061,9.22045
140,-0.0306,9.22045
141,-0.03059,9.22045
142,-0.03058,9.22045
143,-0.03057,9.22045
144,-0.03056,9.22045
145,-0.03055,9.22045
146,-0.03054,9.13694
147,-0.03053,9.38749
148,-0.03052,2.82293
149,-0.03051,0.217148
150,-0.0305,-0.0334074
151,-0.03049,-0.0501112
152,-0.03048,0
153,-0.03047,0.0167037
154,-0.03046,0.0334074
155,-0.03045,0.0668149
156,-0.03044,0.0835186
