;Scopy version,f4beeb1
;Exported on,samedi mai 18/05/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.016,0.300667,0.283963
1,-0.01599,0.317371,0.317371
2,-0.01598,0.367482,0.250556
3,-0.01597,0.300667,0.150333
4,-0.01596,0.317371,0.350778
5,-0.01595,0.434297,0.317371
6,-0.01594,0.350778,0.183741
7,-0.01593,0.334074,0.250556
8,-0.01592,0.283963,0.300667
9,-0.01591,0.467704,0.384186
10,-0.0159,0.400889,0.0835186
11,-0.01589,0.350778,0.350778
12,-0.01588,0.334074,0.334074
13,-0.01587,0.317371,0.283963
14,-0.01586,0.300667,0.200445
15,-0.01585,0.200445,0.167037
16,-0.01584,0.434297,0.384186
17,-0.01583,0.400889,0.13363
18,-0.01582,0.384186,0.283963
19,-0.01581,0.317371,0.250556
20,-0.0158,0.283963,0.300667
21,-0.01579,0.451,0.367482
22,-0.01578,0.384186,0.13363
23,-0.01577,0.350778,0.317371
24,-0.01576,0.317371,0.250556
25,-0.01575,0.283963,0.283963
26,-0.01574,0.400889,0.350778
27,-0.01573,0.317371,0.150333
28,-0.01572,0.300667,0.217148
29,-0.01571,0.283963,0.317371
30,-0.0157,0.434297,0.350778
31,-0.01569,0.350778,0.13363
32,-0.01568,0.300667,0.300667
33,-0.01567,0.417593,0.367482
34,-0.01566,0.384186,0.167037
35,-0.01565,0.334074,0.200445
36,-0.01564,0.317371,0.317371
37,-0.01563,0.451,0.350778
38,-0.01562,0.384186,0.100222
39,-0.01561,0.350778,0.26726
40,-0.0156,0.350778,0.400889
41,-0.01559,0.434297,0.283963
42,-0.01558,0.350778,0.13363
43,-0.01557,0.317371,0.300667
44,-0.01556,0.400889,0.367482
45,-0.01555,0.350778,0.167037
46,-0.01554,0.334074,0.250556
47,-0.01553,0.384186,0.400889
48,-0.01552,0.400889,0.183741
49,-0.01551,0.367482,0.200445
50,-0.0155,0.317371,0.283963
51,-0.01549,0.283963,0.300667
52,-0.01548,0.334074,0.334074
53,-0.01547,0.367482,0.26726
54,-0.01546,0.300667,0.116926
55,-0.01545,0.300667,0.350778
56,-0.01544,0.451,0.334074
57,-0.01543,0.367482,0.150333
58,-0.01542,0.334074,0.283963
59,-0.01541,0.317371,0.300667
60,-0.0154,0.417593,0.384186
61,-0.01539,0.350778,0.0835186
62,-0.01538,0.334074,0.300667
63,-0.01537,0.334074,0.334074
64,-0.01536,0.367482,0.26726
65,-0.01535,0.300667,0.13363
66,-0.01534,0.350778,0.484408
67,-0.01533,0.484408,-1.70378
68,-0.01532,0.451,0.334074
69,-0.01531,0.768371,0.350778
70,-0.0153,0.634741,0.167037
71,-0.01529,0.58463,0.334074
72,-0.01528,0.517815,0.217148
73,-0.01527,0.467704,0.551223
74,-0.01526,0.484408,0.0668149
75,-0.01525,0.367482,0.0167037
76,-0.01524,0.952112,0.98552
77,-0.01523,0.952112,0.250556
78,-0.01522,0.868594,-0.918705
79,-0.01521,0.734964,0.601334
80,-0.0152,2.32182,2.37193
81,-0.01519,2.48885,0.250556
82,-0.01518,2.2383,-2.08797
83,-0.01517,1.98774,0.200445
84,-0.01516,4.059,2.93986
85,-0.01515,3.45767,-1.28619
86,-0.01514,3.05678,-0.534519
87,-0.01513,3.79174,2.95656
88,-0.01512,3.45767,-2.28841
89,-0.01511,3.157,3.00667
90,-0.0151,2.87304,-2.2383
91,-0.01509,2.2216,-1.16926
92,-0.01508,8.03449,7.6169
93,-0.01507,7.1993,-6.99886
94,-0.01506,6.58127,1.21937
95,-0.01505,5.92982,4.81067
96,-0.01504,5.24497,-3.90867
97,-0.01503,4.71045,0.567927
98,-0.01502,4.22604,1.72048
99,-0.01501,3.80845,1.18596
100,-0.015,3.37415,-3.09019
101,-0.01499,3.05678,2.88974
102,-0.01498,2.72271,1.41982
103,-0.01497,2.35522,-4.07571
104,-0.01496,3.55789,3.87526
105,-0.01495,4.37638,0.200445
106,-0.01494,3.87526,-1.98774
107,-0.01493,3.47437,2.00445
108,-0.01492,3.1236,0.167037
109,-0.01491,2.77282,-0.467704
110,-0.0149,2.52226,0.751667
111,-0.01489,2.2383,1.00222
112,-0.01488,2.03785,-1.70378
113,-0.01487,1.90422,1.11915
114,-0.01486,3.80845,2.6726
115,-0.01485,3.24052,-3.02337
116,-0.01484,2.88974,0.451
117,-0.01483,3.45767,3.157
118,-0.01482,3.10689,-1.83741
119,-0.01481,2.80623,-0.651445
120,-0.0148,2.65589,2.72271
121,-0.01479,2.47215,-0.701556
122,-0.01478,2.10467,-1.48663
123,-0.01477,3.17371,3.30734
124,-0.01476,3.09019,-0.701556
125,-0.01475,2.65589,-2.55567
126,-0.01474,3.72493,4.059
127,-0.01473,4.10912,0.167037
128,-0.01472,3.65811,-3.19041
129,-0.01471,3.49108,2.87304
130,-0.0147,4.0256,1.13585
131,-0.01469,3.47437,-2.55567
132,-0.01468,3.157,1.83741
133,-0.01467,2.83963,1.41982
134,-0.01466,2.52226,-2.20489
135,-0.01465,2.28841,1.31959
136,-0.01464,3.10689,2.05456
137,-0.01463,2.6726,-2.18819
138,-0.01462,2.35522,0.0835186
139,-0.01461,3.10689,2.98997
140,-0.0146,2.80623,-1.28619
141,-0.01459,2.47215,-1.05233
142,-0.01458,3.04008,3.05678
143,-0.01457,2.82293,-1.05233
144,-0.01456,2.43874,-0.651445
145,-0.01455,3.29063,3.20711
146,-0.01454,3.04008,-2.706
147,-0.01453,2.48885,-1.63696
148,-0.01452,5.59575,6.04675
149,-0.01451,5.56234,-1.46993
150,-0.0145,4.99441,-3.82515
151,-0.01449,4.81067,4.74386
152,-0.01448,5.07793,0
153,-0.01447,4.42649,-3.64141
154,-0.01446,4.40978,4.20934
155,-0.01445,4.10912,-1.11915
156,-0.01444,3.65811,0.384186
157,-0.01443,3.35745,1.43652
158,-0.01442,2.6726,-3.82515
159,-0.01441,6.39753,5.92982
160,-0.0144,5.86301,-2.90645
161,-0.01439,5.32849,-0.98552
162,-0.01438,4.81067,4.42649
163,-0.01437,4.24275,-3.79174
164,-0.01436,3.84186,3.1403
165,-0.01435,3.40756,-1.82071
166,-0.01434,3.07348,0.952112
167,-0.01433,2.78952,1.65367
168,-0.01432,2.32182,-2.73941
169,-0.01431,3.74163,3.70823
170,-0.0143,3.54119,-1.75389
171,-0.01429,3.19041,0.534519
172,-0.01428,2.87304,0.567927
173,-0.01427,2.53897,-0.13363
174,-0.01426,2.72271,1.95434
175,-0.01425,2.52226,-2.75611
176,-0.01424,2.28841,2.17148
177,-0.01423,2.03785,1.03563
178,-0.01422,1.804,-1.40311
179,-0.01421,1.67037,1.20267
180,-0.0142,1.41982,-0.367482
181,-0.01419,1.70378,1.11915
182,-0.01418,1.55345,-0.300667
183,-0.01417,1.38641,0.200445
184,-0.01416,1.60356,0.818482
185,-0.01415,1.41982,-0.634741
186,-0.01414,1.72048,1.45322
187,-0.01413,1.58685,-0.350778
188,-0.01412,1.40311,-0.0501112
189,-0.01411,1.30289,0.785075
190,-0.0141,1.13585,0.0501112
191,-0.01409,1.03563,0.768371
192,-0.01408,0.902001,-0.601334
193,-0.01407,0.785075,0.417593
194,-0.01406,1.18596,1.20267
195,-0.01405,1.05233,-0.384186
196,-0.01404,0.935408,0.283963
197,-0.01403,0.835186,-0.100222
198,-0.01402,0.902001,1.00222
199,-0.01401,1.01893,0.384186
200,-0.014,0.868594,-0.634741
201,-0.01399,0.85189,0.85189
202,-0.01398,1.03563,0.400889
203,-0.01397,0.885297,-0.0334074
204,-0.01396,0.801779,0.634741
205,-0.01395,0.701556,-0.116926
206,-0.01394,0.618038,0.317371
207,-0.01393,0.868594,0.85189
208,-0.01392,0.734964,-0.367482
209,-0.01391,0.684853,0.367482
210,-0.0139,0.618038,0.317371
211,-0.01389,0.551223,0.367482
212,-0.01388,0.467704,0.283963
213,-0.01387,0.417593,-0.0501112
214,-0.01386,0.58463,0.634741
215,-0.01385,0.868594,0.0835186
216,-0.01384,0.734964,0.100222
217,-0.01383,0.684853,0.567927
218,-0.01382,0.58463,0.167037
219,-0.01381,0.534519,0.334074
220,-0.0138,0.467704,0.0334074
221,-0.01379,0.534519,0.534519
222,-0.01378,0.785075,0.334074
223,-0.01377,0.668149,0.150333
224,-0.01376,0.601334,0.183741
225,-0.01375,0.517815,0.167037
226,-0.01374,0.801779,0.868594
227,-0.01373,0.835186,-0.334074
228,-0.01372,0.734964,0.283963
229,-0.01371,0.668149,0.517815
230,-0.0137,0.601334,0.13363
231,-0.01369,0.534519,0.501112
232,-0.01368,0.451,-0.0334074
233,-0.01367,0.517815,0.567927
234,-0.01366,0.701556,0.183741
235,-0.01365,0.567927,-0.0501112
236,-0.01364,0.684853,0.751667
237,-0.01363,0.785075,0.0668149
238,-0.01362,0.684853,0.13363
239,-0.01361,0.618038,0.283963
240,-0.0136,0.551223,0.451
241,-0.01359,0.651445,0.384186
242,-0.01358,0.567927,-0.116926
243,-0.01357,0.567927,0.567927
244,-0.01356,0.835186,0.283963
245,-0.01355,0.684853,0.183741
246,-0.01354,0.634741,0.167037
247,-0.01353,0.567927,0.283963
248,-0.01352,0.567927,0.634741
249,-0.01351,0.668149,-0.116926
250,-0.0135,0.58463,0.283963
251,-0.01349,0.517815,0.484408
252,-0.01348,0.467704,0.167037
253,-0.01347,0.434297,0.317371
254,-0.01346,0.350778,0.0501112
255,-0.01345,0.534519,0.601334
256,-0.01344,0.684853,0.317371
257,-0.01343,0.58463,0
258,-0.01342,0.551223,0.384186
259,-0.01341,0.467704,0.250556
260,-0.0134,0.434297,0.26726
261,-0.01339,0.384186,0.283963
262,-0.01338,0.434297,0.501112
263,-0.01337,0.551223,0.0835186
264,-0.01336,0.484408,0.183741
265,-0.01335,0.417593,0.484408
266,-0.01334,0.567927,0.26726
267,-0.01333,0.484408,0.183741
268,-0.01332,0.434297,0.200445
269,-0.01331,0.400889,0.283963
270,-0.0133,0.350778,0.384186
271,-0.01329,0.551223,0.417593
272,-0.01328,0.451,0.0334074
273,-0.01327,0.400889,0.200445
274,-0.01326,0.467704,0.501112
275,-0.01325,0.484408,0.250556
276,-0.01324,0.451,0.200445
277,-0.01323,0.417593,0.283963
278,-0.01322,0.334074,0.217148
279,-0.01321,0.417593,0.451
280,-0.0132,0.534519,0.283963
281,-0.01319,0.467704,0.100222
282,-0.01318,0.417593,0.334074
283,-0.01317,0.384186,0.367482
284,-0.01316,0.334074,0.183741
285,-0.01315,0.283963,0.183741
286,-0.01314,0.434297,0.417593
287,-0.01313,0.601334,0.501112
288,-0.01312,0.451,-0.400889
289,-0.01311,0.885297,1.00222
290,-0.0131,1.31959,0.0668149
291,-0.01309,1.03563,-0.684853
292,-0.01308,2.45545,2.35522
293,-0.01307,2.2216,-2.18819
294,-0.01306,2.2383,1.72048
295,-0.01305,3.22382,0.968816
296,-0.01304,2.706,-2.32182
297,-0.01303,3.04008,3.25723
298,-0.01302,2.98997,-1.31959
299,-0.01301,2.6893,0.918705
300,-0.013,2.40534,1.25278
301,-0.01299,2.13808,-0.618038
302,-0.01298,1.92093,1.08574
303,-0.01297,1.70378,-0.651445
304,-0.01296,1.57015,1.57015
305,-0.01295,1.38641,-0.400889
306,-0.01294,1.18596,-0.183741
307,-0.01293,1.82071,1.72048
308,-0.01292,1.58685,-1.13585
309,-0.01291,1.45322,0.684853
310,-0.0129,1.31959,1.01893
311,-0.01289,1.16926,-0.300667
312,-0.01288,1.05233,0.317371
313,-0.01287,0.935408,0.684853
314,-0.01286,0.835186,0.13363
315,-0.01285,0.71826,0.0835186
316,-0.01284,0.868594,0.918705
317,-0.01283,0.85189,-0.0668149
318,-0.01282,0.785075,-0.167037
319,-0.01281,0.768371,0.835186
320,-0.0128,0.952112,0.517815
321,-0.01279,0.818482,-0.818482
322,-0.01278,0.952112,0.968816
323,-0.01277,1.45322,0.668149
324,-0.01276,1.21937,-0.935408
325,-0.01275,1.13585,0.801779
326,-0.01274,0.98552,-0.13363
327,-0.01273,0.885297,-0.334074
328,-0.01272,0.785075,0.618038
329,-0.01271,0.902001,0.751667
330,-0.0127,0.801779,-0.434297
331,-0.01269,0.684853,0.100222
332,-0.01268,1.08574,1.13585
333,-0.01267,0.98552,-0.551223
334,-0.01266,0.85189,-0.233852
335,-0.01265,1.26948,1.353
336,-0.01264,1.16926,-0.434297
337,-0.01263,1.08574,-0.0835186
338,-0.01262,0.968816,1.00222
339,-0.01261,0.85189,0.0167037
340,-0.0126,0.734964,0.0835186
341,-0.01259,0.701556,0.668149
342,-0.01258,0.634741,0.451
343,-0.01257,0.517815,-0.434297
344,-0.01256,0.734964,0.835186
345,-0.01255,1.03563,0.26726
346,-0.01254,0.885297,-0.651445
347,-0.01253,0.968816,1.01893
348,-0.01252,1.21937,0.400889
349,-0.01251,1.05233,-0.451
350,-0.0125,0.952112,0.517815
351,-0.01249,0.85189,0.618038
352,-0.01248,0.768371,0.0334074
353,-0.01247,0.618038,0.0501112
354,-0.01246,1.48663,1.48663
