;Scopy version,f4beeb1
;Exported on,samedi mai 18/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.04,0.300667,5.74608
1,-0.03999,0.300667,5.74608
2,-0.03998,0.300667,5.71267
3,-0.03997,0.300667,5.71267
4,-0.03996,0.300667,5.71267
5,-0.03995,0.300667,5.67927
6,-0.03994,0.300667,5.67927
7,-0.03993,0.300667,5.67927
8,-0.03992,0.300667,5.64586
9,-0.03991,0.300667,5.64586
10,-0.0399,0.300667,5.62915
11,-0.03989,0.300667,5.61245
12,-0.03988,0.300667,5.61245
13,-0.03987,0.300667,5.59575
14,-0.03986,0.300667,5.56234
15,-0.03985,0.300667,5.56234
16,-0.03984,0.300667,5.54564
17,-0.03983,0.317371,5.54564
18,-0.03982,0.317371,5.52893
19,-0.03981,0.317371,5.51223
20,-0.0398,0.317371,5.49552
21,-0.03979,0.317371,5.49552
22,-0.03978,0.300667,5.47882
23,-0.03977,0.300667,5.46212
24,-0.03976,0.283963,5.46212
25,-0.03975,0.317371,5.44541
26,-0.03974,0.300667,5.42871
27,-0.03973,0.317371,5.42871
28,-0.03972,0.283963,5.3953
29,-0.03971,0.300667,5.3953
30,-0.0397,0.300667,5.3953
31,-0.03969,0.300667,5.3786
32,-0.03968,0.300667,5.3786
33,-0.03967,0.283963,5.32849
34,-0.03966,0.300667,5.32849
35,-0.03965,0.300667,5.32849
36,-0.03964,0.300667,5.31178
37,-0.03963,0.300667,5.27838
38,-0.03962,0.300667,5.27838
39,-0.03961,0.300667,5.27838
40,-0.0396,0.300667,5.26167
41,-0.03959,0.300667,5.26167
42,-0.03958,0.300667,5.24497
43,-0.03957,0.300667,5.24497
44,-0.03956,0.300667,5.21156
45,-0.03955,0.300667,5.21156
46,-0.03954,0.300667,5.21156
47,-0.03953,0.300667,5.19486
48,-0.03952,0.300667,5.19486
49,-0.03951,0.300667,5.17815
50,-0.0395,0.300667,5.17815
51,-0.03949,0.300667,5.14475
52,-0.03948,0.300667,5.14475
53,-0.03947,0.300667,5.14475
54,-0.03946,0.300667,5.12804
55,-0.03945,0.300667,5.12804
56,-0.03944,0.300667,5.12804
57,-0.03943,0.317371,5.09464
58,-0.03942,0.317371,5.09464
59,-0.03941,0.317371,5.06123
60,-0.0394,0.317371,5.06123
61,-0.03939,0.317371,5.06123
62,-0.03938,0.317371,5.02782
63,-0.03937,0.283963,5.02782
64,-0.03936,0.300667,5.02782
65,-0.03935,0.300667,4.99441
66,-0.03934,0.300667,5.01112
67,-0.03933,0.300667,4.97771
68,-0.03932,0.300667,4.97771
69,-0.03931,0.300667,4.97771
70,-0.0393,0.283963,4.96101
71,-0.03929,0.317371,4.96101
72,-0.03928,0.283963,4.9443
73,-0.03927,0.300667,4.9276
74,-0.03926,0.300667,4.9276
75,-0.03925,0.300667,4.91089
76,-0.03924,0.300667,4.91089
77,-0.03923,0.300667,4.86078
78,-0.03922,0.300667,4.89419
79,-0.03921,0.300667,4.84408
80,-0.0392,0.300667,4.86078
81,-0.03919,0.300667,4.82738
82,-0.03918,0.300667,4.84408
83,-0.03917,0.300667,4.82738
84,-0.03916,0.300667,4.82738
85,-0.03915,0.317371,4.79397
86,-0.03914,0.317371,4.81067
87,-0.03913,0.317371,4.77726
88,-0.03912,0.317371,4.77726
89,-0.03911,0.283963,4.77726
90,-0.0391,0.300667,4.76056
91,-0.03909,0.283963,4.76056
92,-0.03908,0.300667,4.74386
93,-0.03907,0.300667,4.74386
94,-0.03906,0.300667,4.71045
95,-0.03905,0.300667,4.72715
96,-0.03904,0.300667,4.69375
97,-0.03903,0.300667,4.71045
98,-0.03902,0.300667,4.67704
99,-0.03901,0.300667,4.67704
100,-0.039,0.300667,4.67704
101,-0.03899,0.300667,4.66034
102,-0.03898,0.300667,4.66034
103,-0.03897,0.300667,4.62693
104,-0.03896,0.300667,4.62693
105,-0.03895,0.300667,4.62693
106,-0.03894,0.300667,4.59352
107,-0.03893,0.300667,4.61023
108,-0.03892,0.300667,4.57682
109,-0.03891,0.283963,4.57682
110,-0.0389,0.317371,4.57682
111,-0.03889,0.317371,4.56012
112,-0.03888,0.317371,4.56012
113,-0.03887,0.300667,4.54341
114,-0.03886,0.300667,4.54341
115,-0.03885,0.300667,4.52671
116,-0.03884,0.300667,4.52671
117,-0.03883,0.300667,4.4933
118,-0.03882,0.300667,4.51
119,-0.03881,0.300667,4.4766
120,-0.0388,0.300667,4.4933
121,-0.03879,0.300667,4.45989
122,-0.03878,0.283963,4.4766
123,-0.03877,0.317371,4.45989
124,-0.03876,0.317371,4.45989
125,-0.03875,0.317371,4.45989
126,-0.03874,0.300667,4.42649
127,-0.03873,0.300667,4.42649
128,-0.03872,0.300667,4.42649
129,-0.03871,0.300667,4.37638
130,-0.0387,0.300667,4.39308
131,-0.03869,0.300667,4.35967
132,-0.03868,0.300667,4.35967
133,-0.03867,0.300667,4.35967
134,-0.03866,0.300667,4.35967
135,-0.03865,0.300667,4.32626
136,-0.03864,0.300667,4.34297
137,-0.03863,0.300667,4.30956
138,-0.03862,0.300667,4.32626
139,-0.03861,0.300667,4.29286
140,-0.0386,0.300667,4.30956
141,-0.03859,0.300667,4.29286
142,-0.03858,0.300667,4.29286
143,-0.03857,0.300667,4.27615
144,-0.03856,0.300667,4.27615
145,-0.03855,0.300667,4.27615
146,-0.03854,0.300667,4.24275
147,-0.03853,0.300667,4.25945
148,-0.03852,0.300667,4.22604
149,-0.03851,0.300667,4.24275
150,-0.0385,0.300667,4.20934
151,-0.03849,0.300667,4.22604
152,-0.03848,0.300667,4.19263
153,-0.03847,0.300667,4.20934
154,-0.03846,0.300667,4.15923
155,-0.03845,0.300667,4.19263
156,-0.03844,0.300667,4.14252
157,-0.03843,0.300667,4.15923
158,-0.03842,0.300667,4.14252
159,-0.03841,0.300667,4.14252
160,-0.0384,0.300667,4.14252
161,-0.03839,0.300667,4.10912
162,-0.03838,0.300667,4.12582
163,-0.03837,0.300667,4.10912
164,-0.03836,0.300667,4.10912
165,-0.03835,0.300667,4.09241
166,-0.03834,0.300667,4.09241
167,-0.03833,0.300667,4.07571
168,-0.03832,0.300667,4.07571
169,-0.03831,0.300667,4.07571
170,-0.0383,0.300667,4.0423
171,-0.03829,0.300667,4.0423
172,-0.03828,0.300667,4.0423
173,-0.03827,0.300667,4.00889
174,-0.03826,0.300667,4.00889
175,-0.03825,0.300667,4.00889
176,-0.03824,0.300667,4.00889
177,-0.03823,0.300667,4.00889
178,-0.03822,0.300667,3.97549
179,-0.03821,0.300667,3.97549
180,-0.0382,0.300667,3.97549
181,-0.03819,0.300667,3.97549
182,-0.03818,0.300667,3.94208
183,-0.03817,0.300667,3.94208
184,-0.03816,0.300667,3.94208
185,-0.03815,0.300667,3.90867
186,-0.03814,0.300667,3.90867
187,-0.03813,0.300667,3.90867
188,-0.03812,0.300667,3.90867
189,-0.03811,0.300667,3.87526
190,-0.0381,0.300667,3.87526
191,-0.03809,0.300667,3.87526
192,-0.03808,0.300667,3.87526
193,-0.03807,0.300667,3.85856
194,-0.03806,0.300667,3.85856
195,-0.03805,0.300667,3.85856
196,-0.03804,0.300667,3.85856
197,-0.03803,0.300667,3.82515
198,-0.03802,0.300667,3.82515
199,-0.03801,0.283963,3.82515
200,-0.038,0.300667,3.82515
201,-0.03799,0.300667,3.80845
202,-0.03798,0.300667,3.80845
203,-0.03797,0.300667,3.79174
