;Scopy version,f4beeb1
;Exported on,samedi mai 18/05/2024
;Device,M2K
;Nr of samples,3200
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.016,-13.6469,0.200445
1,-0.01599,-13.6469,0.200445
2,-0.01598,-13.6469,0.200445
3,-0.01597,-13.6469,0.200445
4,-0.01596,-13.6469,0.200445
5,-0.01595,-13.6469,0.200445
6,-0.01594,-13.6469,0.200445
7,-0.01593,-13.6469,0.200445
8,-0.01592,-13.6469,0.200445
9,-0.01591,-13.6469,0.200445
10,-0.0159,-13.6469,0.200445
11,-0.01589,-13.6469,0.183741
12,-0.01588,-13.6469,0.233852
13,-0.01587,-13.6469,0.183741
14,-0.01586,-13.6469,0.200445
15,-0.01585,-13.6469,0.200445
16,-0.01584,-13.6469,0.200445
17,-0.01583,-13.6469,0.200445
18,-0.01582,-13.6469,0.183741
19,-0.01581,-13.6302,0.183741
20,-0.0158,-13.6302,0.233852
21,-0.01579,-13.6302,0.233852
22,-0.01578,-13.6302,0.183741
23,-0.01577,-13.6302,0.200445
24,-0.01576,-13.6302,0.200445
25,-0.01575,-13.6302,0.200445
26,-0.01574,-13.6302,0.183741
27,-0.01573,-13.6302,0.233852
28,-0.01572,-13.6302,0.183741
29,-0.01571,-13.6302,0.233852
30,-0.0157,-13.6302,0.183741
31,-0.01569,-13.6302,0.200445
32,-0.01568,-13.6302,0.183741
33,-0.01567,-13.6302,0.233852
34,-0.01566,-13.6302,0.183741
35,-0.01565,-13.6302,0.200445
36,-0.01564,-13.6302,0.200445
37,-0.01563,-13.6302,0.200445
38,-0.01562,-13.6302,0.200445
39,-0.01561,-13.6302,0.200445
40,-0.0156,-13.6302,0.200445
41,-0.01559,-13.6302,0.200445
42,-0.01558,-13.6302,0.200445
43,-0.01557,-13.6302,0.200445
44,-0.01556,-13.6302,0.200445
45,-0.01555,-13.6302,0.200445
46,-0.01554,-13.6302,0.200445
47,-0.01553,-13.6135,0.200445
48,-0.01552,-13.6135,0.200445
49,-0.01551,-13.6135,0.200445
50,-0.0155,-13.6135,0.200445
51,-0.01549,-13.6135,0.200445
52,-0.01548,-13.6135,0.200445
53,-0.01547,-13.6135,0.200445
54,-0.01546,-13.6135,0.200445
55,-0.01545,-13.6135,0.200445
56,-0.01544,-13.6135,0.200445
57,-0.01543,-13.6135,0.183741
58,-0.01542,-13.6302,0.200445
59,-0.01541,-13.5801,0.200445
60,-0.0154,-13.6135,0.200445
61,-0.01539,-13.6135,0.200445
62,-0.01538,-13.5968,0.200445
63,-0.01537,-13.5968,0.200445
64,-0.01536,-13.5968,0.200445
65,-0.01535,-13.5968,0.200445
66,-0.01534,-13.5968,0.200445
67,-0.01533,-13.5968,0.200445
68,-0.01532,-13.5968,0.200445
69,-0.01531,-13.5968,0.200445
70,-0.0153,-13.5968,0.200445
71,-0.01529,-13.5968,0.200445
72,-0.01528,-13.5968,0.200445
73,-0.01527,-13.5801,0.200445
74,-0.01526,-13.5801,0.200445
75,-0.01525,-13.5801,0.200445
76,-0.01524,-13.5801,0.183741
77,-0.01523,-13.5801,0.233852
78,-0.01522,-13.4966,0.200445
79,-0.01521,-14.3986,0.200445
80,-0.0152,0.551223,0.200445
81,-0.01519,11.4755,0.200445
82,-0.01518,11.1748,0.233852
83,-0.01517,11.1915,0.233852
84,-0.01516,11.1581,0.250556
85,-0.01515,11.108,-0.0334074
86,-0.01514,11.2416,5.87971
87,-0.01513,11.4253,13.4632
88,-0.01512,11.275,4.14252
89,-0.01511,11.2917,3.89197
90,-0.0151,11.5256,12.7616
91,-0.01509,11.4755,7.75053
92,-0.01508,11.3919,0.98552
93,-0.01507,11.6759,12.4276
94,-0.01506,11.6759,9.82179
95,-0.01505,11.5256,0.0334074
96,-0.01504,11.8429,11.7427
97,-0.01503,11.8763,11.4253
98,-0.01502,11.6592,-0.885297
99,-0.01501,11.9766,10.7405
100,-0.015,12.0601,13.1291
101,-0.01499,11.8262,-1.11915
102,-0.01498,12.0768,9.55453
103,-0.01497,12.1937,13.8808
104,-0.01496,11.9432,-0.417593
105,-0.01495,12.177,8.21823
106,-0.01494,12.3106,13.9476
107,-0.01493,12.1102,1.16926
108,-0.01492,12.2104,6.41423
109,-0.01491,12.3942,13.6469
110,-0.0149,12.2104,3.52449
111,-0.01489,12.2772,4.30956
112,-0.01488,12.461,13.1959
113,-0.01487,12.3608,6.13027
114,-0.01486,12.3273,2.27171
115,-0.01485,12.5278,12.628
116,-0.01484,12.4443,8.70264
117,-0.01483,12.3273,0.517815
118,-0.01482,12.5946,11.9933
119,-0.01481,12.5779,10.9242
120,-0.0148,12.3608,-0.734964
121,-0.01479,12.628,11.2082
122,-0.01478,12.6614,12.5946
123,-0.01477,12.4109,-1.20267
124,-0.01476,12.6614,10.1392
125,-0.01475,12.7282,13.5968
126,-0.01474,12.4443,-0.768371
127,-0.01473,12.6948,8.75275
128,-0.01472,12.7783,13.9309
129,-0.01471,12.5111,0.551223
130,-0.0147,12.6781,7.06567
131,-0.01469,12.8285,13.814
132,-0.01468,12.6113,2.58908
133,-0.01467,12.6781,5.12804
134,-0.01466,12.8452,13.3797
135,-0.01465,12.6948,5.12804
136,-0.01464,12.6447,3.05678
137,-0.01463,12.8786,12.8619
138,-0.01462,12.7616,7.70042
139,-0.01461,12.6447,1.18596
140,-0.0146,12.8953,12.2104
141,-0.01459,12.8452,10.1225
142,-0.01458,12.6447,-0.334074
143,-0.01457,12.8953,11.5089
144,-0.01456,12.8953,12.0601
145,-0.01455,12.6614,-1.13585
146,-0.01454,12.912,10.5568
147,-0.01453,12.9454,13.3296
148,-0.01452,12.6781,-1.03563
149,-0.01451,12.8953,9.28727
150,-0.0145,12.4777,13.8307
151,-0.01449,12.3942,0.551223
152,-0.01448,-15.5011,0.367482
153,-0.01447,-13.7806,0.0835186
154,-0.01446,-14.1481,0.0835186
155,-0.01445,-14.0478,0.13363
156,-0.01444,-13.9309,0.13363
157,-0.01443,-13.8474,0.13363
158,-0.01442,-13.7639,0.183741
159,-0.01441,-13.7138,0.167037
160,-0.0144,-13.6636,0.167037
161,-0.01439,-13.6636,0.200445
162,-0.01438,-13.6302,0.200445
163,-0.01437,-13.6302,0.200445
164,-0.01436,-13.6302,0.200445
165,-0.01435,-13.5968,0.200445
166,-0.01434,-13.5968,0.200445
167,-0.01433,-13.5968,0.183741
168,-0.01432,-13.5968,0.200445
169,-0.01431,-13.5968,0.200445
170,-0.0143,-13.5968,0.200445
171,-0.01429,-13.5968,0.200445
172,-0.01428,-13.5968,0.183741
173,-0.01427,-13.5968,0.233852
174,-0.01426,-13.5968,0.200445
