;Scopy version,f4beeb1
;Exported on,samedi mai 18/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-0.04,-13.4966,0.818482
1,-0.03999,-13.4966,0.818482
2,-0.03998,-13.4966,0.818482
3,-0.03997,-13.4966,0.818482
4,-0.03996,-13.4966,0.818482
5,-0.03995,-13.4966,0.818482
6,-0.03994,-13.4966,0.818482
7,-0.03993,-13.4966,0.818482
8,-0.03992,-13.4966,0.818482
9,-0.03991,-13.4966,0.818482
10,-0.0399,-13.4966,0.818482
11,-0.03989,-13.4966,0.818482
12,-0.03988,-13.4966,0.818482
13,-0.03987,-13.4966,0.818482
14,-0.03986,-13.4966,0.818482
15,-0.03985,-13.4966,0.818482
16,-0.03984,-13.4966,0.818482
17,-0.03983,-13.4966,0.818482
18,-0.03982,-13.4966,0.818482
19,-0.03981,-13.4966,0.818482
20,-0.0398,-13.4966,0.818482
21,-0.03979,-13.4966,0.818482
22,-0.03978,-13.4966,0.818482
23,-0.03977,-13.4966,0.818482
24,-0.03976,-13.4966,0.818482
25,-0.03975,-13.4966,0.818482
26,-0.03974,-13.4966,0.818482
27,-0.03973,-13.4966,0.818482
28,-0.03972,-13.4966,0.818482
29,-0.03971,-13.4966,0.818482
30,-0.0397,-13.4966,0.818482
31,-0.03969,-13.4966,0.818482
32,-0.03968,-13.4966,0.818482
33,-0.03967,-13.4966,0.818482
34,-0.03966,-13.4966,0.818482
35,-0.03965,-13.4966,0.818482
36,-0.03964,-13.4966,0.818482
37,-0.03963,-13.4966,0.818482
38,-0.03962,-13.4966,0.818482
39,-0.03961,-13.4966,0.818482
40,-0.0396,-13.4966,0.818482
41,-0.03959,-13.4966,0.818482
42,-0.03958,-13.4966,0.818482
43,-0.03957,-13.4966,0.818482
44,-0.03956,-13.4966,0.818482
45,-0.03955,-13.4966,0.818482
46,-0.03954,-13.4966,0.818482
47,-0.03953,-13.4966,0.818482
48,-0.03952,-13.4966,0.818482
49,-0.03951,-13.4966,0.818482
50,-0.0395,-13.4966,0.818482
51,-0.03949,-13.4966,0.818482
52,-0.03948,-13.4966,0.818482
53,-0.03947,-13.4966,0.818482
54,-0.03946,-13.4966,0.818482
55,-0.03945,-13.4966,0.818482
56,-0.03944,-13.4966,0.818482
57,-0.03943,-13.4966,0.818482
58,-0.03942,-13.4966,0.818482
59,-0.03941,-13.4966,0.818482
60,-0.0394,-13.4966,0.818482
61,-0.03939,-13.4966,0.818482
62,-0.03938,-13.4966,0.818482
63,-0.03937,-13.4966,0.818482
64,-0.03936,-13.4966,0.818482
65,-0.03935,-13.4966,0.818482
66,-0.03934,-13.4966,0.818482
67,-0.03933,-13.4966,0.818482
68,-0.03932,-13.4966,0.818482
69,-0.03931,-13.4966,0.818482
70,-0.0393,-13.4966,0.818482
71,-0.03929,-13.4966,0.818482
72,-0.03928,-13.4966,0.818482
73,-0.03927,-13.4966,0.818482
74,-0.03926,-13.4966,0.818482
75,-0.03925,-13.4966,0.818482
76,-0.03924,-13.4966,0.818482
77,-0.03923,-13.4966,0.818482
78,-0.03922,-13.4966,0.818482
79,-0.03921,-13.4966,0.818482
80,-0.0392,-13.4966,0.818482
81,-0.03919,-13.4966,0.818482
82,-0.03918,-13.4966,0.818482
83,-0.03917,-13.4966,0.818482
84,-0.03916,-13.4966,0.818482
85,-0.03915,-13.4966,0.818482
86,-0.03914,-13.4966,0.818482
87,-0.03913,-13.4966,0.818482
88,-0.03912,-13.4966,0.818482
89,-0.03911,-13.4966,0.818482
90,-0.0391,-13.4966,0.818482
91,-0.03909,-13.4966,0.818482
92,-0.03908,-13.4966,0.818482
93,-0.03907,-13.4966,0.818482
94,-0.03906,-13.4966,0.818482
95,-0.03905,-13.4966,0.818482
96,-0.03904,-13.4966,0.818482
97,-0.03903,-13.4966,0.818482
98,-0.03902,-13.4966,0.818482
99,-0.03901,-13.4966,0.818482
100,-0.039,-13.4966,0.818482
101,-0.03899,-13.4966,0.818482
102,-0.03898,-13.4966,0.818482
103,-0.03897,-13.4966,0.818482
104,-0.03896,-13.4966,0.818482
105,-0.03895,-13.4966,0.818482
106,-0.03894,-13.4966,0.818482
107,-0.03893,-13.4966,0.818482
108,-0.03892,-13.4966,0.818482
109,-0.03891,-13.4966,0.818482
110,-0.0389,-13.4966,0.818482
111,-0.03889,-13.4966,0.818482
112,-0.03888,-13.4966,0.818482
113,-0.03887,-13.4966,0.818482
114,-0.03886,-13.4966,0.818482
115,-0.03885,-13.4966,0.818482
116,-0.03884,-13.4966,0.818482
117,-0.03883,-13.4966,0.818482
118,-0.03882,-13.4966,0.818482
119,-0.03881,-13.4966,0.818482
120,-0.0388,-13.4966,0.818482
121,-0.03879,-13.4966,0.818482
122,-0.03878,-13.4966,0.818482
123,-0.03877,-13.4966,0.818482
124,-0.03876,-13.4966,0.818482
125,-0.03875,-13.4966,0.818482
126,-0.03874,-13.4966,0.818482
127,-0.03873,-13.4966,0.818482
128,-0.03872,-13.4966,0.818482
129,-0.03871,-13.4966,0.818482
130,-0.0387,-13.4966,0.818482
131,-0.03869,-13.4966,0.818482
132,-0.03868,-13.4966,0.818482
133,-0.03867,-13.4966,0.818482
134,-0.03866,-13.4966,0.818482
135,-0.03865,-13.4966,0.818482
136,-0.03864,-13.4966,0.818482
137,-0.03863,-13.4966,0.818482
138,-0.03862,-13.4966,0.818482
139,-0.03861,-13.4966,0.818482
140,-0.0386,-13.4966,0.818482
141,-0.03859,-13.4966,0.818482
142,-0.03858,-13.4966,0.818482
143,-0.03857,-13.4966,0.818482
144,-0.03856,-13.4966,0.818482
145,-0.03855,-13.4966,0.818482
146,-0.03854,-13.4966,0.818482
147,-0.03853,-13.4966,0.818482
148,-0.03852,-13.4966,0.818482
149,-0.03851,-13.4966,0.818482
150,-0.0385,-13.4966,0.818482
151,-0.03849,-13.4966,0.818482
152,-0.03848,-13.4966,0.818482
153,-0.03847,-13.4966,0.818482
154,-0.03846,-13.4966,0.818482
155,-0.03845,-13.4966,0.818482
156,-0.03844,-13.4966,0.818482
157,-0.03843,-13.4966,0.818482
158,-0.03842,-13.4966,0.818482
159,-0.03841,-13.4966,0.818482
160,-0.0384,-13.4966,0.818482
161,-0.03839,-13.4966,0.818482
162,-0.03838,-13.4966,0.818482
163,-0.03837,-13.4966,0.818482
164,-0.03836,-13.4966,0.818482
165,-0.03835,-13.4966,0.818482
166,-0.03834,-13.4966,0.818482
167,-0.03833,-13.4966,0.818482
168,-0.03832,-13.4966,0.818482
169,-0.03831,-13.4966,0.818482
170,-0.0383,-13.4966,0.818482
171,-0.03829,-13.4966,0.818482
172,-0.03828,-13.4966,0.818482
173,-0.03827,-13.4966,0.818482
174,-0.03826,-13.4966,0.818482
175,-0.03825,-13.4966,0.818482
176,-0.03824,-13.4966,0.818482
177,-0.03823,-13.4966,0.818482
178,-0.03822,-13.4966,0.818482
179,-0.03821,-13.4966,0.818482
180,-0.0382,-13.4966,0.818482
181,-0.03819,-13.4966,0.818482
182,-0.03818,-13.4966,0.818482
183,-0.03817,-13.4966,0.818482
184,-0.03816,-13.4966,0.818482
185,-0.03815,-13.4966,0.818482
186,-0.03814,-13.4966,0.818482
187,-0.03813,-13.4966,0.818482
188,-0.03812,-13.4966,0.818482
189,-0.03811,-13.4966,0.818482
190,-0.0381,-13.4966,0.818482
191,-0.03809,-13.4966,0.818482
192,-0.03808,-13.4966,0.818482
193,-0.03807,-13.4966,0.818482
194,-0.03806,-13.4966,0.818482
195,-0.03805,-13.4966,0.818482
196,-0.03804,-13.4966,0.818482
197,-0.03803,-13.4966,0.818482
198,-0.03802,-13.4966,0.818482
199,-0.03801,-13.4966,0.818482
200,-0.038,-13.5133,0.818482
201,-0.03799,-13.4966,0.818482
202,-0.03798,-13.4966,0.818482
203,-0.03797,-13.4966,0.818482
204,-0.03796,-13.4966,0.818482
205,-0.03795,-13.4966,0.818482
206,-0.03794,-13.4966,0.818482
207,-0.03793,-13.4966,0.818482
208,-0.03792,-13.4966,0.818482
209,-0.03791,-13.4966,0.818482
210,-0.0379,-13.4966,0.818482
211,-0.03789,-13.4966,0.818482
212,-0.03788,-13.5133,0.818482
213,-0.03787,-13.4966,0.818482
214,-0.03786,-13.4966,0.818482
215,-0.03785,-13.4966,0.818482
216,-0.03784,-13.4966,0.818482
217,-0.03783,-13.4966,0.818482
218,-0.03782,-13.5133,0.818482
219,-0.03781,-13.5133,0.818482
220,-0.0378,-13.4966,0.818482
221,-0.03779,-13.4966,0.818482
222,-0.03778,-13.53,0.818482
223,-0.03777,-13.4966,0.818482
224,-0.03776,-13.4966,0.818482
225,-0.03775,-13.4966,0.818482
226,-0.03774,-13.4966,0.801779
227,-0.03773,-13.4966,0.801779
228,-0.03772,-13.4966,0.818482
229,-0.03771,-13.4966,0.818482
230,-0.0377,-13.4966,0.818482
231,-0.03769,-13.4966,0.818482
232,-0.03768,-13.4966,0.785075
233,-0.03767,-13.4966,0.801779
234,-0.03766,-13.4966,0.801779
235,-0.03765,-13.4966,0.801779
236,-0.03764,-13.4966,0.801779
237,-0.03763,-13.4966,0.801779
238,-0.03762,-13.4966,0.801779
239,-0.03761,-13.4966,0.801779
