;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,0.0501112
1,-0.03199,0.0501112
2,-0.03198,0.0501112
3,-0.03197,0.0501112
4,-0.03196,0.0501112
5,-0.03195,0.0501112
6,-0.03194,0.0501112
7,-0.03193,0.0501112
8,-0.03192,0.0501112
9,-0.03191,0.0501112
10,-0.0319,0.0501112
11,-0.03189,0.0501112
12,-0.03188,0.0501112
13,-0.03187,0.0501112
14,-0.03186,0.0501112
15,-0.03185,0.0501112
16,-0.03184,0.0501112
17,-0.03183,0.0501112
18,-0.03182,0.0501112
19,-0.03181,0.0501112
20,-0.0318,0.0501112
21,-0.03179,0.0501112
22,-0.03178,0.0501112
23,-0.03177,0.0501112
24,-0.03176,0.0501112
25,-0.03175,0.0501112
26,-0.03174,0.0501112
27,-0.03173,0.0501112
28,-0.03172,0.0501112
29,-0.03171,0.0501112
30,-0.0317,0.0501112
31,-0.03169,0.0501112
32,-0.03168,0.0501112
33,-0.03167,0.0501112
34,-0.03166,0.0501112
35,-0.03165,0.0501112
36,-0.03164,0.0501112
37,-0.03163,0.0501112
38,-0.03162,0.0501112
39,-0.03161,0.0501112
40,-0.0316,0.0501112
41,-0.03159,0.0501112
42,-0.03158,0.0501112
43,-0.03157,0.0501112
44,-0.03156,0.0501112
45,-0.03155,0.0501112
46,-0.03154,0.0501112
47,-0.03153,0.0501112
48,-0.03152,0.0501112
49,-0.03151,0.0501112
50,-0.0315,0.0501112
51,-0.03149,0.0501112
52,-0.03148,0.0501112
53,-0.03147,0.0501112
54,-0.03146,0.0501112
55,-0.03145,0.0501112
56,-0.03144,0.0501112
57,-0.03143,0.0501112
58,-0.03142,0.0501112
59,-0.03141,0.0501112
60,-0.0314,0.0501112
61,-0.03139,0.0501112
62,-0.03138,0.0501112
63,-0.03137,0.0501112
64,-0.03136,0.0501112
65,-0.03135,0.0501112
66,-0.03134,0.0501112
67,-0.03133,0.0501112
68,-0.03132,0.0501112
69,-0.03131,0.0501112
70,-0.0313,0.0501112
71,-0.03129,0.0501112
72,-0.03128,0.0501112
73,-0.03127,0.0501112
74,-0.03126,0.0501112
75,-0.03125,0.0501112
76,-0.03124,0.0501112
77,-0.03123,0.0501112
78,-0.03122,0.0501112
79,-0.03121,0.0501112
80,-0.0312,0.0501112
81,-0.03119,0.0501112
82,-0.03118,0.0501112
83,-0.03117,0.0501112
84,-0.03116,0.0501112
85,-0.03115,0.0501112
86,-0.03114,0.0501112
87,-0.03113,0.0501112
88,-0.03112,0.0501112
89,-0.03111,0.0501112
90,-0.0311,0.0501112
91,-0.03109,0.0501112
92,-0.03108,0.0501112
93,-0.03107,0.0501112
94,-0.03106,0.0501112
95,-0.03105,0.0501112
96,-0.03104,0.0501112
97,-0.03103,0.0501112
98,-0.03102,0.0501112
99,-0.03101,0.0501112
100,-0.031,0.0501112
101,-0.03099,0.0501112
102,-0.03098,0.0501112
103,-0.03097,0.0501112
104,-0.03096,0.0501112
105,-0.03095,0.0501112
106,-0.03094,0.0501112
107,-0.03093,0.0501112
108,-0.03092,0.0501112
109,-0.03091,0.0501112
110,-0.0309,0.0501112
111,-0.03089,0.0501112
112,-0.03088,0.13363
113,-0.03087,-0.918705
114,-0.03086,11.8262
115,-0.03085,14.3318
116,-0.03084,14.4654
117,-0.03083,14.3986
118,-0.03082,14.3318
119,-0.03081,14.2984
120,-0.0308,14.2149
121,-0.03079,14.1815
122,-0.03078,14.1815
123,-0.03077,14.1648
124,-0.03076,14.1648
