;Scopy version,f4beeb1
;Exported on,Wednesday May 15/05/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.032,-0.0668149
1,-0.03199,-0.0668149
2,-0.03198,-0.0668149
3,-0.03197,-0.0668149
4,-0.03196,-0.0668149
5,-0.03195,-0.0668149
6,-0.03194,-0.0668149
7,-0.03193,-0.0668149
8,-0.03192,-0.0668149
9,-0.03191,-0.0668149
10,-0.0319,-0.0668149
11,-0.03189,-0.0668149
12,-0.03188,-0.0668149
13,-0.03187,-0.0668149
14,-0.03186,-0.0668149
15,-0.03185,-0.0668149
16,-0.03184,-0.0668149
17,-0.03183,-0.0668149
18,-0.03182,-0.0668149
19,-0.03181,-0.0668149
20,-0.0318,-0.0668149
21,-0.03179,-0.0668149
22,-0.03178,-0.0668149
23,-0.03177,-0.0668149
24,-0.03176,-0.0668149
25,-0.03175,-0.0668149
26,-0.03174,-0.0668149
27,-0.03173,-0.0668149
28,-0.03172,-0.0668149
29,-0.03171,-0.0668149
30,-0.0317,-0.0668149
31,-0.03169,-0.0668149
32,-0.03168,-0.0668149
33,-0.03167,-0.0668149
34,-0.03166,-0.0668149
35,-0.03165,-0.0668149
36,-0.03164,-0.0668149
37,-0.03163,-0.0668149
38,-0.03162,-0.0668149
39,-0.03161,-0.0668149
40,-0.0316,-0.0668149
41,-0.03159,-0.0668149
42,-0.03158,-0.0668149
43,-0.03157,-0.0668149
44,-0.03156,-0.0668149
45,-0.03155,-0.0501112
46,-0.03154,-0.0668149
47,-0.03153,-0.0668149
48,-0.03152,-0.0668149
49,-0.03151,-0.0668149
50,-0.0315,-0.0668149
51,-0.03149,-0.0668149
52,-0.03148,-0.0668149
53,-0.03147,-0.0668149
54,-0.03146,-0.0668149
55,-0.03145,-0.0501112
56,-0.03144,-0.0668149
57,-0.03143,-0.0668149
58,-0.03142,-0.0668149
59,-0.03141,-0.0668149
60,-0.0314,-0.0668149
61,-0.03139,-0.0668149
62,-0.03138,-0.0668149
63,-0.03137,-0.0668149
64,-0.03136,-0.0668149
65,-0.03135,-0.0668149
66,-0.03134,-0.0668149
67,-0.03133,-0.0668149
68,-0.03132,-0.0668149
69,-0.03131,-0.0668149
70,-0.0313,-0.0668149
71,-0.03129,-0.0668149
72,-0.03128,-0.0668149
73,-0.03127,-0.0668149
74,-0.03126,-0.0668149
75,-0.03125,-0.0668149
76,-0.03124,-0.0668149
77,-0.03123,-0.0668149
78,-0.03122,-0.0668149
79,-0.03121,-0.0668149
80,-0.0312,-0.0668149
81,-0.03119,-0.0668149
82,-0.03118,-0.0668149
83,-0.03117,-0.0668149
84,-0.03116,-0.0668149
85,-0.03115,-0.0668149
86,-0.03114,-0.0668149
87,-0.03113,-0.0668149
88,-0.03112,-0.0668149
89,-0.03111,-0.0668149
90,-0.0311,-0.0668149
91,-0.03109,-0.0668149
92,-0.03108,-0.0668149
93,-0.03107,-0.0668149
94,-0.03106,-0.0501112
95,-0.03105,-0.0668149
96,-0.03104,-0.0668149
97,-0.03103,-0.0668149
98,-0.03102,-0.0668149
99,-0.03101,-0.0668149
100,-0.031,-0.0668149
101,-0.03099,-0.0668149
102,-0.03098,-0.0668149
103,-0.03097,-0.0668149
104,-0.03096,-0.0668149
105,-0.03095,-0.0668149
106,-0.03094,-0.0668149
107,-0.03093,-0.0668149
108,-0.03092,-0.0668149
109,-0.03091,-0.0668149
110,-0.0309,-0.0668149
111,-0.03089,-0.0668149
112,-0.03088,-0.0668149
113,-0.03087,-0.0668149
114,-0.03086,-0.0668149
115,-0.03085,-0.0668149
116,-0.03084,-0.0668149
117,-0.03083,-0.0668149
118,-0.03082,-0.0668149
119,-0.03081,-0.0668149
120,-0.0308,-0.0668149
121,-0.03079,-0.0668149
122,-0.03078,-0.0668149
123,-0.03077,-0.0668149
124,-0.03076,-0.0668149
125,-0.03075,-0.0668149
126,-0.03074,-0.0668149
127,-0.03073,-0.0668149
128,-0.03072,-0.0668149
129,-0.03071,-0.0668149
130,-0.0307,-0.0668149
131,-0.03069,-0.0668149
132,-0.03068,-0.0668149
133,-0.03067,-0.0668149
134,-0.03066,-0.0668149
135,-0.03065,-0.0668149
136,-0.03064,-0.0668149
